WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,1.2.23,1.3.23,1.4.23,1.5.23,1.6.23,1.7.23,1.9.23,1.10.23,1.11.23,1.12.23,1.13.23,1.14.23,1.16.23,1.17.23,1.18.23,1.19.23,1.20.23,1.21.23,1.23.23,1.24.23,1.25.23,1.26.23,1.27.23,1.28.23
Primer,Movement Prep 1,Turkish Get Up (hips) x10ea,20yd Broad Jump/Quick Shuffles,,Med Ball Floor Toss x20,20 Box Jumps,Iso DL 3x:10,Box Jumps x15,Jumping lunges/Sp Squats,,Snatch Balance x10,Med Ball Side Toss x12ea side,Heel Touches x 15ea,Drop Snatch x 10,Kb Swings x25,,1-Leg Box Jump x 10ea,80yd Big Skips,Iso Deadlift 3x :10,Med Ball Push Press x15,300m Row,,Movement Prep 1/Sweaty Mans,80yd Big Skips
Strength,ref 1.3.22,,,,ref 10.21.22,ref 2.4.22,ref 2.7.22,ref 2.8.22,ref 2.16.22,,ref 2.18.22,ref 7.22.22,ref 2.22.22,ref 2.12.22,,,,ref 8.13.22,,ref 2.23.22,,,Friday Fitness,ref 10.12.22
Athlete,Back Squats 5x3@ 75%,Hang Snatch 6x2@ 80%,Deadlifts 5x3@ 75%,,Bench 5x3@ 75%,Hang Clean 6x2@ 80%,Deadlifts 5x4@ 80%,P. Clean (pause-pp) 6x3@ 75%,Squat Drop Sets 2@ 80%,,P. Sn (pause-pp) 6x3@ 75%,Bench 5x4@ 80%,Back Squats 5x5@ 70%,Snatch 5x2@ 80%,Deadlifts 5x5@ 70%,,Clean 5x2@ 80%,,Deadlifts 5x2@ 90%,Hang Power Clean 6x3@ 70%,Back Squats 5x2@ 90%,,Bench 5x2@ 90%,Hang Power Snatch 6x3@ 70%
Enthusiast,Back Squats 5x3@ 75%,Hang Power Sn 6x2@ 125/80,Deadlifts 5x3@ 75%,,Bench 5x3@ 75%,Hang Power Cl 6x2@ 185/125,Deadlifts 5x4@ 80%,P. Clean (pause-pp) 6x3@ 185/125,Squat Drop Sets 2@ 80%,,P. Sn (pause-pp) 6x3@ 115/75,Bench 5x4@ 80%,Back Squats 5x5@ 70%,Power Snatch 5x2@ 135/85,Deadlifts 5x5@ 70%,,Power Clean 5x2@ 185/105,,Deadlifts 5x2@ 90%,Hang Power Clean 6x3@ 165/95,Back Squats 5x2@ 90%,,Bench 5x2@ 90%,Hang Power Snatch 6x3@ 115/75
Foundation,Box Squats 5x3@ 105/75,Hang Muscle Sn 6x2@ 75/45,RDL's 5x3@ 125/80,,Bench 5x3@ 80/50,Hang Muscle Cl 6x2@ 95/65,RDL's 5x4@ 135/85,M. Clean (pause-pp) 6x3@ 95/65,Squat Drop Sets 2@ 115/75,,M. Sn (pause-pp) 6x3@ 75/45,Bench 5x4@ 85/55,Back Squats 5x5@ 95/65,Muscle Snatch 5x2@ 95/65,RDL's 5x5@ 115/75,,Muscle Clean 5x2@ 105/70,,RDL's 5x4@ 155/105,Hang Muscle Clean  6x3@ 96/65,Box Squats 5x4@ 135/85,,Bench 5x2@ 95/65,Hang Power Snatch 6x3@ 75/45
At-Home,Heel Touches 5x10ea,OHS 6x5@ pvc,Hip Airplanes 5x8ea,,Push Ups 5x5@ bw,Sott's Press 6x5@ pvc,Single RDL 5x10ea,Squat Jumps 6x7@ bw,Heel Touches 5x15ea,,Sq Sit BNP 6x8@ pvc,Push Ups 5x10,Single Leg Squats 5x7ea,Overhead Squat 5x5@ pvc,Hip Airplanes 5x10ea,,Sott's Press 5x10ea @ pvc,,Heel Touches 5x12ea,1-Leg Squat Jump 5x5ea,Single Leg Squats 5x10ea,,"Tempo Push Ups 5x3@ 5""-5""-5""",Squat Sit BNP 5x10@ pvc
,A- Lt (60) L- Med (95),A- Hvy (90) L- Lt (12),A- Med (75) L- Hvy (120),,A- Med (55) L- Lt (Dubs),A- Lt (Carry) L- Hvy (112),A- Lt (51) L-  Hvy(132) ,A- Hvy L- Lt (Row),A- Lt  L- Hvy,,A- Med L- Med ,A- Hvy (120) L- Lt (Row),A- Hvy (165) L- Med(112),A- Lt L- Hvy (160),A- Hvy L- Lt,,A- Lt (30) L-Med (140),A- Med (72) L- Hvy (72),A- Med (60) L- Med(40),A- Lt (cleans) L- Hvy (175),A- Hvy (Drop) L- Lt (10),,A- Med (70) L-Med (80),A- Hvy (150) L- Med (100)
WoD,"""Baseline 2.0""",,,https://youtu.be/GBTj4uyXKLQ,,,,,,https://youtu.be/cgpFFxI8Z_o,,,,,,https://youtu.be/eFQPNVbmf34,,,Elvis Press-ly,,,https://youtu.be/trLakUDOpr0,,
