WEEK,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE
Day,3.28.22,3.29.22,3.30.22,3.32.22,4.1.22,4.2.22,4.4.22,4.5.22,4.6.22,4.7.22,4.8.22,4.9.22,4.11.22,4.12.22,4.13.22,4.14.22,4.15.22,4.16.22,4.18.22,4.19.22,4.20.22,4.21.22,4.22.22,4.23.22
Primer,Bear Crawl x2,,5x Row Sprints@ 200m,,Pull overs 3x10@ 35/25,,Squat Sit Ext Rot 2x10ea,Wall Ball (for ht) 3x5,Fr Band RDL 3x10,,Med Ball Rev Toss 3x5,Plank Walkouts 5x5,Granny Shots 3x5,,Bounding Skips,,Med Ball Chest Pass 3x10,One Leg Box Jumps 3x5ea,30 Jumping Lunges,,Deadhang/Pull Up Max/Push Up (6p),,Push Up Max (2min),
Strength,,,,,,ref 3.5.16,,,,,,,,,,,,,ref 2.29.16,,ref 1.26.22,,,
Athlete,Banded DL 5x5@ 50% (Fr band),Muscle Up 8x3,Anderson Squats 5x5@ 50%,,Shoulder Press 5x3@ 135/85,Turkish Get Up 7x2ea@ 55/35,Back Squats  | 4x10@ 45%,1st Pull+2nd Pull+Hang Clean(@PP)  | 6x3+3+3@ 55%,Deadlift  | 4x10@ 55%,,1st Pull+2nd Pull+Hang Snatch (@ PP) | 6x3+3+3@ 60%,,Deadlift | 4x10@ 60%,1st Pull+2nd Pull+Hang Snatch (@ PP) | 6x3+3+3@ 65%,Back Squats | 4x10@ 60%,,Bench | 4x10@ 60%,1st Pull+2nd Pull+Hang Clean(@PP)  | 6x3+3+3@ 60%,Back Squats | 4x10@ 65%,2 Position Clean | 6x3@ 65%,Deadlift | 4x10@ 65%,,2 Position Snatch | 6x3@ 70%,
Enthusiast,Banded DL 5x5@ 50% (Fr band),Pull Ups 8x3,Anderson Squats 5x5@ 50%,,Shoulder Press 5x3@ 115/75,Turkish Get Up 7x2ea@ 35/20,Back Squats | 4x10@ 45%,1st Pull+2nd Pull+Hang Clean(@PP) | 6x3+3+3@ 115/75,Deadlift | 4x10@ 55%,,1st Pull+2nd Pull+Hang Snatch (@PP) | 6x3+3+3@ 95/65,,Deadlift | 4x10@ 60%,1st Pull+2nd Pull+Hang Snatch (@PP) | 6x3+3+3@ 105/75,Back Squats | 4x10@ 60%,,Bench | 4x10@ 60%,1st Pull+2nd Pull+Hang Clean(@PP) | 6x3+3+3@ 125/85,Back Squats | 4x10@ 65%,2 Position Power Clean | 6x3@ 135/95,Deadlift | 4x10@ 65%,,2 Position Power Snatch | 6@3@ 115/85,
Foundation,Banded DL 5x5@ 115/75 (Fr band),Box Pull Ups 8x3,Anderson Squats 5x5@ 95/65,,Shoulder Press 5x3@ 95/65,Turkish Get Up 7x2ea@ 25/10,Box Squats | 4x10@ 45/35,1st Pull+2nd Pull+Hi Pull | 6x3+3+3@ 75/45,RDL  | 4x10@ 75/45,,1st Pull+2nd Pull+Hi Pull | 6x3+3+3@ 75/45,,RDL | 4x10@ 95/65,1st Pull+2nd Pull+Hi Pull | 6x3+3+3@ 75/45,Box Squats | 4x10@ 65/45,,Bench | 4x10@ 75/45,1st Pull+2nd Pull+Hi Pull | 6x3+3+3@ 75/45,Box Squats | 4x10@ 75/55,2 Position Muscle Clean | 6x3@ 80/50,RDL  | 4x10@ 115/75,,2 Position Muscle Snatch | 6x3@ 80/50,
At-Home,Hip Airplanes 5x5ea@ bw,Wall Shoulder Press 8x8,Bottom Up Squats 5x7@ bw,,Down Dog HSPU 5x5@ bw,Turkish Get Up 7x2ea@ Shoe,Squats  | 4x15@ bw,Bear Crawl 6x20yards,Single Leg RDL  | 4x10ea@ bw,,Down Dog HSPU  | 6x 9@ bw,,Heel Touches  | 4x10ea @ bw,Down Dog HSPU  | 6x 9@ bw,Squats  | 4x15@ bw,,Push ups  | 4x10@ BW,Bear Crawl  | 6x20yards,Squats | 4x20@ bw,Squat Jumps | 6x10@ bw,Single Leg RDL | 4x12ea@ bw,,Down Dog HSPU  | 6x 9@ bw,
,Leg Med (Volume),Upper Hvy (Intensity),Leg Hvy (Volume),,Leg Lt (Volume),Upper medium (volume),Cardio-Md | Leg-Md | Arm-Md,Cardio-Lt | Leg-Lt | Arm-Hvy,Cardio-Hvy | Leg-Hvy | Arm-Md,,Cardio-Lt | Leg-Lt | Arm-Lt,Cardio-Hvy | Leg-Med | Arm-Hvy,Cardio- Hvy | Leg-Hvy | Arm-Lt,Cardio- Lt | Leg-Lt | Arm-Hvy,Cardio- Hvy | Leg-Med | Arm-Lt,,Cardio- Med | Leg-Hvy | Arm-Med,Cardio- Lt | Leg-Med | Arm-Light,Cardio-Md | Leg-Md | Arm-Md,Cardio-Lt | Leg-Lt | Arm-Hvy,Cardio-Hvy | Leg-Hvy | Arm-Md,,Cardio-Lt | Leg-Lt | Arm-Lt,Cardio-Hvy | Leg-Med | Arm-Hvy
WoD,,,,,,,,,OPT Repeatability Test,YT Video | focus on hips and low back,,Chelsea,,,,YT Video | focus on shoulders and neck,,,,,,YT Video | focus on knees,,"""Barbara"""
Athlete,5rds; for time,Bench Press,5rds; for time,YT Video,15min AMRAP,Partner WoD; for time,for max distance,FGB Style; for max reps,3rds; ea rd for time (12min rest),,15min AMRAP,EMOM for 30min,5rds; 1min ea station | max dist,15min AMRAP,2000m Row*,,15min AMRAP,EMOM for 12min; for max abs,EMOM for 12min,20min AMRAP,Row 500m; for time,,5min ea station; for max reps,5 rounds; 3min rest b/n rds
