WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,10.5.20,10.6.20,10.7.20,10.8.20,10.9.20,10.10.20,10.12.20,10.13.20,10.14.20,10.15.20,10.16.20,10.17.20,10.19.20,10.20.20,10.21.20,10.22.20,10.23.20,10.24.20,10.26.20,10.27.20,10.28.20,10.29.20,10.30.20,10.31.20
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,ref 7.14.20,,,ref 7.17.20,,ref 7.15.20,,,,,ref 2.1.20,ref 1.27.20,,,,ref 1.31.20,,ref 8.4.20,ref 2.19.20,ref 8.8.20,,ref 2.18.20,ref 2.8.20
Athlete,Back Squats 5x4@ 80%,Clean 6x3@ 80%,Deadlifts 5x4@ 80%,,Snatch 6x3@ 80%,,Deadlifts 5x3@ 85%,Snatch 6x2@ 85%,Back Squats 5x3@ 85%,,Clean 6x2@ 85%,,Back Squats 5x2@ 88%,Clean 5x2@ 90%,Deadlifts 5x2@ 88%,,Snatch 5x2@ 90%,,Deadlifts 5x1@ 90%,Snatch 5x1@ 90+%,Back Squats 5x1@ 90%,,Clean 5x1@ 90+%,
Enthusiast,Back Squats 5x4@ 75%,(Floor) | Power Clean 6x3@ 135/85,Deadlifts 5x4@ 75%,,(Floor) | Power Snatch 6x3@ 115/75,,Deadlifts 5x3@ 80%,(Floor) | Power Snatch 6x2@ 125/70,Back Squats 5x3@ 80%,,(Floor) | Power Clean 6x2@ 145/90,,Back Squats 5x2@ 83%,(Floor) | Power Clean 5x2@ 155/95,Deadlifts 5x2@ 83%,,(Floor) | Power Snatch 5x2@ 135/75,,Deadlifts 5x1@ 85%,(Floor) | Power Snatch 5x1@ 145/80,Back Squats 5x1@ 85%,,(Floor) | Power Clean 5x1@ 165/100,
Foundation,Box Squats 5x4@ 140/100,(PP) | Power Cl 6x3@ 75/45,RDL's 5x4@ 195/135,,(PP) | Power Sn 6x3@ 65/45,,RDL's 5x3@ 205/145,(PP) | Power Sn 6x2@ 75/55,Box Squats 5x3@ 150/110,,(PP) | Power Cl 6x2@ 85/55,,Box Squats 5x2@ 155/115,(PP) | Power Cl 5x2@ 90/60,RDL's 5x2@ 215/150,,(PP) | Power Sn 5x2@ 80/60,,RDL's 5x1@ 225/155,(PP) | Power Sn 5x1@ 85/65,Box Squats 5x1@ AHAP,,(PP) | Power Cl 5x1@ 95/65,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Hip Fix,,Short Circuit,,,,Shoulder Fix,,The Ghost,,,,Midline Reset,,,,,,Hard Reset,,
Athlete,12min AMRAP,14min AMRAP,6 rounds; for time,,12min AMRAP,3 rounds; 2min ea st | for reps,5 rounds; for time,EMOM,AMRAP in 10min,,14min AMRAP,6 rounds; 1min/station:,5rds; for time,15min AMRAP,EMOM for 15min,,7rds; for heaviest weight,10min AMRAP,3 rounds; for max reps,15000lbs | for time,Bench Press ,,for time; CYOO,5 rounds; for time
