WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,3.25.19,3.26.19,3.27.19,3.28.19,3.29.19,3.30.19,4.1.19,4.2.19,4.3.19,4.4.19,4.5.19,4.6.19,4.8.19,4.9.19,4.10.19,4.11.19,4.12.19,4.13.19,4.15.19,4.16.19,4.17.19,4.18.19,4.19.19,4.20.19
Primer,,,,,,6x 100m Row sprints,,,,,,4x Low Sled Push (90/45),,,,,,,,,,,,6x100m Row Sprints
Strength,,,ref 3.23.16,,,,,,,,,,,,,,,,,ref 4.1.16,,,,
Athlete,Back Squats (w/ pause) 5x5@ 60%,Hang Cleans 6x3@ 60%,Deadlifts (2 sections) 5x5@ 50%,Durante Core | 5rds; for time | 10 Hollow Body rocks | 10 V-Ups | 10 Tuck Ups | :10 Hollow Hold | 1min rest,Hang Snatch 6x3@ 60%,,Deadlifts (tempo) 5x5@ 60%,Drop Snatch 3x3@ 50% | Snatch 3x3@ 70%,Back Squats (tempo) 5x5@ 65%,Abs: | 1:00- :45- :30- :15 | Planks | Hollow Hold,Bench Press (tempo) 5x5@ 60%,,Back Squats 6x5@ 70%,Snatch 4x4@ 75%,Deadlifts 6x5@ 70%,Abs: | 4rds | 30 Bicycles | 20 Opp Hand to Foot | 10 V-Ups | 1min Glute Bridge,Clean 4x4@ 75%,,Deadlifts 6x5@ 75%,Clean Pull Unders 3x3@ 50% | Clean 4x3@ 80%,Back Squats 6x5@ 75%,Tabata Abs: | 2 rounds | Hollow Hold | Supermans,Snatch Pull Unders 5x3@ 50% | Snatches 4x3@ 80%,
Enthusiast,Back Squats (w/ pause) 5x5@ 50%,Power Cleans+Fr Sq 6x3@ 125/75,Deadlifts (2 sections) 5x5@ 135/95,,Power Snatch+OHS 6x3@ 75/45,,Deadlifts (tempo) 5x5@ 135/95,Heaving Sn Bal 3x3@ 75/45 | Power Snatch 3x3@ 95/65,Back Squats (tempo) 5x5@ 55%,,Bench Press (tempo) 5x5@ 95/65,,Back Squats 6x5@60%,Power Snatch 5x3@ 95/65,Deadlifts 6x5@ 60%,,Power Clean 5x3@ 115/75,,Deadlifts 6x5@ 65%,Hang Hi Pull 3x3@ 75/45 | Power Clean 4x3@ 125/85,Back Squats 6x5@ 65%,,Hang Hi Pull 3x3@ 75/45 | Power Snatch 4x3@ 115/75,
Foundation,Back Squats (w/ pause) 5x5@ 45/35,Muscle Clean+Fr Sq 6x3@ 75/45,Deadlifts (2 sections) 5x5@ 45/35,,Muscle Snatch+OHS 6x3@ 45/35,,Deadlifts 5x5@ 75/45,Pressing Sn Bal 3x3@ 45/35 | Muscle Snatch 5x5@ 75/45,Back Squats (tempo) 5x5@ 45/35,,Bench Press (tempo) 5x5@ 75/45,,Back Squats 6x5@ 75/45,Muscle Snatch (from floor) 5x3@ 75/45,Deadlifts 6x5@ 95/65,,Muscle Clean (from floor) 5x3@ 95/65,,RDL 6x5@ 115/75,Muscle Clean 3x3@ 45/35 | Muscle Clean (from floor) 4x3@ AHAP,Back Squats 6x5@ 95/65,,Muscle Snatch (from hang) 5x3@ 75/45,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,EMOM for 20min | for max lunge/rhk (dist),4rds; for time,10min AMRAP,(Move from your hips),5rds for time,8rds; for time,20min AMRAP,5rds; for quality,EMOM for 15min,(How to use your shoulders),For time,3x 4min AMRAP (2min rest),15min AMRAP,6rds; for time,5rds; for time,(Engaging the Big 3),EMOM for 12min,3 rounds; for fastest time,Partner WoD:,for time; CYOO,3x4min AMRAP/2min rest,(Complete Shoulders),for max reps; 20min time cap,15min AMRAP
,Lunges (50/35),10 Deficit Push Ups,5 Front Squats (135/85),Glute Smash,8 Chest to Bar Pull Ups,10 Floor Press (135/85),5 Tire Flips,15ea 1-arm Db Bench (40/25),10yd Broad Jumps,Upper back roll/smash,Accumulate a 5min hang from pull up bar,6 Bar Over Burpee,3 Atlas Stone over shoulder (155),7 Overhead Squat (95/65),10ea 1-arm DB Floor Press (50/35),Pigeon Stretch,10 Kb Swings (70/55),10 Push Press (135/85),EMOM for 20min; max reps,50 Ring Dips,"5 Box Jumps (30""/24"")",Across Body Stretch,Bench Press (135/85)*,7 Power Cleans (115/75)
,Suitcase Carry (50/35),20yd Bear Crawls,10 Alt V-Ups,Side Hip Smash,10 Bent Over Rows (115/75),12 Kb Swings (70/55),"10 Step Ups (24"")",10ea 1-arm Ring Rows,8 Goblet Squats (70/55),Lat smash,,8 Thrusters (95/65),15 Db Lunges (50's/35's),10 Chest to Bar Pull Ups,15 Straight Leg Raises,Couch Mobility,7 Burpees,50 Dubs,Med Ball Toss (20/14),50 Chest to Bar Pull Ups,10 Lunges (50's/35's),Bench Stretch,DB Rev Flys (15's/10's),14 Front Squats (115/75)
,Rapid High Knees (50/35),130m Run,20 Dubs,It Band Smash,12 Push Press (115/75),100m Run,30 Dubs,80yd Overhead Carry (40/25),10 Wall Balls (20/14),Pec Smash,*At the top of every minute | complete 6 Power Cleans (155/105),,30 Bicycles,30 Dubs,80yd Waiter's Carry (50/35),Frog Sit,,100m Run,Burpees,5min Plank,15 Dubs,Radial Nerve Glide,,200m Run
,Suitcase Carry (50/35),,,Quad Smash/Adductor Smash,15 TTB,,,,,Serratus Ant Act,,,,,,Upper Back Roll,,(3min rest between rds),Db Shoulder Press (50/35),,,Banded Overhead Stretch,*Explosive reps (slow down),
,,,,Big 3,,,,,,Scap Push Ups,,,,,,Bird Dogs,,,Rest,,,"Iso IYT""s",,
,,,,Tree Pose,,,,,,Prone I's,,,,,,Side Planks,,,,,,Arm Circles,,
,,,,RDL 7x5@ 135/95,,,,,,Arm Circles,,,,,,Curl Ups,,,,,,Sott's Press 4x10@ AHAP,,
,,,,,,,,,,Seated Db Shoulder Press 7x5@ 25's/15's,,,,,,Supermans,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,EMOM for 20min | for max lunge/rhk (dist),4rds; for time,10min AMRAP,(Move from your hips),5rds for time,8rds; for time,20min AMRAP,5rds; for quality,EMOM for 15min,(How to use your shoulders),For time,3x 4min AMRAP (2min rest),15min AMRAP,6rds; for time,5rds; for time,(Engaging the Big 3),EMOM for 12min,3 rounds; for fastest time,Partner WoD:,for time; CYOO,3x4min AMRAP/2min rest,(Complete Shoulders),for max reps; 20min time cap,15min AMRAP
,Lunges (40/25),10 Push Ups,5 Front Squats (115/75),Glute Smash,8 Pull Ups,10 Floor Press (95/65),5 Tire Flips,15ea 1-arm Db Bench (25/15),10yd Broad Jumps,Upper back roll/smash,Accumulate a 5min hang from pull up bar,6 Bar Over Burpee,3 Atlas Stone over shoulder,7 Overhead Squat (95/65),10ea 1-arm DB Floor Press (40/25),Pigeon Stretch,10 Kb Swings (55/35),10 Push Press (115/75),EMOM for 20min; max reps,50 Hand Release Push Ups,"5 Box Jumps (24""/20"")",Across Body Stretch,Bench Press (95/65)*,7 Power Cleans (95/65)
,Suitcase Carry (40/25),20yd Bear Crawls,10 Alt V-Ups,Side Hip Smash,10 Bent Over Rows (95/65),12 Kb Swings (55/35),"10 Step Ups (20"")",10ea 1-arm Ring Rows,8 Goblet Squats (55/35),Lat smash,,8 Thrusters (95/65),15 Db Lunges (40's/25's),10 Pull Ups,15 Straight Leg Raises,Couch Mobility,7 Burpees,50 Dubs,Med Ball Toss (20/14),50 Pull Ups,10 Lunges (40's/25's),Bench Stretch,DB Rev Flys (10's/5's),14 Front Squats (95/65)
,Rapid High Knees (40/25),130m Run,20 Dubs,It Band Smash,12 Push Press (95/65),100m Run,15 Dubs,80yd Overhead Carry (25/15),10 Wall Balls (20/14),Pec Smash,*At the top of every minute | complete 6 Power Cleans (115/75),,30 Bicycles,30 Dubs,80yd Waiter's Carry (40/25),Frog Sit,,100m Run,Burpees,5min Plank,15 Dubs,Radial Nerve Glide,,200m Run
,Suitcase Carry (40/25),,,Quad Smash/Adductor Smash,15 KTE,,,,,Serratus Ant Act,,,,,,Upper Back Roll,,(3min rest between rds),Db Shoulder Press (40/25),,,Banded Overhead Stretch,*Explosive reps (slow down),
,,,,Big 3,,,,,,Scap Push Ups,,,,,,Bird Dogs,,,Rest,,,"Iso IYT""s",,
,,,,Tree Pose,,,,,,Prone I's,,,,,,Side Planks,,,,,,Arm Circles,,
,,,,RDL 7x5@ 135/95,,,,,,Arm Circles,,,,,,Curl Ups,,,,,,Sott's Press 4x10@ AHAP,,
,,,,,,,,,,Seated Db Shoulder Press 7x5@ 25's/15's,,,,,,Supermans,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
