WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,15min AMRAP,EMOM for 12min,5 rounds; for max reps,Project Summer Legs,for max reps; 20min time cap,10min AMRAP (135/95),10 rounds; for time,5 rounds; for time,17min AMRAP,Don't Jack Up Your Shoulders,5 rounds; for time,7min AMRAP,EMOM for 14min,6rds; for time,7rds; (11min time cap),Get Your Rear In Gear (literally),15min AMRAP,Back Squat Drop Sets,15min AMRAP,for time,EoMOM for 20min,,14min AMRAP,12min AMRAP
,10 Kb Swing (55/35),Min 1: Shoulder press (25's/15's)*,Jumping Lunges,Test- Single Leg Glute Bridge,Bench Press (95/65)*,5 Deadlifts,10 Goblet Squats (55/35),:45 Dip Support,12 Side to side lunges (25/15),Test- Supine OH screen,8 Shoulder Press (40's/25's),Wall Balls (20/14),"6 Step Ups (20"")(40/25)",7 Shoulder Press (95/65),24 Single Leg Hip Raise (40/25),Test- Squat Sit,:30 Reverse Plank,3rds; for max reps,5 Hollow Rocks,5 rounds,8 Squat (25/15),,6 Pistol Squat (Toenail spot),20 Dubs
,20 Dubs,Min 2: Pull ups (bw/band),Lunges,Stretch- Foot Smash | Calf Smash | Quad Smash | Ham Stretch | Glute Smash | Pigeon,DB Rev Flys (10's/5's),4 Power Cleans,10 Straight Leg Raises (15/10),10 Pull Ups,:15 L-Sit,Stretch- Lats (foam roll) | Scap smash | trap smash (bar) | Scorpion stretch,10yd Bear Crawl (pvc),,8 Squats (40/25),:20 Handstand Hold,12 Kb Swings (55/35),Stretch- Superhero St | Side Hip Smash | Ham Stretch | QL Smash | IT Band Smash | Quad Smash,8 Pull Ups,(Squat till you drop),5 Squat,10 Knee Push Ups,8 Lunge (25/15),,15 Bent Over rows (95/65),5 Burpees
,:30 Kneading Plank (pvc),,Squats,Activate- Prone Iso Kickbacks | Glute Bridge (ft far away) | Donkey Squats (short foot focus) ,,3 Front Squats,,30 Dubs,20 Seated Hamstring Curl,Activate- Serratus Ant. Act. | Scap push ups | Hollow hold (w/ band) | Bent Over Shoulder Press,20ea Lateral Crossovers,5 Deadlift (225/155),10 Dubs,,6 Knees to Elbows,Activate- Marches | Clams (w/ weight) | Plank w/ Leg Raise,8 Push Up,(185/125)-->(135/85)-->(45/35),5 Prone BNP,10 Sit Ups,16 Single Leg Glute Bridge (25/15),,,
,,*Sh Pr Against Squat Rack,,Integrate- RDL's ,*Explosive reps (slow down),2 Shoulder to Overhead,,,,Integrate- Shoulder Press (db's),,At the top of every min (starting at 1:00),,,,Integrate- RDL's | Lunge w/ leg raise,,,5 Step Ups,,*add 10lbs after ea completed rd,,,
,,,,"Re-test- Single Leg Glute Bridge""",,,,,,Re-test- Supine OH Screen,,,,,,"Re-test- Squat Sit""",,,5 Plank Walkouts,4 rounds,,,,
,,,,,,,,,,,,,,,,,,,5 Dubs,8 Push Ups,,,,
,,,,,,,,,,,,,,,,,,,,12 Tuck Ups,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3 rounds,,,,
,,,,,,,,,,,,,,,,,,,,6 Dips,,,,
,,,,,,,,,,,,,,,,,,,,14 V-Ups,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,15min AMRAP,EMOM for 12min,5 rounds; for max reps,Project Summer Legs,for max reps; 20min time cap,10min AMRAP (95/65),10 rounds; for time,5 rounds; for time,17min AMRAP,Don't Jack Up Your Shoulders,5 rounds; for time,7min AMRAP,EMOM for 14min,6rds; for time,7rds; (11min time cap),Get Your Rear In Gear (literally),15min AMRAP,Back Squat Drop Sets,15min AMRAP,for time,EoMOM for 20min,,14min AMRAP,12min AMRAP
,10 Kb RDL (55/35),Min 1: Shoulder press (15's/10's)*,Lunges,Test- Single Leg Glute Bridge,Bench Press (75/45)*,5 Deadlifts,10 Goblet Squats (35/15),:45 Dip Support (toe assist),12 Side to side lunges (bw),Test- Supine OH screen,8 Shoulder Press (25's/15's),Wall Balls (20/14),"6 Step Ups (20"")(bw)",7 Shoulder Press (75/45),24 Single Leg Hip Raise (bw),Test- Squat Sit,:30 Table Top,3rds; for max reps,:10 Hollow Hold,5 rounds,8 Squat (bw),,6 Narrow Squat,60 Singles
,60 Singles,Min 2: Ring Rows ,Squats,Stretch- Foot Smash | Calf Smash | Quad Smash | Ham Stretch | Glute Smash | Pigeon,DB Rev Flys (5's/bw),4 Power Cleans,10 Straight Leg Raises (bw),10 Ring Rows (ALowAP),:15 Hanging Bent Knee Hold,Stretch- Lats (foam roll) | Scap smash | trap smash (bar) | Scorpion stretch,:30 Plank (pvc),,8 Squats (bw),:20 Pseudo Planche,12 Kb RDL (55/35),Stretch- Superhero St | Side Hip Smash | Ham Stretch | QL Smash | IT Band Smash | Quad Smash,8 Ring Rows,(Squat till you drop),5 Squat to Box,10 Incline Push Ups,8 Lunge (bw),,15 Bent Over rows (75/45),5 Burpees (no push up)
,:30 Plank (pvc),,Hip Raises,Activate- Prone Iso Kickbacks | Glute Bridge (ft far away) | Donkey Squats (short foot focus) ,,3 Front Squats,,90 Singles,20 Seated Hamstring Curl,Activate- Serratus Ant. Act. | Scap push ups | Hollow hold (w/ band) | Bent Over Shoulder Press,20ea Lateral Crossovers,5 Deadlift (135/85),20 Singles,,6 Hanging Knee Raises,Activate- Marches | Clams (w/ weight) | Plank w/ Leg Raise,8 Incline Push Up,(125/85)-->(75/55)-->(45/35),5 Prone BNP,10 Sit Ups,16 Single Leg Glute Bridge (bw),,,
,,*Sh Pr Against Squat Rack,,Integrate- RDL's ,*Explosive reps (slow down),2 Shoulder to Overhead,,,,Integrate- Shoulder Press (db's),,At the top of every min (starting at 1:00),,,,Integrate- RDL's | Lunge w/ leg raise,,,5 Step Ups,,*add 10lbs after ea completed rd,,,
,,,,"Re-test- Single Leg Glute Bridge""",,,,,,Re-test- Supine OH Screen,,,,,,"Re-test- Squat Sit""",,,:10 Plank,4 rounds,,,,
,,,,,,,,,,,,,,,,,,,10 Singles,8 Knee Push Ups,,,,
,,,,,,,,,,,,,,,,,,,,12 Tuck Ups,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,3 rounds,,,,
,,,,,,,,,,,,,,,,,,,,6 Push Up,,,,
,,,,,,,,,,,,,,,,,,,,14 V-Ups,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,4min Glute Bridge,2min Overhead Stretch,2min (ea side) Couch Mobility,,2min (ea side) Side Planks,20 Dragon Flags & 10 MU,2min (ea side) Superhero,15 Prone BNP,2min (ea side) Pigeon St,,40 Bi's and Tri's,4 Sled Push (110/55),2min Couch (ea side),2min Karate Chop (ea side),2min Pigeon stretch (ea side),,1min Batwing,2 sets; max ham curls,2min Pigeon Stretch (ea side),2min Scorpion Stretch (ea side),2min Superhero Stretch (ea side),,2min Couch Mobility (ea side),2x Max Handstand Hold (for quality)
