WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,3.23.20,3.24.20,3.25.20,3.26.20,3.27.20,3.28.20,3.30.20,3.31.20,4.1.20,4.2.20,4.3.20,4.4.20,4.6.20,4.7.20,4.8.20,4.9.20,4.10.20,4.11.20,4.13.20,4.14.20,4.15.20,4.16.20,4.17.20,4.18.20
Primer,LB6,UB1,Warm Up 11,,Warm Up 9,Warm Up 2,Warm Up 8,Warm Up 4,Warm Up 3,,Warm Up 9,3min Glute bridge | 3min planks | 60 IYT,Warm Up 2,Warm Up 8,Warm Up 3,,Warm Up 15,Warm Up 2,Warm Up 13,Warm Up 1,Warm Up 11,,Warm Up 3,Warm Up 2
Strength,,ref 1.3.20,,,ref 4.19.19,ref 1.18.20,,,,,,ref 8.10.19,,,,,,,,,,,,
Athlete,Back Squats 8x4@ 70%,Snatch Balance 6x4@ 70%,Deadlifts 8x4@ 70%,,Dip Clean 6x4@ 70%,,Deadlifts 8x4@ 75%,(Floor) | Power Sn.+OHS 6x3@ 75%,Back Squats 8x4@ 75%,,(Floor) | Power Cl+Fr Sq 6x3@75%,,Back Squats 8x3@ 80%,Snatch Balance 6x4@ 70%,Deadlifts 8x3@ 80%,,Dip Clean 6x4@ 70%,,Deadlifts 8x3@ 85%,(Floor) | Power Cl+Fr Sq 6x3@75%,Back Squats 8x3@ 85%,,(Floor) | Power Sn.+OHS 6x3@ 75%,
Enthusiast,Back Squats 8x4@ 65%,(FL) | Snatch Pull 4x4@ 115/75 | P. Sn 3x4@ 115/75,Deadlifts 8x4@ 65%,,(FL) | Clean Pull 4x4@ 135/85 | P. Cl 3x4@ 135/85,,Deadlifts 8x4@ 70%,(Floor) | Power Snatch 6x4@ 125/80,Back Squats 8x4@ 70%,,(Floor) | Power Clean 6x4@ 155/105,,Back Squats 8x3@ 75%,(FL) | Snatch Hi Pull 3x4@ 115/75 | P. Sn. 4x4@ 115/75,Deadlifts 8x3@ 75%,,(FL) | Clean Pull 3x4@ 135/85 | P. Cl 4x4@ 135/85,,Deadlifts 8x3@ 80%,(Floor) | Power Clean 6x4@ 155/105,Back Squats 8x3@ 80%,,(Floor) | Power Snatch 6x4@ 125/80,Gymnasty Abs  | 3/4 Post
Foundation,Box Squats 8x4@ 115/75,SG DL 4x4@ 95/65 | OHS 4x4@ 45/35,RDL's 8x4@ 135/85,,Deadlift 4x4@ 115/75 | Front Squat 3x4@ 115/75,,RDL's 8x4@ 155/105,(PP) Sn Hi Pull 3x3@ 95/65 | OHS 4x4@ 45/35,Box Squats 8x4@ 125/85,,(PP) Cl Hi Pull 3x3@ 95/65 | Front Squat 4x4@ 115/75,,Box Squats 8x3@ 135/95,SG DL 4x4@ 115/75 | OHS 4x4@ 45/35,RDL's 8x3@ 165/115,,Deadlift 4x4@ 115/75 | Front Squat 3x4@ 115/75,,RDL's 8x3@ 175/125,(PP) Cl Hi Pull 3x3@ 95/65 | Front Squat 4x4@ 115/75,Box Squats 8x3@ 145/105,,(PP) Sn Hi Pull 3x3@ 95/65 | OHS 4x4@ 45/35,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Project Summer Legs,,,,,,Don't Jack Up Your Shoulders,,Optimus Prime,,,,Get Your Rear In Gear (literally),,Back Squat Drop Sets,,,,,,
Athlete,15min AMRAP,EMOM for 12min,5 rounds; for max reps,Test- Single Leg Glute Bridge,for max reps; 20min time cap,10min AMRAP (60% Clean Max),10 rounds; for time,5 rounds; for time,17min AMRAP,Test- Supine OH screen,5 rounds; for time,7min AMRAP,EMOM for 14min,6rds; for time,7rds; (11min time cap),Test- Squat Sit,15min AMRAP,3rds; for max reps,15min AMRAP,for time,EoMOM for 20min,,14min AMRAP,12min AMRAP
,10 Kb Swing (70/55),Min 1: Shoulder press (40's/25's)*,Jumping Lunges (25/15),Stretch- Foot Smash | Calf Smash | Quad Smash | Ham Stretch | Glute Smash | Pigeon,Bench Press (135/85)*,5 Deadlifts,10 Goblet Squats (70/55),:45 Eccentric Dip,12 Side to side lunges (40/25),Stretch- Lats (foam roll) | Scap smash | trap smash (bar) | Scorpion stretch,8 Shoulder Press (50's/35's),Wall Balls (30/20),"6 Step Ups (24"")(50/35)",7 Shoulder Press (115/75),24 Single Leg Hip Raise (50/35),Stretch- Superhero St | Side Hip Smash | Ham Stretch | QL Smash | IT Band Smash | Quad Smash,:30 Reverse Plank,(Squat till you drop),5 Hollow Rocks,5 rounds,8 Squat (35/25),,6 Pistol Squat,30 Dubs
,20 Dubs,Min 2: Chest to Bar Pull Ups,Lunges (25/15),Activate- Prone Iso Kickbacks | Glute Bridge (ft far away) | Donkey Squats (short foot focus) ,DB Rev Flys (15's/10's),4 Power Cleans,10 Straight Leg Raises (20/14),10 Chest to Bar Pull Ups,:15 L-Sit,Activate- Serratus Ant. Act. | Scap push ups | Hollow hold (w/ band) | Bent Over Shoulder Press,10yd Bear Crawl (pvc),,8 Squats (50/35),:20 Tuck Planche Hold,12 Kb Swings (70/55),Activate- Marches | Clams (w/ weight) | Plank w/ Leg Raise,8 Chest to Bar Pull Ups,(225/155)-->(135/105)-->(45/35),5 Squat,10 Push Ups,8 Lunge (35/25),,15 Bent Over rows (135/85),10 Burpees
,:30 Kneading Plank (pvc),,Squats (25/15),Integrate- RDL's ,,3 Front Squats,,30 Dubs,20 Seated Hamstring Curl (black band),Integrate- Shoulder Press (db's),20ea Lateral Crossovers,5 Deadlift (225/155),10 Dubs,,6 Toes to Bar,Integrate- RDL's | Lunge w/ leg raise,8 Ring Dips,,5 Prone BNP,10 Sit Ups,16 Single Leg Glute Bridge (35/25),,,
,,*Sh Pr Against Squat Rack,,"Re-test- Single Leg Glute Bridge""",*Explosive reps (slow down),2 Shoulder to Overhead,,,,Re-test- Supine OH Screen,,At the top of every min (starting at 1:00),,,,Re-test- Squat Sit,,,5 Step Ups (w/ weight),,*add 10lbs after ea completed rd,,,
,,,,,,,,,,,,,,,,,,,5 Plank Walkouts,4 rounds,,,,
,,,,,,,,,,,,,,,,,,,5 Dubs,8 Ring Dips,,,,
,,,,,,,,,,,,,,,,,,,,12 Tuck Ups,,,,
,,,,,,,,,,,,,,,,,,,*No hands when standing or descending,,,,,
,,,,,,,,,,,,,,,,,,,,3 rounds,,,,
,,,,,,,,,,,,,,,,,,,,6 Russian Push Ups,,,,
,,,,,,,,,,,,,,,,,,,,14 V-Ups,,,,
