WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,8.15.22,8.16.22,8.17.22,8.18.22,8.19.22,8.20.22,8.22.22,8.23.22,8.24.22,8.25.22,8.26.22,8.27.22,8.29.22,8.30.22,8.31.22,9.1.22,9.2.22,9.3.22,9.5.22,9.6.22,9.7.22,9.8.22,9.9.22,9.10.22
Primer,20yd Sprint/20yd Lunge x4,Clean Hi Pull (PP) 5x5@ 55%,Turkish Get Up Bridge x20ea,,Push Press 5x5@ 135/85,Snatch Hi Pull (PP) 5x5@ 55%,500m Row,Snatch Pull 5x5@ 55%,Single Leg Squat x20,,Wall Walks x10,Clean Pull 5x5@ 55%,Turkish Glute Bridge x20ea,2x 10 Box Jumps,Sweaty Mans,,Snatch Pull 5x5@ 55%,,,Clean Pull 5x5@ 55%,500m Row,,10 Box Jumps,Hang Snatch Pull 5x5@ 55%
Strength,,,ref 5.24.22,,ref 5.27.22,,,,,,Final Friday,,ref 3.23.22,ref 9.6.16,,,,,Labor Day,,,,ref 9.9.16,
Athlete,Back Squat 4x2@ 80%,Power Clean 5x3@ 65%,Deadlift 4x2@ 80%,,Bench 4x2@ 80%,Power Snatch 5x3@ 65%,Deadlift 5x3@ 90%,Power Snatch 5x3@ 70%,Back Squat 5x3@ 90%,,Bench 5x3@ 90%,Power Clean 5x3@ 70%,Back Squat 5x3@ 85%,Power Clean 5x4@ 65%,Bench 5x3@ 85%,,Power Snatch 5x4@ 65%,,,Power Clean 5x2@ 80%,Deadlift 5x1@ 95%,,Back Squats 5x1@ 95%,Power Snatch 5x1@ 80%
Enthusiast,Back Squat 4x2@ 80%,Power Clean (PP) 5x3@ 155/95,Deadlift 4x2@ 80%,,Bench 4x2@ 80%,Power Sn (PP) 5x3@ 115/80,Deadlift 5x3@ 90%,Power Sn (PP) 5x3@ 125/85,Back Squat 5x3@ 90%,,Bench 5x3@ 90%,Power Cl (PP) 5x3@ 165/105,Back Squat 5x3@ 85%,Power Cl (PP) 5x4@ 155/95,Bench 5x3@ 85%,,Power Sn 5x4 (PP) @ 115/75,NO CLASS,NO CLASS,Power Cl (PP) 5x1@ 185/115,Deadlift 5x1@ 95%,,Back Squats 5x1@ 95%,Power Sn (PP) 5x1@ 135/95
Foundation,Box Squat 4x2@ 115/85,Muscle Clean (PP) 5x3@ 95/65,RDL 4x2@ 165/115,,Bench 4x2@ 115/85,Muscle Sn (PP) 5x3@ 85/55,RDL 5x3@ 185/125,Muscle Sn (PP) 5x3@ 95/65,Box Squat 5x3@ 125/95,,Bench 5x3@ 125/95,Muscle Cl (PP) 5x3@ 105/75,Box Squats 5x3@ 115/85,Muscle Cl (PP) 5x4@ 95/65,Bench 5x3@ 120/90,,Muscle Sn (PP) 5x4@ 85/55,,,Muscle Cl (PP) 5x1@ 115/85,RDL 5x2@ 205/135,,Box Squats 5x1@ 135/105,Muscle Sn (PP) 5x1@ 105/75
At-Home,Single Leg Squat 5x5ea @ bw,Squat Hops 5x7@ bw,Single Leg RDL 4x5ea @ bw,,Push Ups 5x5@ bw,OHS 5x5@ pvc,Single Leg RDL 5x5ea@ backp,OHS 5x7@ pvc,Single Leg Squat 5x5ea@ 10lb,,Push Ups 5x7@ bw,Broad Jumps 5x7@ bw,Single Leg Squat 5x5ea@ bw,Squat Hops 5x6@ bw,Push ups 5x5@ bw,,OHS 5x5@pvc,,,Broad Jumps 5x10@ bw,Single Leg RDL 5x7ea@ backp,,Single Leg Squat 5x7ea@ 10lb,OHS 5x10@ pvc
,,,,,,,A- lt | L- med  | End,A- hvy | L- lt | Jack,A- lt | L- hvy  | HIIT,,A- hvy | L- med | Jacked,A- med | L- hvy | HIIT,A- lt | L- med  | Mus End,A- hvy | L- lt | Jacked,A- med | L- med  | HIIT,,A- med | L- hvy | Jacked,A-  | L-  |,A-  | L-   |,A- hvy | L- Lt  | Strength,A- Lt | L- Med   | HIIT,,A- Med | L- Hvy  | HIIT,A- Hvy | L- Lt  | Jacked
WoD,,,,https://youtu.be/a6f3b55ol4c,Bar Complex,,,,,https://youtu.be/cgpFFxI8Z_o,,,,,,https://youtu.be/dE6Bddqsbcg,,,,,,https://youtu.be/8PMplNibha0,,
Athlete,5rds; for time,12min AMRAP,4rds; for time,,10 reps ea | 3rds,15min AMRAP,15min AMRAP,5rds; for time,12min AMRAP,,5rds; for time,7rds; for time (1:1 | W:R),12min AMRAP,12-9-6-3; for time,EMOM for 10min,,Deadlift 5x3@ 85%,,,Bench 5x1@ 95%,EMOM for 10min,,5rds; for time,4rds; for time
,12 Plyo Push Ups,10 Muscle Cleans (95/65),5 Front Levers,,(65/45),7 Thruster (135/85),30 Dubs,7 Push Press (165/105),1min on/1min off,,7 Shoulder Press (125/80),20 Apollo Ohno's,10 Lunges (135/85),Push Press (165/90),5 Db Thrusters (50's/35's),,,,,,"4 Step Ups (24"")",,2 Clusters (185/125),5 Shoulder Press (135/85)
