WEEK,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE
Day,4.20.20,4.21.20,4.22.20,4.23.20,4.24.20,4.25.20,4.27.20,4.28.20,4.29.20,4.30.20,5.1.20,5.2.20,5.4.20,5.5.20,5.6.20,5.7.20,5.8.20,5.9.20,5.11.20,5.12.20,5.13.20,5.14.20,5.15.20,5.16.20
Primer,Warm Up 4 (LB4),Warm Up 5,Warm Up 2,,UB1,Warm Up 3,Warm Up 12,Warm Up 2,Warm Up 4,,Warm Up 3,Warm Up 8,Warm Up 2,Warm Up 5,Warm Up 11,,Warm Up 12,General Stretching (7 min),Warm Up 13,Warm Up 15,Warm Up 11,,Warm Up 14,General Stretch/Act. (10min)
Strength,,,,,,,,,,,,,,,ref 3.25.20,,,,,,,,,
Athlete,Back Squats 7x3@ 80%,(Floor) | Sn Pull 2x3@ 75% | Power Sn 5x3@ 75%,Deadlifts 7x3@ 80%,,(Floor) | Cl Pull 2x3@ 75% | Power Cl 5x3@ 75%,Gymnasty Abs,Deadlifts 7x3@ 85%,(Kn) Hang Cl Pull 3x3@ 70% | (FL) Power Cl 80%,Back Squats 7x3@ 85%,,(Kn) Hang Sn Pull 3x3@ 70% | (FL) Power Sn 80%,Reverse Tabata | Hollow Plank | Pike Leg Lifts,Back Squats 7x2@ 87%,(floor) | Tall Snatch 3x3@ 60% | Power Snatch 4x3@ 85%,Deadlifts 7x2@ 87%,,(Floor) | Muscle Clean 3x3@ 50% | Power Clean 4x3@ 85%,5 rounds; for max reps | V-Up  | Hollow Roll | V-Up | *holding paper towel between ft*,Deadlifts 7x2@ 90%,(floor) | Cl. Pull (H. @Kn) 2x3@ 60% | Power Cl 5x2@ 90%,Back Squats 7x2@ 90%,,(floor) | Sn Pull (H. @Kn) 2x3@ 60% | Power Sn 5x3@ 90%,Tabata Butt Kickers (High knees) | Tabata A-Skips | (alternating)
Enthusiast,Back Squats 7x3@ 75%,(PP) | Sn Hi Pull 2x3@ 115/75 | Power Sn 5x3@ 115/75,Deadlifts 7x3@ 75%,,(PP) | Cl Hi Pull 2x3@ 135/85 | Power Cl 5x3@ 135/75,,Deadlifts 7x3@ 80%,(PP) | Cl Pull 3x3@ 155/95 | Power Cl 5x3@ 145/85,Back Squats 7x3@ 80%,,(PP) | Sn Pull 3x3@ 125/85 | Power Sn 5x3@ 125/85,,Back Squats 7x2@ 83%,(PP) | Tall Snatch 3x3@ 95/65 | Power Snatch 4x3@ 95/65,Deadlifts 7x2@ 83%,,(PP) | Muscle Clean 3x3@ 115/75 | Power Clean 4x3@ 135/85,,Deadlifts 7x2@ 85%,(PP) | Cl Pull 3x3@ 135/85 | Power Cl 5x3@ 155/95,Back Squats 7x2@ 85%,,(PP) | Sn Pull 3x3@ 135/85 | Power Sn 5x3@ 135/85,
Foundation,Box Squats 7x3@ 145/85,Iso Sn Start 2x :20@ 95/65 | OHS 5x3@ 45/35,RDL's 7x3@ 155/85,,Iso Cl Start 2x :20@ 115/75 | Front Squat 5x3@ 115/75,,RDL's 7x3@ 165/95,Hang Hi Pull 3x3@ 115/75 | Front Squats 5x3@ 115/75,Box Squats 7x3@ 155/90,,Hang Hi Pull 3x3@ 95/65 | OHS 5x3@ 45/35,,Box Squats 7x2@ 165/95,Tall Snatch (PP) 3x3@ 75/45  | OHS 4x3@ 45/35 ,RDLs 7x2@ 175/105,,Muscle Clean (PP) 3x3@ 95/65 | Front Squat 4x3@ 95/65,,RDL's 7x2@ 185/125,Fr Sq 7x3@ 115/80,Box Squats 7x2@ 175/105,,OHS 7x3@ 45/35,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Crouching Tiger | Hidden Dragon,,,,,,How Be More Like Capt America/Marvel,,,,,,How to Be Awesome At Everything,,,,,,,,
Athlete,EMOM for 14min,12min AMRAP,10 rounds; for time,Test- Squat Sit to half squat | squat sit to full explosive squat,15min AMRAP,for time,10 rounds; for time,12min AMRAP,10 rounds; for time,Test- Handstand hold/Elevated Plank,15min AMRAP,5 rounds,7rds; for time,12min AMRAP,5 rounds; for max reps ,Test- Forward Roll,12min AMRAP,for time,6 rounds; for time,9rds; for time,15min AMRAP,,12min AMRAP,10rds; for time
,10 Bulgarian Split Squats (AHvyAP),3 Planche Push Ups,5 Glute Bridge Leg Curl (slide),Stretch- Adductor St (side lunge) | Calf Stretch | Kneeling Stretch | Elevated Pigeon |,:20 Reverse plank to L-Sit (slider),20 Pull Ups,5 Body Saw,14 Lunges (>45lbs),8 Archer Push Ups,Stretch- QL Sm | Hip Flexors | Upper back | Lats | Traps,7 Single Leg RDL (>40lbs),5 Dips,12 Glute Bridge Curl (slide),10 Archer Push Ups,Jumping Lunges (>40lbs) ,Stretch- Upper back | hips | low back | Hams | Shoulders,6 Pull Ups (weighted),30 Pike Sliders,12 Bulgarian Split Squats (55/35),6 Body Saw,8 Bottom Up Squats (70/55),,6 Handstand Push Ups,3 Planche Push Up
,max Suitcase Carry,3 Dragon Flag,10 Squats (wt. >40lbs),Act.- Marches | Leg Raises | Draw circle with knees (quad),20 Pike Leg Lifts,10ea side Pistol Complex ,5 Weighted Pull Ups,15 Dubs,4 HSPU,Act.- Serratus Ant. | Abs | Lats | Upper back | Hollow Arch Plank,15 Side Steps,5 Hollow plank to pike to squat jump,6 Pull Ups (weighted),40yd Suitcase Carry (70/55),Lunges (>40lbs) ,Act- Hollow Rock | Egg Roll | Ankle Mobility Drill | Prone BNP | Pike Ups,15 Dubs,2min Handstand Hold,15 V-Ups,7 Pull Ups (weighted),10 Glute Bridge Leg Curl (sliding),,:20 L-Sit,10yd Seal Drags
,,,,Re-test- same as above,20 Seal Drag,(narrow sq down | pistol up | pistol down | narrow squat up),,,,Re-test- same as above,15 Step Overs,,3 Dragon Flags,,Squats (>40lbs),Re-test- same,,,,8 Dips (weighted),,,,20 Dubs
,,,,,,20 Pull Ups,,,,,15 Side Steps,,,,,,,,,,,,,
,,,,,,,,,,,7 Single Leg RDL (>40lbs),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,EMOM for 14min,12min AMRAP,10 rounds; for time,Crouching Tiger | Hidden Dragon,15min AMRAP,for time,10 rounds; for time,12min AMRAP,10 rounds; for time,How Be More Like Capt America/Marvel,15min AMRAP,5 rounds,7rds; for time,12min AMRAP,5 rounds; for max reps ,How to Be Awesome At Everything,12min AMRAP,for time,6 rounds; for time,9rds; for time,15min AMRAP,,12min AMRAP,10rds; for time
,10 Bulgarian Split Squats,3 Push Ups,5 Glute Bridge Leg Curl (walk),Test- Squat Sit to half squat | squat sit to full explosive squat,:20 Reverse plank,20 Pull Ups,5 Plank Walkouts (feet),14 Lunges (mod. wt 25-45lbs),8 Push Ups,Test- Handstand hold/Elevated Plank,7 Single Leg RDL (lt wt 15-25lbs),5 Dips,12 Glute Bridge Curl (walking),10 Push Ups,Jumping Lunges (25/15) ,Test- Forward Roll,6 Pull Ups,30 Pike Sliders,12 Bulgarian Split Squats (40/25),6 Plank Walkouts,8 Bottom Up Squats (55/35),,6 Pike Push Ups,3 Dips
,max Suitcase Carry,3 Eccentric Dragon Flag,10 Squats (wt. 15-25lbs),Stretch- Adductor St (side lunge) | Calf Stretch | Kneeling Stretch | Elevated Pigeon |,20 Pike Leg Lifts,10ea side Pistol Complex ,5 Pull Ups,15 Dubs,4 Pike Push Ups,Stretch- QL Sm | Hip Flexors | Upper back | Lats | Traps,7 Side Steps,5 Hollow plank to pike to squat jump,6 Pull Ups (Bw/band),40yd Suitcase Carry (55/35),Lunges (25/15) ,Stretch- Upper back | hips | low back | Hams | Shoulders,15 Dubs,2min Handstand Hold,15 Sit Ups,7 Pull Ups,10 Glute Bridge Leg Curl (walking),,:10 L-Sit,10yd Seal Drags
,,,,Act.- Marches | Leg Raises | Draw circle with knees (quad),20 Seal Drag,(narrow sq down | pistol up | pistol down | narrow squat up),,,,Act.- Serratus Ant. | Abs | Lats | Upper back | Hollow Arch Plank,7 Step Overs,,3 Ecc. 1-leg Dragon Flags,,Squats (25/15),Act- Hollow Rock | Egg Roll | Ankle Mobility Drill | Prone BNP | Pike Ups,,,,8 Dips,,,,20 Dubs
,,,,Re-test- same as above,,20 Pull Ups,,,,Re-test- same as above,7 Side Steps,,,,,Re-test- same,,,,,,,,
,,,,,,,,,,,7 Single Leg RDL (lt wt 15-25lbs),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,EMOM for 14min,12min AMRAP,10 rounds; for time,Crouching Tiger | Hidden Dragon,15min AMRAP,for time,10 rounds; for time,12min AMRAP,10 rounds; for time,How Be More Like Capt America/Marvel,15min AMRAP,5 rounds,7rds; for time,12min AMRAP,5 rounds; for max reps ,How to Be Awesome At Everything,12min AMRAP,for time,6 rounds; for time,9rds; for time,15min AMRAP,,12min AMRAP,10rds; for time
,10 Split Squats,3 Knee Push Ups,5 Marching Glute Bridge,Test- Squat Sit to half squat | squat sit to full explosive squat,:20 Reverse plank,20 Pull Ups,5 Plank Walkouts (knees),14 Lunges (bw),8 Knee Push Ups,Test- Handstand hold/Elevated Plank,7 Single Leg RDL (bw),5 Dips,12 Glute Bridge Marches,10 Knee Push Ups,Jumping Lunges (bw),Test- Forward Roll,6 Ring Rows,30 Walking Pike Up,12 Split Squats (bw),6 Plank Walkouts (knees),8 Bottom Up Squats (bw),,6 Pike Push Ups,:20 Pseudo Planche Hold
,max Suitcase Carry,5 Candlesticks,10 Squats (wt. 15-25lbs),Stretch- Adductor St (side lunge) | Calf Stretch | Kneeling Stretch | Elevated Pigeon |,20 Pike Leg Lifts,10ea side Pistol Complex ,5 Bent Over Rows,45 Singles,4 Walking Pike Up,Stretch- QL Sm | Hip Flexors | Upper back | Lats | Traps,7 Side Steps,5 Hollow plank to pike to squat jump,6 Ring Rows,40yd Suitcase Carry (40/25),Lunges (bw),Stretch- Upper back | hips | low back | Hams | Shoulders,45 Singles,2min Box Assisted Handstand Hold,15 Crunches,7 Ring Rows,10 Marching Glute Bridge,,10 Seated Pike Ups,:20 Kneading Planks
,,,,Act.- Marches | Leg Raises | Draw circle with knees (quad),20 Kneading Planks,(narrow sq down | pistol up | pistol down | narrow squat up),,,,Act.- Serratus Ant. | Abs | Lats | Upper back | Hollow Arch Plank,7 Step Overs,,3 Straight Leg Raises,,Squats (bw),Act- Hollow Rock | Egg Roll | Ankle Mobility Drill | Prone BNP | Pike Ups,,,,8 Knee Push Ups,,,,60 Singles
,,,,Re-test- same as above,,20 Pull Ups,,,,Re-test- same as above,7 Side Steps,,,,,Re-test- same,,,,,,,,
,,,,,,,,,,,7 Single Leg RDL (bw),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Out,2min ea Pigeon Stretch,2min ea Arm Circles,20ea Split Squats,,2min ea Couch Mobility,max Handstand Hold,3min Plank,2min ea Samson St,2min Karate Chop (ea),,20ea Split Squats,3 rounds; max push ups,2min Pigeon (ea side),3min Plank,2min Superhero (ea side),,1min Batwing,2rds max split squats (ea side),2min Samson Stretch (ea side),2min Karate Chop (ea side),2min Superhero St (ea side),,2min Couch Mobility (ea side),40 Wrist Curls/Ext (each)
