WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,2.26.24,2.27.24,2.28.24,2.29.24,3.1.24,3.2.24,3.4.24,3.5.24,3.6.24,3.7.24,3.8.24,3.9.24,3.11.24,3.12.24,3.13.24,3.14.24,3.15.24,3.16.24,3.18.24,3.19.24,3.20.24,3.21.24,3.22.24,3.23.24
Primer,12ea Hip Airplanes,10ea Med Ball Side Toss,15 Box Jumps,,Movement Prep 1,20 Jumping Lunges,300m Row,15 Box Jumps,3x :10 Iso Deadlift,,Movement Prep 1/Shoulder Wind Up,10 Pressing Sn Bal,25 Kb Swings,10 Drop Snatch,400m Row,,Movement Prep 1,15 Box Jumps,25 Kb Swings,15 Box Jumps,3x :10 Iso DL,,10 Med Ball side Toss,10 Drop Snatch
Strength,6.19.23,12.9.23 | 4.11.23,1.14.23 | 7.22.22,Leap Day!,,,ref 11.18.19,ref 11.19.19,ref 11.20.19,,,11.19.22,1.20.23,2.28.20 | 4.19.19,1.4.22 | 1.4.16,,,12.13.23 | 9.18.23 | 10.17.22,7.11.23 | 1.24.23,7.12.23 (ish) | 1.25.23,1.28.23 | 10.12.22,,9.26.23 | 9.10.21,7.15.23
Athlete,Deadlifts 5x5@ 65%,Hi Pull+Hang Sn+OHS 6x2@ 60%,Back Squats 5x5@ 65%,,Bench Press 5x5@ 65%,Hi Pull+Hang Cl+Fr Sq 6x2@ 60%,Back Squats 5x3@ 75%,Hang Clean 6x2@ 75%,Deadlifts 5x3@ 75%,,Bench Press 5x3@ 75%,Hang Snatch 6x2@ 75%,Deadlifts 5x5@ 75%,Snatch 6x3@ 80%,Back Squats 5x5@ 75%,,Bench Press 5x5@ 75%,Clean 6x3@ 80%,Back Squats 3x Max@ 50%,Clean 6x4@ 75%,Deadlifts 3x10@ 50%,,Bench Press 3x Max@ 50%,Snatch 6x4@ 75%
Enthusiast,Deadlifts 5x5@ 55%,Hi Pull+Hang Sn+OHS 6x2@ 95/65,Back Squats 5x5@ 55%,,Bench press 5x5@ 55%,Hi Pull+Hang Cl+Fr Sq 6x2@ 135/85,Back Squats 5x3@ 65%,Hang Power Clean 6x2@ 185/105,Deadlifts 5x3@ 65%,,Bench Press 5x3@ 65%,Hang Snatch 6x2@ 125/75,Deadlifts 5x5@ 65%,Power Snatch 6x3@ 135/85,Back Squats 5x5@ 65%,,Bench Press 5x5@ 65%,Power Clean 6x3@ 185/125,Back Squats 3x Max@ 40%,Power Clean 6x4@ 155/115,Deadlifts 3x10@ 40%,,Bench Press 3x Max@ 40%,Power Snatch 6x4@ 115/75
Foundation,RDL's 5x5@ 115/75,Overhead Squats 6x5@ 45/35,Box Squats 5x5@ 135/85,,Bench Press 5x5@ 75/45,Front Squats 6x5@ 45/35,Box Squats 5x3@ 5x3@ 145/90,Zombie Squats 6x3@ 45/35,RDL's 5x3@ 125/85,,Bench Press 5x3@ 85/55,OHS 6x5@ pvc,RDLs 5x5@ 125/85,Overhead Squat 6x5@ 25/15,Box Squats 5x5@ 145/90,,Bench Press 5x5@ 85/55,Front Squat 6x5@ 95/65,Box Squats 3x 10@ 95/65,Front Squats 6x7@ 95/65,RDL's 3x10@ 135/85,,Bench Press 3x Max@ 95/65,Overhead Squat 6x5@ 45/35
At-Home,Single leg RDL's 5x7ea@ bw,Squat Sit BNP 6x10@ pvc,Heel Touches 5x10ea,,Push Ups 5x10@ bw,Sotts Press 5x10@ pvc,Single Leg Squats 5x10ea@ bw,Squat Jumps 6x7@ bw,Single Leg RDL's 5x10ea@ bw,,Push Ups 5x12@ bw,OHS 6x5@ pvc,Single Leg RDL's 5x12ea@ bw,Sq Sit BNP 6x7@ pvc,Single leg Squats 5x12ea@ bw,,Push Ups 5x15@ bw,Squat Jumps 6x10@ bw,"Air Squats 3x Max@ bw (3"" down/1"" up)",Squat Jumps 6x12@ bw,"RDL's 3x Max@ bw (3"" down/1"" up)",,Push Ups 3x Max@ bw,Broad Jumps 6x10@ bw
,A- Lt | L-Hvy,A- Hvy | L- Lt,A- Med | L- Lt,,A- | L-,A - Med | L- Med,A- Med | L- Lt,A- Lt | L- Hvy,A- Hvy | L- Lt,,A- Lt | L- Hvy,A-Med | L-Hvy,A- Lt (30) | L-Med (140),A- Hvy | L-Lt,A- Med | L-Hvy,,,A-Lt | L-Hvy,A- Lt (cleans) | L- Hvy (175),A- Hvy (Drop) L- Lt (10),A- Hvy (150) L- Med (100),,A-Lt | L-Med,A- Med | L- Med
WoD,,,,Relieve Shoulder and Neck Tension - YouTube,CrossFit Open 24.1,Deep Six Practice,,,,Low Back Pain Relief #1 - YouTube,CrossFit Open 24.2,,,,,,CrossFit Open 24.3,,,,,Relieve Shoulder and Neck Tension - YouTube,,
Athlete,15min AMRAP,EMOM for 12min,Buy in,,21-15-9,5 rounds; (55/35); one-arm,10rds; for time,15min AMRAP,For max reps,,20min AMRAP,5rds; 25min time cap,5rds; for time,for max reps; 20min time cap,5rds; for max reps,,,10-20-30-40; for time,5rds; for time,Shoulder Press Drop Sets,5rds; for time | 15min cap,,15min AMRAP,for time; 8min time cap
