WEEK,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE
Day,6.17.19,6.18.19,6.19.19,6.20.19,6.21.19,6.22.19,6.24.19,6.25.19,6.26.19,6.27.19,6.28.19,6.29.19,7.1.19,7.2.19,7.3.19,7.4.19,7.5.19,7.6.19,7.8.19,7.9.19,7.10.19,7.11.19,7.12.19,7.13.19
Primer,,,,,,6x 100m Row sprints,,,,,,,,,,,,,,,,,,
Strength,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,Back Squats 3x10@ 70%,Pull Under 6x3@ 50% | Hang Sq Sn 6x3@ 50%,Deadlifts 3x10@ 70%,Durante Core | 5rds; for time | 10 Hollow Body rocks | 10 V-Ups | 10 Tuck Ups | :10 Hollow Hold | 1min rest,50 BW Squats (for time),,Deadlifts 4x10@ 50% (3min sets),Pull Under 6x3@ 50% | Hang Sq Cl 6x3@ 50%,Back Squat 4x10@ 50% (3min sets),Abs: | 5rds | 10 Prone Shoulder Press | 10 Hollow Rocks | 10 Tuck Ups,Drop Snatch 5x4@ 50% | Hang Sq Sn 5x4@ 55%,,Back Squats 3x12@ 60%,Snatch 6x4@ 60% (sl |sl |quick),Deadlifts 3x12@ 60%,,Clean 6x4@ 60% (sl | sl | quick),,Deadlifts 4x10@ 55% (3min sets),DL+Power Cl+Sq Cl 6x3@ 60%,Back Squats 4x10@ 55% (3min sets),Abs: | 5min planks,SG DL+Power Sn+Snatch 6x3@ 60%,
Enthusiast,Back Squats 3x10@ 65%,Drop Snatch 6x3@ 45/35 | Hang Power Sn 6x3@ 75/45,Deadlifts 3x10@ 65%,,,,Deadlifts 4x10@ 50% (3min sets),Pull Under 6x3@ 45/35 | Hang Power Cl 6x3@ 95/65,Back Squat 4x10@ 50% (3min sets),,Heaving Sn 5x4@ 75/45 | Hang Power Sn 5x4@ 95/65,,Back Squats 3x12@ 50%,Power Snatch 6x4@ 50%,Deadlift 3x12@ 50%,,Power Clean 6x4@ 50%,,Deadlift 4x10@ 55%,DL+2 Power Cl 6x3@ 50%,Back Squats 4x10@ 55%,,SG DL+ 2 Power Sn 6x3@ 95/65,
Foundation,Back Squats 3x10@ 95/65,Muscle Snatch (floor) 6x4@ 75/45,Deadlifts 3x10@ 115/75,,,,Deadlifts 4x10@ 135/85 (3min sets),Muscle Clean (floor) 6x4@ 95/65,Back Squat 4x10@ 75/45 (3min sets),,Hang Muscle Sn 6x4@ 75/45,,Back Squats 3x12@ 95/65,Hang Snatch 6x4@ 75/45,Deadlift 3x12@ 155/105,,Hang Clean 6x4@ 95/65,,Deadlift 4x10@ 135/85,DL+2 Mus Cl 6x3@ 95/65,Back Squats 4x10@ 75/45,,SG DL + 2 M. Sn 6x3@ 75/45,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,FGB Style,Musical KB's,,,,,,,,,Helen,,,,Holbrook,,Zachary Tellier,,,,,,Trevor
Athlete,EMOM for 12min,for max reps,for 200 reps,Pull Ups,15min AMRAP,No Class!,EMOM for 15min,5 rounds; for time,7 rounds; for time,Kb Swings,20min AMRAP,3 rounds; for time,15min AMRAP,7rds; for time,15min AMRAP,10rds for time,Team Row; for max distance (in m),10 Burpees------,4x3min AMRAPs; for max reps,7rds; for time,15min AMRAP,,8rds; for time,for time; in teams of four
