WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,6.19.23,6.20.23,6.21.23,6.22.23,6.23.23,6.24.23,6.26.23,6.27.23,6.28.23,6.29.23,6.30.23,7.1.23,7.3.23,7.4.23,7.5.23,7.6.23,7.7.23,7.8.23,7.10.23,7.11.23,7.12.23,7.13.23,7.14.23,7.15.23
Primer,20ea Side lying leg circles,20 Squat Hops,1min Reverse Plank Raises,,10 Eccentric Push Ups,12 Depth Jumps,20 Kb Swings,20 Squat Hops,20 Jumping Lunges,,12 Plyo Push Ups,12 OHS,10 Tempo Squats,Movement Prep,3x :10 Iso Deadlifts,,10 Pressing Snatch Balance,10 Sott's Press,20 Split Squats,15 Box Jumps,16 Single leg Squats,,12 OHS,15 Plyo Push Ups
Strength,,,,,,,,,,,,,,ref 7.4.22,,,,,,ref 1.24.23,ref 1.25.23 (ish),,ref 1.27.23,"""Finale"" MWFC 2022"
Athlete,Back Squats 7x3,Sn Hi Pull + Hang Snatch 6x2@ 70%,Deadlifts 7x3,,Bench Press 7x3,Cl Hi Pull + Hang Clean 6x2@ 70%,Deadlifts 5x3@ 80%,Clean 6x3@ 65%,Back Squats 5x3@ 80%,,Bench 5x3@ 80%,Snatch 6x3@ 65%,Back Squats 5x3@ 83%,,Deadlifts 5x3@ 83%,,Snatch 6x3@ 70%,Clean 6x3@ 70%,Deadlifts  5x2@ 85%,Cleans  6x2@ 75%,Back Squats 5x2@ 85%,,Snatch  6x2@ 75%,Bench  5x2@ 85%
Enthusiast,Back Squats 7x3,Sn Hi Pull + Hang Power Snatch 6x2@ 115/75,Deadlifts 7x3,,Bench Press 7x3,Cl Hi Pull + Hang Power Clean 6x2@ 155/95,Deadlifts 5x3@ 70%,Power Clean 6x3@ 165/105,Back Squats 5x3@ 70%,,Bench 5x3@ 70%,Power Snatch 6x3@ 95/65,Back Squats 5x3@ 75%,,Deadlifts 5x3@ 75%,,Power Snatch 6x3@ 115/75,Power Clean 6x3@ 185/115,Deadlifts  5x2@ 80%,Power Cleans 6x2@ 185/115,Back Squats 5x2@ 80%,,Power Snatch 6x2@ 125/85,Bench  5x2@ 80%
Foundation,Box Squats 7x3,Sn Hi Pull + Hang Muscle Snatch 6x2@ 75/45,RDL's 7x3,,Bench Press 7x3,Db Cl Hi Pull + Db Hang Muscle Clean 6x2@ 40's/25's,RDL's 5x3@ 135/85,Db Muscle Clean 6x3@ 40's/25's,Box Squats 5x3@ 95/65,,Bench 5x3@ 115/75,Db Muscle Snatch 6x3@ 25's/15's,Box Squats 5x3@ 115/75,,RDL's 5x3@155/95,,Db Muscle Snatch 6x5@ 25's/15's,Db Muscle Clean 6x5@ 40's/25's,RDL's 5x3@ 175/105,Db Muscle Cleans 6x5@ 40's/25's,Box Squats 5x2@ 125/85,,Db Muscle Snatch 6x5@ 25's/15's,Bench 5x2@ 125/85
At-Home,Body Weight Squat 10x10,Broad Jump + OHS 6x 2+5,Single Leg RDL 7x3ea,,Push Ups  7x10,Jumping Lunges 6x12,Hip Airplanes 5x10ea,Vertical Jump 20x2,Tempo Squats 5x3@ 10-10-1,,Temp Push Ups 5x3@ 5-5-1,Broad Jump 20x1,Single Leg Squat (to box) 5x5ea @ As Low As Possible,,Single Leg RDL's 5x10ea,,Overhead Squats 6x12@ pvc,Squat Jumps 6x10,Hip Airplanes  5x10ea,Squat Jumps  10x6,Single Leg Squat (to box) 5x5ea (AsLowAsPossible),,Squat Sit Behind the Neck Press 6x12@ pvc,Eccentric Push Ups 5x5@ 511
,A- Lt | L-Hvy,A- Hvy | L-Lt,A- Med | L- Med,,A- Hvy | L- Lt,A- Lt | L- Med,A-Lt | L- Hvy,A-Hvy | L- Lt,A- Med | L-Hvy,,A- Med | L-Med,,A- Med | L- Hvy,A- Lt | L-Med,A-Hvy | L-Lt,,A-Med | L-Med,A- Hvy | L-Hvy,,A- Lt (cleans) | L- Hvy (175),A- Hvy (Drop) | L- Lt (10),,A- Med (70) | L-Med (80),A- Med | L- Med
WoD,,,,Knee Pain Relief,,,,,,Relieve Shoulder and Neck Tension,,,"""Disguise Surprise""","""1776""",Elvis Press-ly,Knee Pain Relief,3rds; for time 20 Kb Swings (70/55) 30 Floor Press (135/85) 40 Reachthroughs,No Pain | No Gain,,,,Low Back Relief,,
Athlete,15min AMRAP,4rds; for quality,4rds; for quality,,12min AMRAP,15min AMRAP,15min AMRAP,5rds; for quality,10!,,5rds; for quality,15min AMRAP,3 rounds; for time,7 rounds; for time,4 rounds; for time,,3rds; for time,for time,EoMOM for 14min,5rds; for time,Shoulder Press Drop Sets,,EMOM for 12min,for time; 8min time cap
,24 Bulgarian Split Squats (25/15),10 Sh Press (95/65),8 RDL's (135/85),,8 Thrusters (115/75),"5 Box Jumps (30"")",20 Lunges (40/25),8 Shoulder Press (115/75),Chin Ups (25/15),,12 Kb Swings (70/55),20 Atlas Swings (35/25),50 Squats ,4 Chin Ups (40/25),5 Push Press (155/105),,20 Kb Swings (70/55),100 Thrusters (95/65),for max reps,14 Bulgarian Split Squats (40/25),for max reps,,max Pull Ups,30cal row
,60sec Plank,12 Ring Rows,10 Pull Ups,,10 Ring Dips,10 Push Press (155/95),14 Cossack Squats (40/25),12 Bent Over Row (115/75),Fr Squats (50% BS Max),,24 Rotating Landmine Press (25/15),10 Pull Ups (25/15),40 Sit Ups,17 Dubs,10 1-Arm Devil Press (40/25),,30 Floor Press (135/85),5 Wall walks every time you need to take a break,RDL's (135/85),15 Db Squats (40's/25's),max @ 85%,,"max Step Ups (24"")(40/25)","40 Burpee Box Jump Overs (30""/24"")"
