WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,1.31.22,2.1.22,2.2.22,2.3.22,2.4.22,2.5.22,2.7.22,2.8.22,2.9.22,2.10.22,2.11.22,2.12.22,2.14.22,2.15.22,2.16.22,2.17.22,2.18.22,2.19.22,2.21.22,2.22.22,2.23.22,2.24.22,2.25.22,2.26.22
Primer,Agility Drills,,Sled Push 6@ 135/90,,Hot Lava,,40yd Broad Jump,,,,Sq Sit BNP,,,,"15 Box Jumps (24""/20"")",,,,,,,,,
Strength,ref 2.5.16,,,,,ref 2.13.16,ref 2.1.16,ref 2.6.16,,,,,,ref 2.23.16,,,ref 2.9.16,ref 2.12.16,ref 2.27.16,,,,,ref 3.17.21
Athlete,Single Leg RDL 4x8ea@ 30% (DL),Muscle Ups 8x3,"Back Squats 5x5@ 45% (3"")",,1-arm Kb Floor Press 3x15ea@ 55/35,Single Leg Squat (full squat) 5x5ea @ bw,Back Squats 5x6@ 75%,P. Clean + Front Squat | 6x3@ 70%,Deadlift 5x6@ 75%,,P. Snatch + OHS 6x3@ 70%,Muscle Ups 8x3,Deadlift 5x6@ 77%,P. Snatch + OHS 6x3@ 75%,Back Squats 5x6@ 77%,,P. Clean + Fr Sq 6x3@ 75%,Bench 5x6@ 77%,Back Squats 5x5@ 80%,P. Clean + Fr Sq 6x3@ 80%,Deadlifts 5x5@ 80%,,P. Snatch + OHS 6x3@ 80%,
Enthusiast,Single Leg RDL 4x8ea@ 30% (DL),Pull Ups 8x3,"Back Squats 5x5@ 45% (3"")",,1-arm Db Floor Press 3x15ea@ 40/25,Single Leg Squat (to below par) 5x5ea @ bw,Back Squats 5x6@ 75%,Power Clean 6x3@ 165/105 (Floor),Deadlift 5x6@ 75%,,Power Snatch 6x3@ 115/75 (Floor),Pull Ups 8x3,Deadlift 5x6@ 77%,P. Snatch 6x3@ 125/85 (Floor),Back Squats 5x6@ 77%,,P. Clean 6x3@ 175/115 (Floor),Bench 5x6@ 77%,Back Squats 5x5@ 80%,P. Clean 6x3@ 185/125 (Floor),Deadlifts 5x5@ 80%,,P. Snatch 6x3@ 135/90 (Floor),
Foundation,Single Leg RDL 4x8ea@ 30% (DL),Box Pull Ups 8x3,"Box Squats 5x5@ 45/35 (5"")",,1-arm Db Floor Press 3x15ea@ 25/15,Single Leg Squat (to bench) 5x5ea @ bw,Box Squats 5x6@ 95/65,Clean Hi Pull 6x3@ 95/65 (PP),RDL 5x6@ 125/85,,Snatch Hi Pull 6x3@ 75/45,Box Pull Ups 8x3,RDL 5x6@ 135/95,Snatch Hi Pull 6x3@ 85/55 (PP),Box Squats 5x6@ 105/70,,Clean Hi Pull 6x3@ 105/70 (PP),Bench 5x6@ 95/65,Box Squats 5x5@ 115/75,Clean Hi Pull 6x3@ 115/75 (PP),RDL's 5x5@ 145/105,,Snatch Hi Pull 6x3@ 95/65 (PP),
At-Home,Single Leg RDL 4x15ea@ bw,Prone Shoulder Press 8x5,"Squats 5x10@ bw (5"")",,1-Arm Wall Push Ups 3x15ea@ bw,Single Leg Squat (to bench) 5x5ea @ bw,"Squats 5x6@ bw (3""-3""-3"")",Sott's Press 6x5@ pvc,Hip Airplanes 5x6ea@ bw,,"OHS 6x3@ pvc (3""-3""-3"")",Prone Sh Press 8x3,Hip Airplanes 5x8ea@ bw,Squat Sit BNP 8x3@ pvc,"Squats 5x6@ bw (5""-5""-5"")",,Broad Jumps 8x10yds,Push Ups 5x7@ bw,"Squats 5x7ea@ bw (7""-7""-7"")",Squat Hops 6x10@ bw,Hip Airplanes 5x10ea @ bw,,Squat Sit BNP 8x5@ pvc,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,Cub Complex,,Db Complex,YT video active recovery stretch,,,,,,45min Walk and YT Vid,,,Thruster Walkabout,,,YT Stretching Video,,CrossFit Open 15.5,,,,YT Stretch Video,CrossFit Open 22.1,
Athlete,9min AMRAP; (95/65),15min AMRAP,2min work/2min rest for 22min,,5rds; for time,Partner WoD; YGIG,15min AMRAP,21-15-9; for time,7rds; for time,,EMOM for 10min,15min AMRAP,Partner Workout; YGIG; for time,6rds; for max reps,15min AMRAP,,8rds; for time,for time,8min AMRAP,2rds; for time,5rds; for time,,15min AMRAP,15min AMRAP
,Power Clean,10 Russian Push Ups,for max rounds; (40's/25's),,5ea 1-Arm Kb Clean (70/55),200m Row,2-4-6-8-10...,Push Press (155/75),6 Cossack Squats (40/25),,6 Commando Pull Ups,"3 Box Jumps (30""/24"")",,8 Bench Press (65%),12 Sumo squats (55/35),,15 Kb Swings (70/55),Row (for cal)/Thrusters (95/65),4 Push Press (165/125),22 Ring Dips,14 Bulgarian Split Squats (40/25),,3 Wall Walks,10yd Broad Jumps
,Front Sq,30 Dubs,2 Deadlift,,5ea 1-Arm Kb Squat (70/55),80 Push Ups (hand release),Db Thrusters (40's/25's),Ring Dips,8 Glute Bridge Walkouts,,3 Wall Climbs,6 Lunges (95/65),,Max Wide Grip Pull Ups,20 Lunges (55/35),,10 Toes to Bar,27/27,"6 Box Jumps (30""/24"")",22 Kb Swings (70/55),15 Db Squats (40's/25's),,12 Db Snatch (50/35),12 RDL's (165/105)
,Push Press,15 Face Pulls,2 Bi Curls,,40yd 1-Arm Overhead Carry (70/55),400m Row,Kb Swing (70/55),Row (cal),20 Banded Side Steps,,,9 Front Squats (95/65),150 Db Thrusters (40's/25's)*,,,,5 Hand Release Push Up,21/21,8 Toes to Bar,22 Strict Pull Ups,30 Bicycles ,,"15 Box Jump Overs (24"")",40 Dubs
,OHS,30 Dubs,2 Squats,,,60 TTB,Strict Pull Up,,,,,,,,,,,15/15,,22 V-Ups,,,,
,B. Squat,20 Rev Flys (15's/10's),2 Shoulder Press,,,600m Row,,,,,,,"*every time you stop, 100m Farmers Carry (70lbs between strap)",,,,,9/9,,,,,,
,Push Press,,2 Tri Ext,,,40 Chest to Bar Pull Ups,,,,,,,,,,,,,,,,,,
,,,,,,800m Row,,,,,,,,,,,,,,,,,,
,,,,,,20 HSPU,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,9min AMRAP,15min AMRAP,Db Complex (25's/15's),,5rds; for time,Partner WoD; YGIG,15min AMRAP,21-15-9; for time,7rds; for time,,EMOM for 10min,15min AMRAP,Partner Workout; YGIG; for time,6rds; for max reps,15min AMRAP,,8rds; for time,for time,8min AMRAP,2rds; for time,5rds; for time,,,15min AMRAP
,"""Cub Complex"" (75/55)",10 Push Ups,2min work/2min rest for 22min,,5ea 1-Arm Kb Clean (55/35),200m Row,2-4-6-8-10...,Push Press (135/75),6 Cossack Squats (25/15),,6 Commando Pull Ups,"3 Box Jumps (24""/20"")",,8 Bench Press (165/105),12 Sumo Squats (40/25),,15 Kb Swings (55/35),Row (for cal)/Thrusters (75/45),4 Push Press (135/85),22 Dips (toe support),14 Bulgarian Split Squats (25/15),,,10yd Broad Jumps
,Power Clean,20 Dubs,for max rounds,,5ea 1-Arm Kb Squat (55/35),80 Push Ups (hand release),Db Thrusters (40's/25's),Ring Dips (toe support),8 Glute Bridge Walkouts,,3 Scaled Wall Climbs,6 Lunges (75/45),,Max Wide Grip Pull Ups,20 Lunges (40/25),,10 Knees to Elbows,27/27,"6 Box Jumps (24""/20"")",22 Kb Swings (55/35),15 Db Squats (25's/15's),,,12 RDL's (135/85)
,Front Sq,15 Face Pulls,2 Deadlift,,40yd 1-Arm Overhead Carry (55/35),400m Row,Kb Swing (55/35),Row (cal),20 Banded Side Steps,,,9 Front Squats (75/45),150 Db Thrusters (25's/15's)*,,,,5 Hand Release Push Up,21/21,8 Knees to Elbows,22 Pull Ups,30 Bicycles,,,"20 Dubs"""
,Push Press,20 Dubs,2 Bi Curls,,,60 KTE,Pull Up,,,,,,,,,,,15/15,,22 V-Ups,,,,
,OHS,20 Rev Flys (10's/5's),2 Squats,,,600m Row,,,,,,,"*every time you stop, 100m Farmers Carry (55lbs between strap",,,,,9/9,,,,,,
,B. Squat,,2 Shoulder Press,,,40 Pull Ups,,,,,,,,,,,,,,,,,,
,Push Press,,2 Tri Ext,,,800m Row,,,,,,,,,,,,,,,,,,
,,,,,,20 HSPU (ft elevated),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
