WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,9.7.20,9.8.20,9.9.20,9.10.20,9.11.20,9.12.20,9.14.20,9.15.20,9.16.20,9.17.20,9.18.20,9.19.20,9.21.20,9.22.20,9.23.20,9.24.20,9.25.20,9.26.20,9.28.20,9.29.20,9.30.20,10.1.20,10.2.20,10.3.20
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,,,ref 3.24.20,,,ref 3.31.20,,,ref 1.8.20,,,,,,,,,,ref 7.8.20,,ref 4.17.20,
Athlete,,Back Squats 5x5@ 70%,Power Clean + Fr Sq 6x4@ 65%,,Deadlifts 5x5@ 70%,,Deadlifts 5x5@ 75%,Power Snatch + OHS 6x4@ 65%,Back Squat 5x5@ 75%,,(Floor) | Power Clean + Fr. Sq. 6x3@ 70%,,Back Squat 5x4@ 80%,Power Clean + Fr Sq 6x3@ 75%,Deadlift 5x4@ 80%,,Power Snatch + OHS 6x3@ 75%,,Deadlifts 5x4@ 85%,Power Snatch + OHS 6x2@ 80%,Back Squats 5x4@ 85%,,Power Clean + Fr Sq 6x2@ 80%,
Enthusiast,Happy Labor Day,Back Squats 5x5@ 65%,(floor) | Cl Pull + P. Cl. 6x4@ 135/85,,Deadlifts 5x5@ 65%,,Deadlifts 5x5@ 70%,Sn Pull + P. Sn. 6x4@ 115/75,Back Squats 5x5@ 70%,,(PP) | Cl Pull + P. Cl. 6x4@ 135/85,,Back Squats 5x4@ 75%,(floor) | Cl Pull + P. Cl. 6x3@ 145/90,Deadlifts 5x4@ 75%,,Sn Pull + P. Sn. 6x3@ 125/80,,Deadlifts 5x4@ 80%,Sn Pull + P. Sn. 6x2@ 135/85,Back Squats 5x4@ 80%,,(floor) | Cl Pull + P. Cl. 6x2@ 155/95,
Foundation,,Box Squats 5x5@ 135/95,Front Squat 6x4@ 115/75,,RDL's 5x5@ 175/115,,RDL's 5x5@ 185/125,OHS 6x4@ AHAP,Back Squats 5x5@ 140/100,,Cl Hi Pull 6x4@ 125/80,,Box Squats 5x4@ 145/105,Front Squat 6x3@ 125/80,RDL's 5x4@ 195/135,,OHS 6x3@ AHAP,,RDL's 5x4@ 205/145,OHS 6x3@ AHAP,Box Squats 5x4@ 150/110,,Front Squat 6x3@ 135/85,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Fix your midline,,,,,,Hips | how to fix them and why it's important,,,,,,Shoulders | let's make them not be bad,,Lock Down,,,,Hard Reset,,The Gasser
Athlete,4 rounds; for time,7rds; for time,10 rounds; for time,,EMOM for 12min,20min AMRAP,5 rounds; for time,5 rounds; for time,15min AMRAP,,10-9-8-7-6-5-4-3-2-1,8 rounds; for time,5rds; for time,20min AMRAP,6rds; for time,,15min AMRAP,20min AMRAP,for time,6 rounds; for time,10 rounds; for time,,14min AMRAP,3 rounds; for time (40's/25's)
,20 Ring Dips,(40/25),10 Goblet Squats (70/55),,Min 1: Shoulder press (40's/25's)*,(70/55),"20 Step Ups (24"")(50/35)",:45 Eccentric Dip,15 RDL's (185/125),,for time,"5 Box Jumps (30""/24"")",20 Lunges (50's/35's),15 Banded Rows,10 Kb Swings (70/55),,3 Chest to Bar Pull Ups,10 Burpees,27-21-15,5 Evil Wheels,:30 Ring Dip Support,,6 Pistol Squat,20 Squats
,20 Squats (40/25),12ea One Arm Bent Over Rows,10ea Side Plank Raises,,Min 2: Chest to Bar Pull Ups,8ea Kb Snatch,20 Hamstring Curls,10 Chest to Bar Pull Ups,20 Jumping Side Steps,,Front Squats (155/95),10 Chin Ups,7 Dragon Flags,12 Archer Push Ups,15 Goblet Squats (70/55),,6 Shoulder Press (115/75),"20 Step Ups (20"")(40/25)",Db Thrusters (50's/35's),10 Push Press (135/85),40yd Sprints,,15 Bent Over rows (135/85),20 Ham Curls
,20 Push Ups,12 Db Ground 2 Overhead,10 Ham Walkouts,,,40yd Farmers Carry,20ea Side Plank Raises,30 Dubs,25 Crunches,,Burpees over Bar,15 Shoulder Press (115/75),,40yd OH Carry (55/35),40yd Suitcase Carry (70/55),,12 Hollow Rocks,30 Squats (40/25),Pull Ups,20 Lunges (135/85),1min Rest,,,20 Lunges
,20 Leg Raises,12ea Bicep Curls,,,*Sh Pr Against Squat Rack,20yd Kb Lunge,,,,,,,,,,,,40 Push Ups,1min Rev Planks,,,,,1min Wall Sits
,20 Single Leg Glute Bridges,12ea Overhead Tricep Extensions,,,,40yd Farmers Carry,,,,,,,,,,,,50 Sit Ups,,,,,,20 Shoulder Press
,20 Jump Lunges (40/25),,,,,,,,,,,,,,,,,60 Dips,,,,,,20 Tri Ext
,20 Burpees to target,,,,,,,,,,,,,,,,,,,,,,,20 Push Ups
,,,,,,,,,,,,,,,,,,,,,,,,20 Bi Curls
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,4 rounds; for time,7rds; for time,10 rounds; for time,,EMOM for 12min,20min AMRAP,5 rounds; for time,5 rounds; for time,15min AMRAP,,10-9-8-7-6-5-4-3-2-1,8 rounds; for time,5rds; for time,20min AMRAP,6rds; for time,,15min AMRAP,20min AMRAP,for time,6 rounds; for time,10 rounds; for time,,14min AMRAP,3 rounds; for time (25's/15's)
,20 Dips,(25/15),10 Goblet Squats (55/35),,Min 1: Shoulder press (25's/15's)*,(55/35),20 Step Ups,:45 Dip Support,15 RDL's (155/105),,for time,"5 Box Jumps (24""/20"")",20 Lunges (40's/25's),15 Banded Rows,10 Kb Swings (55/35),,3 Pull Ups,10 Burpees,27-21-15,5 Evil Wheels,:30 Dip Support,,6 Pistol Squat (Toenail spot),20 Squats
