WEEK,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE
Day,2.24.20,2.25.20,2.26.20,2.27.20,2.28.20,2.29.20,3.2.20,3.3.20,3.4.20,3.5.20,3.6.20,3.7.20,3.9.20,3.10.20,3.11.20,3.12.20,3.13.20,3.14.20,3.16.20,3.17.20,3.18.20,3.19.20,3.20.20,3.21.20
Primer,Warm Up 18,Warm Up 1,Warm Up 17,,Warm Up 4,Movement Prep 1,Warm Up 2,LB5,Warm Up 14,,Warm Up 6,Warm Up 8,Warm Up 1,Warm Up 4,Warm Up 15,,UB1,Warm Up 10,LB4,Warm Up 9,Warm Up 3,,Warm Up 14,Movement Prep 1
Strength,,,,,ref 4.19.19,,,,ref 1.1.20,,,,ref 12.2.19,,ref 12.9.19,,ref 12.20.19,,ref 12.16.19,,ref 12.18.19,,ref 12.6.19,ref 2.28.20
Athlete,Back Squats 10x5@ 55%,(floor) | 6x 1 SG DL +2 Hi Pull +1  P. Sn. @ 60%,Deadlift 10x5@ 55%,,(floor) | 6x 1 DL + 2 Hi Pull + 1 P. Cl. @ 60%,,Deadlifts 10x4@ 60%,(PP) Cl Pull 3x3@ 50% | (FL) Power Clean 6x4@ 60%,Back Squats 10x4@ 60%,,(PP) Sn Pull 3x3@ 50% | (FL) P. Sn. 6x4@ 60%,,Back Squats 10x3@ 65%,(Floor) | Power Snatch + OHS 6x3@ 60%,Deadlift 10x3@ 65%,,(Floor) | Power Clean + Fr. Sq. 6x3@ 60%,,Deadlift 10x3@ 70%,(PP) Cl Pull 3x3@ 60% | (FL) Power Clean 6x4@ 65%,Back Squats 10x3@ 70%,,(PP) Sn Pull 3x3@ 60% | (FL) P. Sn. 6x4@ 65%,
Enthusiast,Back Squats 10x5@ 50%,(PP) | 6x 1 SG DL + 1 Hi Pull + 1 P. Sn. @ 95/65,Deadlift 10x5@ 50%,,(PP) | 6x 1 DL + 1 Hi Pull + P. Cl. @ 115/75,,Deadlifts 10x4@ 55%,(PP) | Clean Hi Pull 3x3@ 115/75 | Power Clean 6x4@ 115/75,Back Squats 10x4@ 55%,,(PP) | Sn Hi Pull 3x3@ 95/65 | Power Snatch 6x4@ 95/65,,Back Squats 10x3@ 60%,(PP) | (PP) Sn Pull 3x3@ 95/65 | (FL) P. Sn. 6x3@ 95/65,Deadlift 10x3@ 60%,,(PP) Cl. Pull 3x3@115/75 | (FL) Power Clean 6x3@ 115/75,,Deadlift 10x3@ 65%,(PP) | Clean Hi Pull 3x3@ 125/85 | Power Clean 6x4@ 125/85,Back Squats 10x3@ 65%,,(PP) | Sn Hi Pull 3x3@ 115/75 | Power Snatch 6x4@ 115/75,
Foundation,Box Squats 10x5@ 75/45,6x :10 Iso Set + 2 SG DL,RDL 10x5@ 95/65,,6x :10 Iso Set + 2 DL,,RDL 10x4,Iso Set Up 3x: 20 @ 75/45 | Front Squat 6x4@ 75/45,Box Squats 10x4,,Iso SG Set Up 3x :20 @ 75/55 | OHS 6x4@ pvc,,Box Squats 10x3@ ,Iso SG DL Set Up 3x :20@ 95/65 | OHS 6x3@ 15/10,RDL 10x3@ ,,Iso Set Up 3x :20@ 75/45 | Fr. Sq. 6x3@ 85/55,,RDL 10x3@,Iso Set Up 3x: 20 @ 95/65 | Front Squat 6x4@ 95/65,Box Squats 10x3@,,Iso SG Set Up 3x :20 @ 95/65 | OHS 6x4@ 45/35,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,How to Fix those Feet/Ankles/Knees,,,,,Baseline | Baseline 2.0,Keep everything out ya low back,FGB Style,,,,,Fix your shoulders,,,,,,,,
Athlete,4 rounds; for time,20min AMRAP,EMOM for 15min,"Test: Ankle Mobility 5""",for max reps; 20min time cap,~1 hour; for distance,7rds; 15min time cap,3rds; for time,2 rounds; for best time,Test: Hollow Hold,3 rounds; for max reps,EMOM for 21min,EMOM for 16min,5 rounds; for time (12min time cap),E2MOM for 14min,Test: Impingement Screen | Supine OH Screen,EMOM for 18min; for reps,3rds; for max cal/reps,5 rounds; for time,15min AMRAP,5 cycles of; ,,6rds; for time (15min time cap),~1 hour; for distance
,20 RDL's (135/85),15 OHS w/ KB (35/15) ,5 Chest to Bar Pull Up,Stretch: Distrcated ankle | Calf smash | Foot smash | Ant Tib Sm. ,Bench Press (135/85)*, Bike/Run/Walk/Longboard/Ruck,15 Thrusters (95/65),:30 Eccentric Dip,500m Row,Stretch: Side Hip Smash | Couch,Battle Ropes (Big Rope),50 Dubs,for max reps,20yd Bear Crawls (pvc),5 Db Hang Snatch (50's/35's),Stretch: Overhead Stretch | Pec Smash | Karate Chop,Bent Over Rows (35's/20's),3min Row Machine,40 Lunges,:30 Ring Dip support,3min AMRAP,,15 Db Muscle Clean (25's/15's), Bike/Run/Walk/Longboard/Ruck
,:30 Side Plank (L),10 Upside Down Kb Press (35/15),8 Burpee,Activate: Tree Pose | short foot donkey squats,DB Rev Flys (15's/10's),(off site),40yd Serratus Ant Act (w/ Kb)(35/15),25 Hollow Rocks,40 Squats,Activate: Superman | Side Planks | Kneading Planks | Glute Bridge | Marches,Row (for cal),25 Lunges (25/15),Wall Balls (20/14),10ea Kb Shoulder Press (35/15),10 Db Squats (50's/35's),Activate:  Ext/Int Shoulder Rotation | Wall Shoulder Press | Banded Lat Pull Down | Serratus Ant. Act.,Bench Press (155/100),3min Dubs,30 G2O (40/25),:20 Batwing (b/n plates),(1min rest btwn cycles),,12 Overhead Lunges (45/25),(off site)
,30 Lunges (25/15),:30 Hollow Hold (35/15),,Fxnl: Squats | RDLs,,,,20 St Arm Lat Pulldowns,30 Sit Ups,Fxnl: Squat | RDL,Wall Ball (30/20),12 Bench Press (165/105),Chest to Bar Pull Ups,5 Dragon Flags,15 Seated Ham Curls,Fxnl:  Shoulder Press | Bench Press | Pull Up,Lunges (45/25),1min Rest,20(ea side) Sh Press (40/25),:10 Hanging L-Sit,15 Dubs,,15 Bent Over Rows (25's/15's),
,:30 Side Plank (R),,,,*Explosive reps (slow down),,,15 Reverse Flys (15's/10's),20 Ring Dips,,Lateral Crossovers (L),,,,,,,,,,10 Squats (25/15),,12 Push Ups (ft/knees),
,40 Dubs,,,,,,,10 Dragon Flags,10 Chest to Bar Pull Ups,,Lateral Crossover (R),,,,,,,,,,5 Chest to Bar Pull Ups,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,4 rounds; for time,20min AMRAP,EMOM for 15min,How to Fix those Feet/Ankles/Knees,for max reps; 20min time cap,~1 hour; for distance,7rds; 15min time cap,3rds; for time,2 rounds; for best time,Keep everything out ya low back,3 rounds; for max reps,EMOM for 21min,EMOM for 16min,5 rounds; for time (12min time cap),E2MOM for 14min,Fix your shoulders,EMOM for 18min; for reps,3rds; for max cal/reps,4 rounds; for time,15min AMRAP,5 cycles of; ,,6rds; for time (15min time cap),~1 hour; for distance
,20 RDL's (95/65),15 OHS w/ KB (15/10) ,5 Pull Up,"Test: Ankle Mobility 5""",Bench Press (95/65)*, Bike/Run/Walk/Longboard/Ruck,15 Thrusters (75/45),:30 Dip Support ,500m Row,Test: Hollow Hold,Battle Ropes,50 Dubs,for max reps,20yd Bear Crawls (pvc),5 Db Hang Snatch (40's/25's),Test: Impingement Screen | Supine OH Screen,Bent Over Rows (25's/15's),3min Row Machine,40 Lunges,:30 Dip support,3min AMRAP,,15 Db Muscle Clean (25's/15's), Bike/Run/Walk/Longboard/Ruck
,:30 Side Plank (L),10 Upside Down Kb Press (15/10),8 Burpee,Stretch: Distrcated ankle | Calf smash | Foot smash | Ant Tib Sm. ,DB Rev Flys (10's/5's),(off site),40yd Serratus Ant Act (w/ Kb)(15/10),25 Hollow Rocks,40 Squats,Stretch: Side Hip Smash | Couch,Row (for cal),25 Lunges (bw),Wall Balls (20/14),10ea Kb Shoulder Press (15/10),10 Db Squats (40's/25's),Stretch: Overhead Stretch | Pec Smash | Karate Chop,Bench Press (115/75),3min Dubs,30 G2O (25/15),:20 Batwing (on bench),(1min rest btwn cycles),,12 Overhead Lunges (45/25),(off site)
,30 Lunges,:30 Hollow Hold (15/10),,Activate: Tree Pose | short foot donkey squats,,,,20 St Arm Lat Pulldowns,30 Sit Ups,Activate: Superman | Side Planks | Kneading Planks | Glute Bridge | Marches,Wall Balls (20/14),12 Bench Press (135/85),Pull Ups (bw/banded),5 Toes to Bar,15 Seated Ham Curls,Activate:  Ext/Int Shoulder Rotation | Wall Shoulder Press | Banded Lat Pull Down | Serratus Ant. Act.,Lunges (25/15),1min Rest,20(ea side) Sh Press (25/15),:10 Hanging L-Sit,15 Dubs,,15 Bent Over Rows (25's/15's),
,:30 Side Plank (R),,,Fxnl: Squats | RDLs,*Explosive reps (slow down),,,15 Reverse Flys (10's/5's),20 Push Ups,Fxnl: Squat | RDL,Lateral Crossovers (L),,,,,Fxnl:  Shoulder Press | Bench Press | Pull Up,,,,,10 Squats,,12 Push Ups (ft/knees),
,40 Dubs,,,,,,,10 V-Ups,10 Pull Ups,,Lateral Crossover (R),,,,,,,,,,5 Pull Ups (bw/banded),,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
