WEEK,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,4 rounds; for time,20min AMRAP,EMOM for 15min,How to Fix those Feet/Ankles/Knees,for max reps; 20min time cap,~1 hour; for distance,7rds; 15min time cap,3rds; for time,2 rounds; for best time,Keep everything out ya low back,3 rounds; for max reps,EMOM for 21min,EMOM for 16min,5 rounds; for time (12min time cap),E2MOM for 14min,Fix your shoulders,EMOM for 18min; for reps,3rds; for max cal/reps,3 rounds; for time,15min AMRAP,5 cycles of; ,,6rds; for time (15min time cap),~1 hour; for distance
,20 RDL's (55/35),15 OHS w/ KB (10/5) ,5 Ring Rows (<45 degrees),"Test: Ankle Mobility 5""",Bench Press (75/45)*, Bike/Run/Walk/Longboard/Ruck,15 Thrusters (45/35),:30 Dip Support (toe assist),500m Row,Test: Hollow Hold,Battle Ropes,100 Dubs,for max reps,1min Kneading Plank,5 Db Hang Snatch (25's/15's),Test: Impingement Screen | Supine OH Screen,Bent Over Rows (15's/10's),3min Row Machine,40 Lunges,:30 Dip support (w/ toe assist),3min AMRAP,,15 Db Muscle Clean (15's/10's), Bike/Run/Walk/Longboard/Ruck
,:30 Side Plank (on knees)(L),10 Upside Down Kb Press (10/5),8 Burpee (no push up),Stretch: Distrcated ankle | Calf smash | Foot smash | Ant Tib Sm. ,DB Rev Flys (5's/bw),(off site),40yd Serratus Ant Act (w/ Kb)(10/5),:30 Hollow Hold,40 Squat to Box,Stretch: Side Hip Smash | Couch,Row (for cal),25 Lunges (bw),Wall Balls Thrusters (20/14),10ea Kb Shoulder Press (10/5),10 Db Squats to box (25's/15's),Stretch: Overhead Stretch | Pec Smash | Karate Chop,Bench Press (85/55),3min Dubs (x3 Singles for score),30 G2O (25/15),:20 Batwing (on wall),(1min rest btwn cycles),,12 Overhead Lunges (bw),(off site)
,30 Ring Assisted Lunges,:30 Hollow Hold (10/5),,Activate: Tree Pose | short foot donkey squats,,,,20 St Arm Lat Pulldowns,30 Crunches,Activate: Superman | Side Planks | Kneading Planks | Glute Bridge | Marches,Wall Balls Thrusters (20/14),12 Bench Press (95/65),Ring Rows (ALowAP),5 Knees to Elbows,15 Seated Ham Curls,Activate:  Ext/Int Shoulder Rotation | Wall Shoulder Press | Banded Lat Pull Down | Serratus Ant. Act.,Lunges (bw),1min Rest,20(ea side) Sh Press (25/15),:10 Hanging Bent Knee Hold,30 Singles,,15 Bent Over Rows (15's/10's),
,:30 Side Plank (on knees)(R),,,Fxnl: Squats | RDLs,*Explosive reps (slow down),,,15 Reverse Flys (10's/5's),20 Incline Push Ups,Fxnl: Squat | RDL,Lateral Crossovers (L),,,,,Fxnl:  Shoulder Press | Bench Press | Pull Up,,,,,10 Box Squats,,12 Incline Push Ups,
,120 Dubs,,,,,,,10 Tuck Ups,10 Ring Rows,,Lateral Crossover (R),,,,,,,,,,5 Ring Rows,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,2min Couch (ea side),2min Reverse Plank,2min Overhead Stretch,,50 Bi's and tri's,,60 DB RDL's,1min Arm Circles (ea direction),20 Kb OHS,,50 Bi's and Tri's,5min Plank (any style),4min Glute Bridge,2min Overhead Stretch,2min Couch (ea side),,50 Bi's and Tri's,1min Striking Drill,2min Pigeon Stretch (ea side),2min PVC Y Stretch,50 Banded RDL's,,50 Bi's and Tri's,
,,,,,,,,,,,,,,,,,,,,,,,,
,12min AMRAP,for time,5rds; for time,#VALUE!,#VALUE!,6rds | for time ,6rds; for max cals,EMOM for 15min ,for time,#VALUE!,4rds; for time,15min AMRAP,15min AMRAP,5rds; for time,1600m Walk/Jog/run*,#VALUE!,EMOM for 12min; for max abs,15min AMRAP,6 rounds; for max laps,20min AMRAP,#REF!,#VALUE!,5rds; 1min ea station; max reps,EMOM for 20min
