WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,1.30.23,1.31.23,2.1.23,2.2.23,2.3.23,2.4.23,2.6.23,2.7.23,2.8.23,2.9.23,2.10.23,2.11.23,2.13.23,2.14.23,2.15.23,2.16.23,2.17.23,2.18.23,2.20.23,2.21.23,2.22.23,2.23.23,2.24.23,2.25.23
Primer,200m Row,15 Muscle Snatch (PP),3x :10 Iso Ring Row Hold,,Med Ball Floor Toss x20,20 Muscle Clean (PP),3x :10 Iso Deadlifts,25 Kb Swings,300m Row,,10 Muscle Sn + OHS,10 Eccentric Push Ups,300m Row,15 RDL+Muscle Snatch,Movement Prep 1,,20 Med Floor Press,15 Box Jumps,3x :10 Iso Deadlifts,15 Muscle Clean + Fr Sq,500m Row,,10 Eccentric Push Ups,15 Muscle Snatch + OHS
Strength,,,,,,,ref 3.1.22,CF_Football_15_Feb,,,,CF_FB_15_Jan_F6,,ref 2/14/2022,CF_FB_Feb_B12,,CF Open 14.4,CF_FB_15_Feb_E12,ref 3.23.22-ish,ref 3.1.22,ref 3.25.22,,Final Friday,CF_FB_15_Feb_E3
Athlete,Back Squats 5x2@ 85%,Hang Snatch 6x2@ 90%,Deadlifts 5x2@ 85%,,Bench 5x max @ BW | Broad Jump 5x 20yds,Hang Clean 6x2@ 90%,Deadlifts 5x2@ 90%,Hang Power Clean 6x3@ 85%,Back Squats 5x2@ 90%,,Hang Power Snatch 6x3@ 85%,Bench 5x2@ 90%,Back Squats 5x4@ 80%,Snatch 6x2@ 90%,Deadlifts 5x4@ 80%,,Bench 5x4@ 90%,Hang Clean 6x2@ 90%,Deadlifts 5x1@ 100%,Hang Power Clean 6x3@ 80%,Back Squats 5x1@ 100%,,Bench 5x1@ 100%,Hang Power Snatch 6x3@ 80%
Enthusiast,Back Squats 5x2@ 85%,Hang Power Sn 6x2@ 125/80,Deadlifts 5x2@ 85%,,Bench 5x max @ 50% BW | Broad Jump 5x 20yds,Hang Power Cl 6x2@ 185/125,Deadlifts 5x2@ 90%,Hang Power Clean 6x3@ 165/95,Back Squats 5x2@ 90%,,Hang Power Snatch 6x3@ 115/75,Bench 5x2@ 90%,Back Squats 5x4@ 80%,Hang Power Sn 6x2@ 125/80,Deadlifts 5x4@ 80%,,Bench 5x4@ 90%,Hang Power Cl 6x2@ 185/125,Deadlifts 5x1@ 100%,Hang Power Clean 6x3@ 165/95,Back Squats 5x1@ 100%,,Bench 5x1@ 100%,Hang Power Snatch 6x3@ 115/75
Foundation,Box Squats 5x2@ 125/75,Hang Muscle Sn 6x2@ 75/45,RDL's 5x2@ 145/95,,Bench 5x max @ 75/45 | Broad Jump 5x 20yds,Hang Muscle Cl 6x2@ 95/65,RDL's 5x4@ 155/105,Hang Muscle Clean  6x3@ 96/65,Box Squats 5x4@ 135/85,,Hang Power Snatch 6x3@ 75/45,Bench 5x2@ 95/65,Box Squats 5x4@ 125/75,Hang Muscle Sn 6x2@ 75/45,RDL's 5x4@ 145/95,,Bench 5x4@ 80/50,Hang Muscle Cl 6x2@ 95/65,RDL's 5x2@ 155/105,Hang Muscle Clean  6x3@ 96/65,Box Squats 5x2@ 135/85,,Bench 5x2@ 95/65,Hang Power Snatch 6x3@ 75/45
At-Home,Heel Touches 5x10ea,OHS 6x5@ pvc,Hip Airplanes 5x8ea,,Push Ups 5x max@ bw | Broad Jump 5x 20yds,Sott's Press 6x5@ pvc,Heel Touches 5x12ea,1-Leg Squat Jump 5x5ea,Single Leg Squats 5x10ea,,Squat Sit BNP 5x10@ pvc,"Tempo Push Ups 5x3@ 5""-5""-5""",Heel Touches 5x10ea,OHS 6x5@ pvc,Hip Airplanes 5x8ea,,Push Ups 5x5@ bw,Sott's Press 6x5@ pvc,Heel Touches 5x12ea,1-Leg Squat Jump 5x5ea,Single Leg Squats 5x10ea,,"Tempo Push Ups 5x3@ 5""-5""-5""",Squat Sit BNP 5x10@ pvc
WoD,A- Lt (Carry) | L- Hvy (100),A- Hvy (75) | L- Lt (Snatches),A- Lt (20) | L- Med (38),,A- Hvy (100+) | L- Lt (Jumps),A- Lt (20) | L- Hvy (110),A- Hvy (120) | L- Lt (10),A- Med(45) | L- Med (48),A- Lt (carry) | L- Hvy (142),,A- Hvy (100+) | L- Lt (50),A- Med(~43) | L- Med (50+),A- Lt (dubs) | L- Hvy (120),A- Med (75+) | L- Med (75+),A- Hvy (144) | L- Lt (68),,A- ? | L- ?,A- Hvy (48+) | L- (48),A- Lt (Dubs) | L- Hvy (80+),A- Hvy (160) | L- Lt (18),A- Med (70) | L- Med (85),,,A- Hvy (75) | L- L (43)
Athlete,,,,https://youtu.be/S0j89_Q4pTM,,,,,,https://youtu.be/3abC8KlcR1U,,,,Thruster Walkabout,,https://youtu.be/GBTj4uyXKLQ,CF OPEN 23.1,,,,,https://youtu.be/cgpFFxI8Z_o,CF OPEN 23.2,
