WEEK,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE
Day,2.1.21,2.2.21,2.3.21,2.4.21,2.5.21,2.6.21,2.8.21,2.9.21,2.10.21,2.11.21,2.12.21,2.13.21,2.15.21,2.16.21,2.17.21,2.18.21,2.19.21,2.20.21,2.22.21,2.23.21,2.24.21,2.25.21,2.26.21,2.27.21
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,,,,ref 11.21.20,,ref 11.3.20,,,ref 11.10.20,,,,,,,,,,,,,ref 8.29.20
Athlete,(3 sec pause) | Back Squats 3x10@ 40%,Dip Snatch 7x4@ 50%,Deadlifts 4x10@ 50%,,Dip Clean 7x4@ 50%,,Deadlifts 4x10@ 55%,Dip Clean 7x3@ 55%,(3 sec pause) | Back Squats 3x10@ 45%,,Dip Snatch 7x3@ 55%,,(3sec Pause) | Back Squats 4x8@ 50%,(Knee) | Hang Snatch 6x4@ 60%,Deadlifts 4x8@ 60%,,(Knee) | Hang Clean 6x4@ 60%,,Deadlifts 4x8@ 65%,(Knee) | Hang Clean 6x4@ 65%,Back Squats 4x8@ 55%,,(Knee) | Hang Snatch 6x4@ 60%,
Enthusiast,(2 sec pause) | Back Squats 3x10@ 40%,(Floor) | Muscle Snatch 7x4@ 95/65,Deadlifts 4x10@ 50%,,(Floor) | Muscle Clean 7x4@ 115/75,,Deadlifts 4x10@ 55%,(Floor) | Muscle Clean 7x3@ 135/85,(2 sec pause) | Back Squats 3x10@ 45%,,(Floor) | Muscle Snatch 7x3@ 115/75,,(2sec Pause) | Back Squats 4x8@ 50%,Dip Snatch 6x4@ 95/65,Deadlifts 4x8@ 60%,,Dip Clean 6x4@ 115/75,,Deadlifts 4x8@ 65%,Dip Clean 6x4@ 125/85,Back Squats 4x8@ 55%,,Dip Snatch 6x4@ 115/75,
Foundation,(2 sec pause) | Box Squats 3x10@ 75/45,(Hips) | Muscle Snatch 7x4@ 75/45,RDL's 4x10@ 95/65,,(Hips) | Muscle Clean 7x4@ 75/45,,RDL's 4x10@ 115/75,(PP) | Muscle Clean 7x3@ 85/55,(2 sec pause) | Box Squats 3x10@ 75/45,,(PP) | Muscle Snatch 7x3@ 85/55,,(2sec Pause) | Box Squats 4x8@ 85/55,(Floor) | Muscle Snatch 6x4@ 95/65,RDL's 4x8@ 135/85,,(Floor) | Muscle Clean 6x4@ 95/65,,RDL's 4x8@ 145/90,(Floor) | Muscle Clean 6x4@ 100/70,Box Squats 4x8@ 95/65,,(Floor) | Muscle Snatch 6x4@ 100/70,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,5rds; for time,15min AMRAP,10 rounds; for time,Bad Knees; A Fix for These,20min AMRAP,For time,20min AMRAP,500m Row,EMOM for 12min,Fix your hips,10rds; for time,20min AMRAP,5rds; for time,6rds; for time,5rds; for time ,For the love of shoudlers,20min AMRAP,5rds; for time,20min AMRAP,10rds; for time,20min AMRAP,Lower Body Reset,9rds; for time,4 rounds; 1min/station
,30 Lunges (40's/25's),:20 Overhead Squat Hold (45/35),:20 Front Rack Hold (135/85),Stretch- Quads | IT Band | Hams | Knee Gap | Calf Smash | Ant Tib Sm,10yd Broad Jump,100 Dubs,20yd A-Skip,,5 Chest to Bar Pull Ups,Stretch- QL Smash | Side Hip Sm | IT Band Sm | Couch | Hip Reset,5 Burpees,2 Muscle Clean (155/95),20 Side to Side Plate Hops,15 Db Power Cleans (40's/25's),30 Straddle Ups,Stretch- Chest st | Scap Sm | Rear Delt Sm | Trap Sm | Lat Sm,20 Floor Press (115/75),200m Row,20yds Side Steps (on/off turf),5yd Bunny Hops,20yd Ali Shuffle,St- Calf Sm | Ant Tib Sm | Knee Gap | Quad Sm | IT Band Sm | Ham St | Glute Smash | Side Hip Sm,2-5-2 Short Shuttles,for max reps
,15 Shoulder Press (40's/25's),:20 Dead Hang,20 Band Pull Aparts,Act- Hollow Hold | Fire Hydrants | Glute Bridge | Planks,20 RDL's (95/65),60 Kb Swings (70/55),20 Lunges (45/25),then...,max 1-Arm Thruster (40/25)*,Act- Clams | Glute Bridges,10 Ground to Overhead (50/35),14 Squats (25/15),"15 Step Ups (24"")(bw)",12 Pull Ups (bw/band),30 Overhead Split Squats (55/35) ,Act- Prone IYT pulses | Planks,10 Lateral Raises (15's/10's),30 Squats,20 Apollo Ohno's,5yd Straddle Hops,7ea Bulgarian Split Squats (25/15),Act- Glute Bridge | Single leg glute bridge,10ea Shoulder Windmills,Row (cals)
