WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
,,,,,,20 Lunges | 15 Squat Jumps | 10 Burpees,,,,Litmus- Squat sit/supine OH,,Partners rotate stations every 2min,,,,,,,250m Row,,,Litmus- OHS Sit,,5rds of: 
,,,,,*On the flys: 10 frontal | 10 lateral | 10 reverse, _150 Dubs_ ,,,,,,,,,,,,,,,,,*Rev Tabata= 10sec on/20sec off. 8 Intervals each station. 2min rest between exercises.,15 Burpees
,,,,,,1rd ,,,,,,,,,,,,,,,,,,1min Deadhang (overhand)
,,,,,,20 Lunges | 15 Squat Jumps | 10 Burpees,,,,,,,,,,,,,,,,,,--50 Dubs--
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,5rds; for time,6 rounds; for time,15min AMRAP,Litmus- Squat Sit (butt!),6rds; for time,for time ,15min AMRAP,9min AMRAP,for time,Anterior Reset,EMOM for 12min,Teams (2-4ppl) | for time,7 rds; for time ,15min AMRAP,5 rounds; for max weight,Litmus- Shoulder Screen (FMS),9rds; for time ,Love Day!,Each dist for time,Bench Max,15min AMRAP,Litmus- OHS Sit,For max reps,for time
,10 1-Arm Kb Swings (55/35),10 Commando Pull Ups,10ea Banded Knee Raises,St- Foot Sm | Ant Tib Sm | Calf St | Knee Gap | IT Band | Quad | Hip Flexor,30 Db Flys (Fr | Lat | Rev)(10's/5's),3rds ,15 KTE,8 Front Squats (135/85),100cal Row (10 Pulls at a time),Litmus- Squat Sit/Supine OH,5 Burpees at the top of every min | then...,50 Chest to bar Pull Ups,4 Strict Chin Ups,10 Thrusters (40's/25's),2 Bench (AHeavyAP),St- Scorpion St | Rear Delt Sm. | Trap Sm. | Scap Sm. | Karate Chop,1 HSPU ,Spending our fitness credits helping out other people.,800m Row,,30 Dubs,St- Calf St. | Quad St. | Superhero St. | Pigeon St. | Prone Cobra | Karate Chop | Pec St. | Handcuff St. | Neck Rolls,,5rds of:
,10 1-Arm Db Sh Press (40/25),12 Wide Push Ups,10yd Banded Side Steps,Act- Quad Kickbacks | Tree Pose,15 Hanging Leg Raises (bent),20 Lunges | 15 Squat Jumps | 10 Burpees,100yd Farmers Carry (40's/25's),5 Strict Pull Ups,15 Hamstring Curls,St- Kneeling St. | Samson St. | Kneeling Couch | Prone Cobra | Scorpion St,,300 Kb Swings (55/35),17 Dubs ,15 Db RDL (40's/25's),15 BPA,Act- Bent Over Sh Press,3 Front Squats (55% B. Sq.),,Rest,,200m Row,Act- Prone Hip Ext | Side Planks,Rev Tabata Sh Pr (95/65),12 Jump Squats
,"10 Step Ups (20"")",:30 Hollow Hold,1min Banded Wall Sits,Int- Single Leg RDL's,5 Scaled Wall Walks, _150 Dubs_ ,5 Push Press (155/95),3 Power Clean (135/85),30 Dubs,Act- Marching Glute Bridge | Prone IYT's,Max Front Rack Lunges (115/85),4000m Row,"7 Box Jumps (24""/20"") ",20yd Suitcase Carry (40/25),:30 Kneading Planks,Int- Pike,7 Bent Over Rows (135/85),,500m Row,,10 Burpees,Int- Squat Sit (intentional squeezes),Rev Tabata Fr Sq (185/125),1min Glute Bridge
,30 Dubs,,10ea Quad Kickbacks,Litmus Suqat Sit,,2rds ,,,,Int- Rev Planks,,(200 Evil Wheels),6 Eccentric Dragon Flags,,,Litmus- Shoulder Screen,,,Rest,,,Litmus- OHS Sit,Rev Tabata DL (315/215),--50 Dubs--
,,,,,,20 Lunges | 15 Squat Jumps | 10 Burpees,,,,Litmus- Squat sit/supine OH,,Partners rotate stations every 2min,,,,,,,250m Row,,,,,5rds of: 
,,,,,*On the flys: 10 frontal | 10 lateral | 10 reverse, _150 Dubs_ ,,,,,,,,,,,,,,,,,*Rev Tabata= 10sec on/20sec off. 8 Intervals each station. 2min rest between exercises.,15 Burpees
,,,,,,1rd ,,,,,,,,,,,,,,,,,,1min Deadhang (any grip)
,,,,,,20 Lunges | 15 Squat Jumps | 10 Burpees,,,,,,,,,,,,,,,,,,--50 Dubs--
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
