WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,11.8.21,11.9.21,11.10.21,11.11.21,11.12.21,11.13.21,11.15.21,11.16.21,11.17.21,11.18.21,11.19.21,11.20.21,11.22.21,11.23.21,11.24.21,11.25.21,11.26.21,11.27.21,11.29.21,11.30.21,12.1.21,12.2.21,12.3.21,12.4.21
Primer,,,,,,,,,,,,,,,,,,,B. Sq. 1x max reps @ 50%,Broad Jump for max yards,DL 1x max reps @ 50%,,Sh Pr 1x max reps @ 95/65,
Strength,,,,,,,ref 10.17.16,,,,ref 8.12.16,"ref 11.19.16, 11.21.20",,ref 10.24.16,,ref 11.26.20,,ref 11.28.20,ref 9.6.21,ref 9.7.21,ref 9.8.21,,ref 9.10.21 and ref 6.8.21,ref 11.23.16
Athlete,Back Squat 5x5@ 50% (3/3/3),Turkish Get-Ups,Deadlifts 5x5@ 50% (3/3/3),,Push Jerk 6x4@ 155/95,Kb Bench 5x5ea@ 70/55,Deadlifts 5x5@ 75%,"(knee + floor)
Hang Clean Pull + Clean 6x3@ 70%",Back Squats 5x5@ 75%,,"(knee + floor)
Hang Snatch Pull + Snatch 6x3@ 70%",Bench Press 5x5@ 75%,"Athlete:
Clean 6x2@ 80%",,"Athlete:
Snatch 6x2@ 80%",,,,Back Squat 5x4@ 85%,Snatch 6x2@ 85%,Deadlift 5x4@ 85%,,Clean 6x2@ 85%,20 Turkish Get Ups (25/15)
Enthusiast,Back Squat 5x5@ 50% (3/3/3),Turkish Get-Ups,Deadlifts 5x5@ 50% (3/3/3),,Push Press 6x5 @ 135/85,Kb Bench 5x5ea@ 55/35,Deadlifts5x5@ 75%,"(PP)
Hang Clean Pull + P Cl 6x3@ 155/95",Back Squats 5x5@ 75%,,"(PP)
Hang Snatch Pull + P Sn 6x3@ 115/75",Bench Press 5x5@ 75%,"Enthusiast:
Power Clean 6x2@ 165/125",20 Turkish Get Ups,"Enthusiast:
Power Snatch 6x2@ 125/85",,,,Back Squat 5x4@ 85%,Power Snatch 6x2@ 135/95,Deadlift 5x4@ 85%,,Power Clean 6x2@ 175/135,20 Turkish Get Ups (25/15)
Foundation,Box Squat 5x5@ 75/45 (3/3/3),Turkish Get-Ups,RDL's 5x5@ 75/45 (3/3/3),,Shoulder Press 6x5@ 95/65,Db Bench 5x5ea@ 40/25,RDL's 5x5@ 135/95,"(floor + PP)
DL + M Cl 6x3@ 85/55",Box Squats 5x5@ 105/70,,"(floor + PP)
SG DL + M Sn 6x3@ 75/60",Bench Press 5x5@ 95/65,"Foundation:
Muscle Clean 6x3@ 95/65",,"Foundation:
Muscle Snatch 6x3@ 85/55",,,,Box Squat 5x4@ 125/85,Muscle Snatch 6x3@ 90/60,RDL 5x4@ 155/115,,Muscle Clean 6x3@ 105/75,20 Turkish Get Ups (25/15)
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Total Body Reset,,Angie,,,,Low Back Strengthening,,,,,,The Gobbler '21 (hypertrophied),Shoulder/Neck Tension Relief,,,,Angie,Chronic Knee Pain,,
Athlete,4rds; for time,15min AMRAP,5rds; for time,Litmus- OH Squat Sit,5rds; for time,for time,8rds; for time,EMOM for 15min,5rds; for time,Litmus- SL Good Morning,6 rounds; for time,for time,6rds; for time,5rds; for time,6rds; for time,"for time, partner, YGIG",Litmus- Neck rolls,20min AMRAP,EMOM for 12min; for max reps,6rds; for time,for time,Litmus- Narrow Sq/Single Leg Sq,6rds; Pass/Fail,8rds; for time
,10 SG DL (155/95),10 Arch Up + Push Up,5ea Hip Airplanes (freestanding),"Stretch- Ankle Distraction, Kneeling Stretch, Calf Sm, Samson St, Ham St, Frog Sit, Glute Sm, Karate Chop, Scorpion St., Raggedy Ann's, Neck Rolls",7 Muscle Clean (115/75),100 Pull Ups,16 1-Leg RDL's (115/75),Min 1: 1- Arm Shoulder Press (50/35),8 Thrusters (135/85),"Stretch- Prone Cobra, Sumo Sq, Side Hip Sm., Pigeon St",3 Muscle Ups,100 Dubs,4 Back Squats (80%),@ 100% Sh Pr Max,4 Deadlifts (80%),200 Dubs,"Stretch- Across the body stretch, Karate Chop, Scorpion St, Tricep St., Ulnar n. glide",10 Clean to Press (95/65),Min 1: Kb Swings (70/55),10 Sh Press (50's/35's),100 Pull Ups,"Stretch- Calf Sm., Quad Sm., IT Band Sm., Ham St., Knee Gap","30 Bench Press (10 narrow, 10 med, 10 wide)(115/75)",8 SG RDL (205/140)
,8 Chin Ups,12 Kb Snatch (55/35),7 Squat Sit Db Sh Pr (40's/25's),Act- Superman's ,12ea Banded Row (hvy),100 Push Ups,10 Archer Push Ups,Min 2: Ring Rows (parallel),8 Floor Press (135/85),"Act- 1- Leg Leaning RDL, Marching Glute Bridges",8 OHS (115/75),60 Kb Swings (70/55),15 Face Pulls ,10 Front Rack Lunges,5 Dragon Flags,100 Burpees,"Act- Neck drills, Prone IYT's","20 Step Ups (20"")",Min 2: Db Pullovers (50/35),:20ea Quadruped Iso T's (5's/2.5's),100 Push Ups,"Act- Glute Bridge, Tree Pose",20 Bent Over Rows (115/75),15 TTB
,"6ea Heel Touches (17"")",20yd Serratus Ant Carry (35/25),:30 Banded Hollow Hold (Hvy),Int- Split Squats,40yd Farmers Carry (25's/15's-Db's top),100 Sit Ups,,Min 3: Straight Leg Raises,,Int- Pulsing Squats,30 Dubs,90 Dubs,,8 Bent Over Row,,200 Dubs,Int- Sh Press,30 Squats,,,100 Sit Ups,Int- RDL,,
,,,,Litmus- OH Squat Sit ,,100 Squats,,,,Litmus- SL Good Morning,*18min time cap*,50 Pull Ups,,6 Push Press,,100 Lunges (55's/35's),Litmus- Neck Rolls,40 Push ups,,,100 Squats,Litmus- Narrow Sq/Single Leg Sq,,
,,,,,,,,,,,,80 Dubs,,4 Kb Pistols (55/35),,200 Dubs,,50 Tuck Ups,,,,,,
,,,,,,,,,,,,40 Push Ups,,,,100 Strict Pull Ups,,60 Dips,,,,,,
,,,,,,,,,,,,70 Dubs,,,,200 Dubs,,,,,,,,
,,,,,,,,,,,,30 Thrusters (115/75),,,,100 Db Squats (40's/25's),,,,,,,,
,,,,,,,,,,,,60 Dubs,,,,200 Dubs,,,,,,,,
,,,,,,,,,,,,200m Row,,,,100 Floor Press (155/95),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,4rds; for time,15min AMRAP,5rds; for time,Litmus- OH Squat Sit,5rds; for time,for time,8rds; for time,EMOM for 15min,5rds; for time,Litmus- SL Good Morning,6 rounds; for time,for time,6rds; for time,5rds; for time,6rds; for time,"for time, partner, YGIG",Litmus- Neck rolls,20min AMRAP,EMOM for 12min; for max reps,6rds; for time,for time,Litmus- Narrow Sq/Single Leg Sq,6rds; Pass/Fail,8rds; for time
,10 SG DL (135/85),10 Arch Up + Push Up,5ea Hip Airplanes,"Stretch- Ankle Distraction, Kneeling Stretch, Calf Sm, Samson St, Ham St, Frog Sit, Glute Sm, Karate Chop, Scorpion St., Raggedy Ann's, Neck Rolls",7 Muscle Clean (95/65),100 Pull Ups,16 1-Leg RDL's (95/65),Min 1: 1- Arm Shoulder Press (40/25),8 Thrusters (115/75),"Stretch- Prone Cobra, Sumo Sq, Side Hip Sm., Pigeon St",3 Chest to Bar Pull Ups,100 Dubs,4 Back Squats (75%),@ 100% Sh Pr Max,4 Deadlifts (75%),200 Dubs,"Stretch- Across the body stretch, Karate Chop, Scorpion St, Tricep St., Ulnar n. glide",10 Clean to Press (95/65),Min 1: Kb Swings (55/35),10 Sh Press (40's/25's),60 Pull Ups,"Stretch- Calf Sm., Quad Sm., IT Band Sm., Ham St., Knee Gap","30 Bench Press (10 narrow, 10 med, 10 wide)(95/65)",8 SG RDL (185/125)
,8 Chin Ups,12 Db Ground to Overhead (40/25),7 Squat Sit Db Sh Pr (25's/15's),Act- Superman's ,12ea Banded Row (med),100 Push Ups,10 Deficit Push Ups,Min 2: Ring Rows (> || < 45),8 Floor Press (115/75),"Act- 1- Leg Leaning RDL, Marching Glute Bridges",8 OHS (95/65),60 Kb Swings (55/35),15 Face Pulls ,10 Front Rack Lunges,5 Ecc Dragon Flags,100 Burpees,"Act- Neck drills, Prone IYT's","20 Step Ups (20"")",Min 2: Db Pullovers (40/25),:20ea Quadruped Iso T's (5's/2.5's),60 Push Ups,"Act- Glute Bridge, Tree Pose",20 Bent Over Rows (95/65),15 KTE
,"6ea Heel Touches (9"")",20yd Serratus Ant Carry (25/15),:30 Banded Hollow Hold (med),Int- Split Squats,40yd Farmers Carry (25's/15's-Plates),100 Sit Ups,,Min 3: Straight Leg Raises,,Int- Pulsing Squats,30 Dubs,90 Dubs,,8 Bent Over Row,,200 Dubs,Int- Sh Press,30 Squats,,,100 Sit Ups,Int- RDL,,
,,,,Litmus- OH Squat Sit ,,100 Squats,,,,Litmus- SL Good Morning,*18min time cap*,50 Pull Ups,,6 Push Press,,100 Lunges (40's/25's),Litmus- Neck Rolls,40 Push ups,,,100 Squats,Litmus- Narrow Sq/Single Leg Sq,,
,,,,,,,,,,,,80 Dubs,,4 Kb Pistols (35/15),,200 Dubs,,50 Tuck Ups,,,,,,
,,,,,,,,,,,,40 Push Ups,,,,100 Strict Pull Ups,,60 Dips,,,,,,
,,,,,,,,,,,,70 Dubs,,,,200 Dubs,,,,,,,,
,,,,,,,,,,,,30 Thrusters (95/65),,,,100 Goblet Squats (70/55),,,,,,,,
,,,,,,,,,,,,60 Dubs,,,,200 Dubs,,,,,,,,
,,,,,,,,,,,,200m Row,,,,100 Floor Press (135/85),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,4rds; for time,15min AMRAP,5rds; for time,Litmus- OH Squat Sit,5rds; for time,for time,8rds; for time,EMOM for 15min,5rds; for time,Litmus- SL Good Morning,6 rounds; for time,for time,6rds; for time,5rds; for time,6rds; for time,"for time, partner, YGIG",Litmus- Neck rolls,20min AMRAP,EMOM for 12min; for max reps,6rds; for time,for time,Litmus- Narrow Sq/Single Leg Sq,6rds; Pass/Fail,8rds; for time
,10 SG DL (95/65),10 Arch Up + Knee Push Up,5ea Hip Airplanes (two hand support),"Stretch- Ankle Distraction, Kneeling Stretch, Calf Sm, Samson St, Ham St, Frog Sit, Glute Sm, Karate Chop, Scorpion St., Raggedy Ann's, Neck Rolls",7 Muscle Clean (75/45),100 Box Pull Ups,16 1-Leg RDL's (75/45),Min 1: 1- Arm Shoulder Press (25/15),8 Db Thrusters (40's/25's),"Stretch- Prone Cobra, Sumo Sq, Side Hip Sm., Pigeon St",3 Box Chest to Bar Pull Ups,200 Singles,4 Back Squats (115/75),@ Db's (25's/15's),4 RDL (145/105),400 Singles,"Stretch- Across the body stretch, Karate Chop, Scorpion St, Tricep St., Ulnar n. glide",10 Clean to Press (75/45),Min 1: RDL (40/25),10 Sh Press (25's/15's),50 Box Pull Ups,"Stretch- Calf Sm., Quad Sm., IT Band Sm., Ham St., Knee Gap","30 Bench Press (10 narrow, 10 med, 10 wide)(75/45)",8 SG RDL (155/95)
