WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
,,20 Lunges | 15 Squat Jumps | 10 Burpees,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,EMOM for 12min, for time ,Best out of 3,5rds; for time ,12min AMRAP,,12min AMRAP,6rds; 1min/station ,5rds; for time,15min AMRAP,6rds; for time,,EMOM for 16min,3 rounds; for max reps; 1min ea,3 rounds; for fastest time,EMOM for 12min:,15min AMRAP,,6rds; for time,5rds; for time,10min AMRAP,12min AMRAP,15 |000lbs | for time,,For max weight; ,4 rounds; for time
,4 Plank Walkouts,3rds ,500m Row,30 Dubs ,3 Pull Ups,,8 Thrusters (115/75),Row (cals) ,"10 Step Ups (20"")(40/25)",15 Kb Swings (55/35),12 Sumo Squats (40/25),,Min 1: Floor Press (155/95),(40/25),,for max reps,40yd Banded Side Steps,,"5 Box Jumps (24""/20"")",20 Lunges (95/65),20 Apollo Ohno's,5 Db Power Clean (40's/25's),10 Front Squats ,,Bench,21 Wall Balls (20/14)
,5 Ham Walkouts,20 Lunges | 15 Squat Jumps | 10 Burpees ,40 Squats,15 Lunges (95/65),6 Floor Press (135/85),,15 Seated Ham Curls,Burpees ,10 Hand Release Push Ups,8 Pull Ups,10 Sh Press (40's/25's),,Min 2: Rev Push Ups,Single Db Thruster,250m Row,Min 1: Ring rows,30 Dubs,,10 Pull Ups,15 Floor Press (95/65),"6 Step Ups (20"")(25's/15's)",7 Push Ups,5 Shoulder Press,,3-3-3-2-2-2-1-1-1 ,18 Pull Ups
,6ea Side Plank Raise,_150 Dubs_ ,30 Sit Ups,,,,,Dubs ,,,,,Min 3 and 4: Rest,Single Db Hang Snatch,,Min 2: Push Press (135/85),15 KTE,,,10 Shoulder Press (95/65),:20 Rev Planks,10 KTE,,,,15 Kb Swings (55/35)
,,2rds ,20 Push Ups,,,,,Rest,,,,,,Jumping Lunges,,Min 3: Push Ups,,,,,,,*CYOW; 15min cap,,,12 HSPU
,,20 Lunges | 15 Squat Jumps | 10 Burpees,10 Pull Ups,,,,,,,,,,,Single Db Hang C&J,,,,,,,,,,,,
,, _150 Dubs_ ,,,,,,,,,,,,Lateral Db Hops,,,,,,,,,,,,
,,1rd ,,,,,,,,,,,,1min Rest B/W Rounds,,,,,,,,,,,,
,,20 Lunges | 15 Squat Jumps | 10 Burpees,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
