WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,12.6.21,12.7.21,12.8.21,12.9.21,12.10.21,12.11.21,12.13.21,12.14.21,12.15.21,12.16.21,12.17.21,12.18.21,12.20.21,12.21.21,12.22.21,12.23.21,12.24.21,12.25.21,12.27.21,12.28.21,12.29.21,12.30.21,12.31.21,1.1.22
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,,,,ref 10.2.21,,ref 7.14.21,,,,,~ref 4.5.21,ref 1.29.21 and 10.5.21,,,,,,,ref 1.2.21,,,
Athlete,Single Leg RDL 5x5ea@ 40%,Clean Complex; 6x3ea@ (95/65) | 1st Pull | 2nd Pull | Hi Pull (PP) | Muscle Clean | Fr Sq,Pistol Squat 5x5ea@ 35/25,,Snatch Complex; 6x3ea@ (95/65) | 1st Pull | 2nd Pull | Hi Pull (PP) | Muscle Snatch | OHS,1-Arm Kb Bench 3x10ea@ 70/55,Back Squats 5x3@ 80 | 85 | 90 | 90 | 90%,Snatch 6x2@ 87%,Deadlifts 5x3@ 80 | 85 | 90 | 90 | 90%,,Clean 6x2@ 87%,,Deadlifts 5x 2@0 | 2@85 | 1@90 | 1@95 | 1@100,Clean 6x2@ 90%,Back Squats 5x 2@80 | 2@85 | 1@90 | 1@95 | 1@100,,Snatch 6x2@ 90%,,,,,,,
Enthusiast,Single Leg RDL 5x5ea@ 40%,Clean Complex; 6x3ea@ (75/45) | 1st Pull | 2nd Pull | Hi Pull (PP) | Muscle Clean | Fr Sq,Pistol Squat 5x5ea@ bw,,Snatch Complex; 6x3ea@ (75/45) | 1st Pull | 2nd Pull | Hi Pull (PP) | Muscle Snatch | OHS,1-Arm Kb Bench 3x10ea@ 55/35,Back Squats 5x3@ 75 | 80 | 85 | 90 | 90,Power Snatch 6x2@ 145/90,Deadlifts 5x3@ 75 | 80 | 85 | 90 | 90,,Power Clean 6x2@ 185/125,,Deadlifts 5x2@ 80 | 85 | 90 | 90 | 90,Power Clean 6x2@ 195/130,Back Squats 5x2@ 80 | 85 | 90 | 90 | 90,,Power Snatch 6x2@ 155/95,,,,,,,
Foundation,Single Leg RDL 5x5ea@ 45/35,Clean Complex; 6x3ea@ (45/35) | 1st Pull | 2nd Pull | Hi Pull (PP) | Muscle Clean | Fr Sq,Single Leg Sq to Box 5x5ea@ bw,,Snatch Complex; 6x3ea@ (45/35)  | 1st Pull | 2nd Pull | Hi Pull (PP) | Muscle Snatch | OHS,1-Arm Db Bench 3x10ea@ 40/25,Box Squats 5x3@ 135/95,Muscle Snatch 6x3@ 95/65,RDL's 5x3@ 165/125,,Muscle Clean 6x3@ 115/80,,RDL's 5x2@ 175/135,Muscle Clean 6x2@ 120/85,Box Squats 5x2@ 140/100,,Muscle Snatch 6x2@ 100/70,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Low Back Rehab #2 (remixed),,,,,,Fixing Neck and Shoulder Pain (remix),,To North Swole,,,,Santa Claus is Coming to WoD,Merry Fitmas,Christmas Day,The WoDfather,EMOM Burner ,,Do what needs be done...,Bodyweight Mayhem,
Athlete,5rds; for time,15min AMRAP,7rds; for time; (115/75),Litmus- Plank ,15min AMRAP | (40/25),9min AMRAP,5rds; for time,15min AMRAP,5rds; for time ,,8rds; for time,3 rounds; for time (40's/25's),4rds; for time,Bench ,EMOM for 10min,for time,4 rounds; for time,,4 rounds; for time; w/ 20lb vest,15min EMOM ,For time,,for time; w/ 20lb vest,5rds; for time 
