WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
,20 Bulgarian Split Squats (25/15),Stat. 1: 20  Battle Rope (3 count) / 7 Inch Worms to walkout,12 1-arm DB Thruster (40/25),,5 Deficit HSPU,50-40-30-20-10,1mile Run,5-10-15-20..-45-50-45-...15-10-5,5 Muscle Clean (135/85),L-Sits,7 Muscle Snatch (95/65),10 Thrusters (95/65),8 Single Leg Squat,10 Floor Press (155/95),Min 1: Max Lat Pulldowns,,Front Squats (225/155),around the track; when you're not flippin' you're runnin' and atlas stonin',15 Banded RDL's (45/35),Max Cal on Row Machine,350m Run,,10 Single Leg RDL (50's/35's),21-15-9
,15 Band Pull Aparts,Stat. 2: 100m Row / :30 Rev Plank Hold,20 1-arm Lat Pulldowns,,10 Deficit Push Ups,Dubs,100 Pull Ups,Dubs,:20 Freestanding Handstand Hold,Handstands,15 Rev Pull Ups,15 Bar Facing Burpees,15 Hollow Rocks,:10 L-Sit,Min 2: 15 Kb Swings (55x2/70),,Bar Muscle Ups,,10 Chest to Bar Pull Ups,(:30sec work intervals),then,,80yd Farmers Carry (50's/35's),Thrusters (95/65)
,(Leftover time) Hollow Hold,Stat. 3: 10 Tire Flip / :30 Ring Dip Support,80yd Suitcase Carry (70/55),,15 Prone Tri Ext (45/35),Sit Ups,200 Push Ups,then....,,Pull Ups,,20 Thrusters (95/65),30 Dubs,8 Floor Press (175/105),,,,,5 Dragon Flags,,12-9-6-3,,10/5 Deficit Push Ups,Pull Ups
,,,,,15 Standing Bi Curl (45/35),then....,300 Squats,100 Bicycles,,Push Ups/Dip,,25 Bar Facing Burpees,,:20 L-Sit,,,,,,,Push Press (155/95),,,then...
,,,,,,30 Pull Ups,1mile Run,,,,,30 Thrusters (95/65),,6 Floor Press (195/115),,,,,,,Bar Facing Burpees,,,5x Bench burnouts (135/85)
,,,,,,500m Row,,20min time cap,,,,35 Bar Facing Burpees,,:40 L-Sit,,,,,,,then,,,
,,,,,,,w/ 20lb weighted vest,,,,,,,4 Floor Press (215/125),,,,,,,50 Dubs,,,
,,,,,,,,,,,,,,1min L-Sit,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,Every 2min for 14min,AMRAP; 6min stations,6rds; for time,Snatch,15min AMRAP,for time,for time,for time,7rds; for time,Gymnastics:,5rds; for time,for time,5 rds; for time,for time,14min AMRAP,Clean,9-7-5 | for time,Team Tire Flip ,15min AMRAP,12min time cap,for time,Overhead Squat,5rds; for time,for time
,20 Bulgarian Split Squats,Stat. 1: 20  Battle Rope (3 count) / 7 Inch Worms,12 1-arm DB Thruster (25/15),,5 HSPU,50-40-30-20-10,1mile Run,5-10-15-20..-45-50-45-...15-10-5,5 Muscle Clean (95/65),L-Sits,7 Muscle Snatch (75/45),10 Thrusters (95/65),"8 Single Leg Squat (20"")",10 Floor Press (95/65),Min 1: Max Lat Pulldowns,,Front Squats (185/125),around the track; when you're not flippin' you're runnin' and atlas stonin',15 Banded RDL's (45/35),Max Cal on Row Machine,350m Run,,10 Single Leg RDL (40's/25's),21-15-9
,15 Band Pull Aparts,Stat. 2: 100m Row / :30 Rev Plank Hold,20 1-arm Lat Pulldowns,,10 Push Ups,Dubs,100 Pull Ups,Dubs,:20 Handstand Hold,Handstands,15 Rev Pull Ups,15 Bar Facing Burpees,15 Hollow Rocks,:10 L-Sit,Min 2: 15 Kb Swings (70/55),,Chest to Bar Pull Ups,,10 Pull Ups,(:30sec work intervals),then,,80yd Farmers Carry (40's/25's),Thrusters (95/65)
,(Leftover time) Hollow Hold,Stat. 3: 10 Tire Flip / :30 Dip Support,80yd Suitcase Carry (55/45),,15 Prone Tri Ext (25/15),Sit Ups,200 Push Ups,then....,,Pull Ups,,20 Thrusters (95/65),30 Dubs,8 Floor Press (115/75),,,,,5 Candlesticks,,12-9-6-3,,10/5 Push Ups,Pull Ups
,,,,,15 Standing Bi Curl (25/15),then....,300 Squats,100 Bicycles,,Push Ups/Dip,,25 Bar Facing Burpees,,:20 L-Sit,,,,,,,Push Press (135/85),,,then...
,,,,,,30 Pull Ups,1mile Run,,,,,30 Thrusters (95/65),,6 Floor Press (135/85),,,,,,,Burpees,,,5x Bench burnouts (135/85)
,,,,,,500m Row,,20min time cap,,,,35 Bar Facing Burpees,,:40 L-Sit,,,,,,,then,,,
,,,,,,,,,,,,,,4 Floor Press (155/95),,,,,,,50 Dubs,,,
,,,,,,,,,,,,,,1min L-Sit,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,Every 2min for 14min,AMRAP; 6min stations,6rds; for time,Snatch,15min AMRAP,for time,SMurph,for time,7rds; for time,Gymnastics:,5rds; for time,for time,5 rds; for time,for time,14min AMRAP,Clean,9-7-5 | for time,Team Tire Flip ,15min AMRAP,12min time cap,for time,Overhead Squat,5rds; for time,for time
,20 Split Squats,Stat. 1: 20  Battle Rope (2 count) / 7 Inch Worms,12 Db Thrusters (25's/15's),,5 Down Dog HSPU,50-40-30-20-10,for time,5-10-15-20..-45-50-45-...15-10-5,5 Muscle Clean (75/45),L-Sits,7 Muscle Snatch (55/35),10 Thrusters (45/35),"8 Single Leg Squat (20"")(w/ ring assistance)",10 Floor Press (75/45),Min 1: Max Lat Pulldowns,,Front Squats (AHvyAP),around the track; when you're not flippin' you're runnin' and atlas stonin',15 Banded RDL's (45/35),Max Cal on Row Machine,350m Run,,10 Single Leg RDL (25's/15's),21-15-9
,15 Band Pull Aparts,Stat. 2: 100m Row / :30 Rev Plank Hold,20 1-arm Lat Pulldowns,,10 Incline Push Ups,Singles (x3),1/2mile Run,Singles (x2),:20 Tripod Pose,Handstands,15 Ring Rows,15 Bar Facing Burpees (no push up),:30 Hollow Hold,:10 L-Sit,Min 2: 15 Kb Swings (55/35),,Banded Pull Ups,,10 Ring Rows,(:30sec work intervals),then,,80yd Farmers Carry (25's/15's),Db Thrusters (40's/25's)
,(Leftover time) Recliner,Stat. 3: 10 Tire Flip / :30 Dip Support (toe assist),80yd Suitcase Carry (45/25),,15 Prone Tri Ext (15/10),Sit Ups,50 Pull Ups,then....,,Pull Ups,,20 Thrusters (45/35),90 Singles,8 Floor Press (85/55),,,,x2 around the track,5 Straight Leg Raises,,12-9-6-3,,10/5 Incline Push Ups,Ring Rows
,,,,,15 Standing Bi Curl (15/10),then....,100 Push Ups,100 Bicycles,,Push Ups/Dip,,25 Bar Facing Burpees (no push up),,:20 L-Sit,,,,,,,Shoulder Press (75/45),,,then...
,,,,,,30 Ring Rows,150 Squats,,,,,30 Thrusters (45/35),,6 Floor Press (95/65),,,,,,,Burpees (no push up),,,5x Bench burnouts (95/65)
,,,,,,500m Row,1/2mile Run,,,,,35 Bar Facing Burpees (no push up),,:40 L-Sit,,,,,,,then,,,
,,,,,,,,,,,,,,4 Floor Press (105/75),,,,,,,150 Singles,,,
,,,,,,,,,,,,,,1min L-Sit,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,1min L-Sit,2min Chest Stretch,3min Dead Hang,,30 Ring Rows,80yd Seal Drag,,80yd Side Step,:30sec ea Arm Circles,30 Goblet Squats,30 Bi's and Tri's,30 Chin Ups,15 GHD,60 IYT's,20 Banded Shoulder Press,80yd Side Steps,20 Bi's and Tri's,3x Sled Push (90/45),30ea Single leg glute bridges,1 min Couch Mobility,1min Dip Support,,30 Bi's and Tri's,
