WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,5.20.19,5.21.19,5.22.19,5.23.19,5.24.19,5.25.19,5.27.19,5.28.19,5.29.19,5.30.19,5.31.19,6.1.19,6.3.19,6.4.19,6.5.19,6.6.19,6.7.19,6.8.19,6.10.19,6.11.19,6.12.19,6.13.19,6.14.19,6.15.19
Primer,,,,,,6x 100m Row sprints,400m Row | Foam Roll | Movement Prep 1,400m Row | Foam Roll | Movement Prep 2,Movement Prep 4 | 400m Row | | Foam Roll,Foam Roll | 400m Row,Movement Prep 3 | 400m Row | | Foam Roll,Movment Prep 2 | 400m Row | | Foam Roll,Movement Prep 1 | Foam Roll | 400m Row,Movement Prep 3 | Foam Roll | 400m Row,Movment Prep 4 | 400m Row | Foam Roll,Foam Roll,Movement Prep 3 | 400m Row | Foam Roll,Movement Prep 1 | 400m Row | Foam Roll,400m Row | Foam roll | Movement prep 1,400m Row | Foam Roll | Movement Prep 3,50 Jumping Jacks | 3min of Abs | 5min of lower body stretch,Movement Prep 1 | Stretch,50 Jumping Jacks | 3min of Abs | 5min of lower body stretch,Movement Prep 1 | Stretch
Strength,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,Back Squats 4x8@ 60%,Banded RDL's 4x10@ 45/35 | Hang Clean 4x6@ 55%,Deadlifts 4x8@ 60%,Durante Core | 5rds; for time | 10 Hollow Body rocks | 10 V-Ups | 10 Tuck Ups | :10 Hollow Hold | 1min rest,Banded SG RDL's 4x10@ 45/35 | Hang Snatch 4x6@ 55%,,,Bench Press 3x10@ 50%,Back Squat 5x4@ 80%,Abs: | 5rds | 10 Prone Shoulder Press | 10 Hollow Rocks | 10 Tuck Ups,Deadlift 5x4@ 80%,,Back Squats 4x3@ 85%,Snatch 5x3@ 80%,Deadlifts 4x3@ 85%,Abs: | 4rds | 30 Bicycles | 20 Opp Hand to Foot | 10 V-Ups | 10ea Single leg Glute Bridge,Clean 5x3@ 80%,,Deadlifts 4x2@ 90%,Clean 4x2@85%,Back Squats 4x2@ 90%,Abs: | 3rds | :30 Supermans | 15 Hollow Rocks | 7 Rev Crunch to Sit Up,Snatch 4x2@ 85%,
Enthusiast,Back Squats 4x8@ 50%,Banded RDL's 4x10@ 45/35 | Hang Power Clean 4x6@ 45%,Deadlifts 4x8@ 50%,,Banded SG RDL's 4x10@ 45/35 | Hang Power Snatch 4x6@ 45%,,,Bench Press 3x10@ 95/65,Back Squat 5x4@ 70%,,Deadlift 5x4@ 70%,,Back Squats 4x3@ 75%,Power Snatch 5x3@ 70%,Deadlift 4x3@ 75%,,Power Clean 5x3@ 70%,,Deadlift 4x2@ 80%,Power Clean 4x2@ AHAP,Back Squats 4x2@ 80%,,Power Snatch 4x2@ AHAP,
Foundation,Back Squats 4x8@ AHAP,Banded RDL's 4x10@ 45/35 | Hang Muscle Clean 4x6@ 95/65,Deadlifts 4x8@ 135/85,,Banded SG RDL 4x10@ 45/35 | Hang Muscle Snatch 4x6@ 75/45,,,Bench Press 3x10@ 75/45,Back Squat 5x4@ AHAP,,Deadlift 5x4@ AHAP,,Back Squats 4x3@ AHAP,Hang Snatch 5x3@ 95/65,Deadlift 4x3@ AHAP,,Hang Clean 5x3@ 115/75,,Deadlift 4x2@ AHAP,Hang Clean 4x2@ AHAP,Back Squats 4x2@ AHAP,,Hang Snatch 4x2@ AHAP,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,,,Annie,Murph,Flight Simulator,,,,OMAR,,,,,,,,Team WoD,,,,Fran
Athlete,Every 2min for 14min,AMRAP; 6min stations,6rds; for time,Snatch,15min AMRAP,for time,for time,for time,7rds; for time,Gymnastics:,5rds; for time,for time,5 rds; for time,for time,14min AMRAP,Clean,9-7-5 | for time,Team Tire Flip ,15min AMRAP,12min time cap,for time,Overhead Squat,5rds; for time,for time
