WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
,8ea Single Leg Squats,7 Push Press (155/95),"3 Box Jump (36""/30"")",,1 Eccentric Muscle Up,5 Atlas Stone OTS,20 Single Leg RDL (50/35),5 Archer Push Ups,"10 Step Ups (20"")(115/75)",,5 Strict Pull Ups (40/25),Push 20yd,30 Clams (45/25),Dragon Flags,10yd Broad Jumps,,20yd Bear Crawls (pvc),8 Kb Snatch (70/55),15yd Sprint,Min 0-2: Strict Pull Ups (40/25),Jumping Lunges (40/25) ,,3ea Kb Push Press (70/55),30 Back Squats (225/155)
,40yd Banded Side Steps,7 Frontal Raise (15's/10's),15 Lunges (155/95),,6 Floor Press (165/95),20 Wall Balls (30/20),20 Ham Curl (individual legs),10ea Lateral Cross Overs,20 Straight Leg Raises (15/10),,7 Free HSPU,Pull 20yd,20 Dubs,Bent Over Rows (135/85),10 Single Leg Squats,,8 Floor Press (185/105),5ea Bent Over Rows (70/55),20yd Banded Side Steps (switch 1/2 way),Min 2-4: Dip Support (q10sec),Lunges (40/25) ,,5 Planche Push Ups,1 Mile Run
,,7 Lateral Raise,,,,40 Farmers Carry (25's/15's)(over the top),:30 Kneading Planks,15 Straight Arm Lat Pulldowns (individual arms),30 Dubs,,15 Toes to Bar,,10 Lunges (185/105),Band Pull Aparts,10 Shoulder Press (115/75),,5 Muscle Ups,20yd Overhead Carry (70/55),30 Dubs,Min 4-6: OH Tri Ext (40's/25's),Squats (40/25),,20 Seated Pike Ups,
,,7 Rev Fly,,,,,,,,,,,,,,,,,,,,,,
,,7ea Side Plank Raises,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,3 rounds; for time,14min AMRAP,5 rounds; for time,,12min AMRAP,7 rounds; for time,3 rounds; for time,15min AMRAP,5rds; for time,,5rds; for time,for max weight,5 rounds; for time,EMOM for 15min; for max reps,6rds; for time,,5rds; for time,15min AMRAP,7 rounds; for time (15min cap),3 rounds; for max reps,5 rounds; for max reps ,,5 rounds; for time,for time
,8ea Single Leg Squats (to box | below parr),7 Push Press (135/85),"3 Box Jump (30""/24"")",,3 Pull Ups,5 Atlas Stone OTS,20 Single Leg RDL (40/25),5 Push Ups,"10 Step Ups (20"")(40's/25's)",,5 Strict Pull Ups,Push 20yd,30 Clams (25/15),Eccentric Drag Flags,10yd Broad Jumps,,20yd Bear Crawls (pvc),8 Kb Snatch (55/35),15yd Sprint,Min 0-2: Strict Pull Ups,Jumping Lunges (25/15) ,,3ea Kb Push Press (55/35),30 Back Squats (225/155)
,40yd Banded Side Steps,7 Frontal Raise (10's/5's),15 Lunges (135/85),,6 Floor Press (135/85),20 Wall Balls (20/14),20 Ham Curl,10ea Lateral Cross Overs,20 Straight Leg Raises (10/5),,7 HSPU,Pull 20yd,20 Dubs,Bent Over Rows (115/75),10 Single Leg Squats (to parall),,8 Floor Press (135/85),5ea Bent Over Rows (55/35),20yd Banded Side Steps (switch 1/2 way),Min 2-4: Dip Support (q5sec),Lunges (25/15) ,,10 Russian Push Ups,1 Mile Run
,,7 Lateral Raise,,,,40 Farmers Carry (25's/15's),:30 Kneading Planks,15 Straight Arm Lat Pulldowns,30 Dubs,,15 Knees to Elbows,,10 Lunges (155/95),Band Pull Aparts,10 Shoulder Press (95/65),,5 Pull Ups,20yd Overhead Carry (55/35),30 Dubs,Min 4-6: OH Tri Ext (25's/15's),Squats (25/15),,20 Seated Pike Ups,
,,7 Rev Fly,,,,,,,,,,,,,,,,,,,,,,
,,7ea Side Plank Raises,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,3 rounds; for time,14min AMRAP,5 rounds; for time,,12min AMRAP,7 rounds; for time,3 rounds; for time,15min AMRAP,5rds; for time,,5rds; for time,for max weight,5 rounds; for time,EMOM for 15min; for max reps,6rds; for time,,5rds; for time,15min AMRAP,7 rounds; for time (15min cap),3 rounds; for max reps,5 rounds; for max reps ,,5 rounds; for time,for time
,8ea Single Leg Squats (to box | at parr),7 Push Press (75/45),3 Box Jump (AHiAP),,3 Banded Pull Ups,5 Atlas Stone Pick Up,20 Single Leg RDL (bw),5 Incline Push Ups,"10 Step Ups (20"")(bw)",,5 Ring Rows,Push 20yd,30 Clams (15/10),Candlesticks,10 Squat Jumps,,:30 Planks,8 Kb Snatch (35/15),15yd Sprint,Min 0-2: Banded Pull Ups,Jumping Lunges (bw) ,,3ea Kb Push Press (35/15),30 Back Squats (225/155)
,40yd Banded Side Steps,7 Frontal Raise (5's/2.5's),15 Lunges (40/25),,6 Floor Press (95/65),20 Wall Ball Thrusters (20/14),20 Ham Curl,10ea Lateral Cross Overs,20 Straight Leg Raises (bw),,7 Pike Push Ups,Pull 20yd,60 Singles,Bent Over Rows (95/65),10 Single Leg Squats (to box),,8 Floor Press (115/75),5ea Bent Over Rows (35/15),20yd Banded Side Steps (switch 1/2 way),Min 2-4: Dip Support (toe assist)(q5sec),Lunges (bw) ,,10 Incline Push Ups,1 Mile Run
,,7 Lateral Raise,,,,40 Farmers Carry (25's/15's),:30 Plank,15 Straight Arm Lat Pulldowns,90 Singles,,15 V-Ups,,10 Lunges (bw),Band Pull Aparts,10 Shoulder Press (75/45),,5 Banded Pull Ups,20yd Overhead Carry (35/15),90 Singles,Min 4-6: OH Tri Ext (15's/10's),Squats (bw),,20 Seated Pike Ups,
,,7 Rev Fly,,,,,,,,,,,,,,,,,,,,,,
,,7ea Side Plank Raises,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Out,4min Glute Bridge,3min Bicycles,2min Pigeon St (ea),,30 Bi's and Tri's,,2min Ham Stretch (ea),30 BPA,4min Glute Bridge,,3min Arm Circles,Stretch,2min Fig 4 St (ea),2min Batwing,2min Pigeon St (ea),,3min Plank,3x Bi's and Tri's Pyramid,2min Couch Mob,2min Overhead St,2min Superhero St (ea),,30 Bi's and Tri's (AHAP),Stretch
