WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,7.13.20,7.14.20,7.15.20,7.16.20,7.17.20,7.18.20,7.20.20,7.21.20,7.22.20,7.23.20,7.24.20,7.25.20,7.27.20,7.28.20,7.29.20,7.30.20,7.31.20,8.1.20,8.3.20,8.4.20,8.5.20,8.6.20,8.7.20,8.8.20
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,ref 2.12.20,,ref 1.28.20,,,,,,,,,,ref 2.5.20,,ref 2.4.20,,,,ref 5.6.20,,,
Athlete,Back Squats 10x3 @ 80%,Clean Pull Under 5x3@ 50% | Power Clean 5x3@ 60% (PP),Deadlifts 10x3@ 80%,,Drop Snatch 5x3@ 50% | Power Snatch 5x3@ 60% (PP),,Deadlifts 10x3@ 85%,Snatch 6x3@ 80%,Back Squats 10x3@ 85%,,Clean 6x3@ 80%,Bench 6x3@ up to 80%,Back Squats 10x2@ 90%,(Floor) | Clean Hi Pull 3x3@ 55% | Power Clean 5x3@ 75%,Deadlifts 10x2@ 90%,,(Floor) | Sn Hi Pull 3x3@ 55% | Power Snatch 5x3@ 75%,,Deadlifts 10x1@ 95%,Snatch 6x2@ 90%,Back Squats 10x1@ 95%,,Clean 6x2@ 90%,Bench Press | 3 | 3 | 2 | 2 | 2 | 1 | 1 | 1
Enthusiast,Back Squats 10x3 @ 75%,Clean Pull Under 10x3@ 115/75,Deadlifts 10x3@ 75%,,Drop Snatch 10x3@ 95/65,,Deadlifts 10x3@ 80%,(Floor) | Power Snatch 7x3@ 115/75,Back Squats 10x3@ 80%,,(Floor) | Power Clean 7x3@ 155/105,Bench 6x3@ up to 225/155,Back Squats 10x2@ 85%,(PP) | Clean Hi Pull 3x3@ 115/75 | Power Clean 5x3@ 135/85,Deadlifts 10x2@ 85%,,(PP) | Sn Hi Pull 3x3@ 95/65 | Power Sn 5x3@ 115/75,,Deadlifts 10x1@ 90%,(Floor) | Power Snatch 7x2@ 135/85,Back Squats 10x1@ 90%,,(Floor) | Power Clean 7x2@ 165/115,Bench Press | 3 | 3 | 2 | 2 | 2 | 1 | 1 | 1
Foundation,Box Squats 10x3 @ 115/95,Muscle Clean 10x3@ 75/45,RDL's 10x3@ 165/115,,Muscle Snatch 10x3@ 65/35,,RDL's 10x3@ 175/125,OHS 7x3@ AHAP,Box Squats 10x3@ 125/105,,Front Squats 7x3@ AHAP,Bench 6x3@ AHAP,Box Squats 10x2@ 135/115,RDL+ Up Row 10x3@ 75/45,RDL's 10x2@ 185/135,,SG RDL+Up Row 10x3@ 65/35,,RDL's 10x2@ 185/135,OHS 7x3@ AHAP,Box Squats 10x2@ 135/115,,Front Squats 7x3@ AHAP,Bench Press | 3 | 3 | 2 | 2 | 2 | 1 | 1 | 1
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Assessing and Correcting Shoulders,,,,,,Assessing and Correcting Hips,,Death by Sled,,,,Fixing Knees,,,,,,,,The Crippler
Athlete,3 rounds; for time,14min AMRAP,5 rounds; for time,,12min AMRAP,7 rounds; for time,3 rounds; for time,15min AMRAP,5rds; for time,,5rds; for time,for max weight,5 rounds; for time,EMOM for 15min; for max reps,6rds; for time,,5rds; for time,15min AMRAP,7 rounds; for time (15min cap),3 rounds; for max reps,5 rounds; for max reps ,,5 rounds; for time,for time
