WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,8.12.19,8.13.19,8.14.19,8.15.19,8.16.19,8.17.19,8.19.19,8.20.19,8.21.19,8.22.19,8.23.19,8.24.19,8.26.19,8.27.19,8.28.19,8.29.19,8.30.19,8.31.19,9.2.19,9.3.19,9.4.19,9.5.19,9.6.19,9.7.19
Primer,,30 Snatch BNP,,,30 Sott's Press (45/35),,,,,,,,,,,,,,Labor day,,,,,
Strength,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,Back Squat 5x5@ 80%,Sn Pull+Sn Hi Pull+Sn 6x3@80%,Deadlifts 5x5@ 80%,Durante Core | 5rds; for time | 10 Hollow Body rocks | 10 V-Ups | 10 Tuck Ups | :10 Hollow Hold | 1min rest,DL+Cl Hi Pull+Cl 6x3@80%,,Deadlifts 5x5@ 65%,Box Jumps 10x3 @ ascending ht,Back Squat 5x5@ 65%,Abs: | 5rds; for time | 10 V ups | 10 Candlesticks | :10 Hollow Hold,Bench Press 5x5@ 185/125,,Back squats 5x3@ 85%,Clean 6x2@ 85%,Deadlifts 5x3@ 85%, | Death by planks | Switch plank position every 20 seconds for 6min,Snatch 6x2@ 85%,,,Snatch 6x1@ 90%,Back Squats 5x2@ 90%,Abs: | Accumulate 4min of: | Hollow Hold | Superman Hold,Deadlifts 5x2@ 90%,
Enthusiast,Back Squat 5x5@ 75%,Sn Pull+Sn Hi Pull+P. Sn. 6x3@115/75,Deadlifts 5x5@ 75%,,DL+Cl Hi Pull+P. Cl 6x3@135/85,,Deadlifts 5x5@ 60%,Box Jumps 10x2 @ ascending ht,Back Squat 5x4@ 60%,,Bench Press 5x5@ 135/85,,Back Squats 5x3@ 80%,Power Clean 6x2@ 155/95,Deadlifts 5x3@ 80%,,Power Snatch 6x2@ 135/85,,,Power Snatch 6x1@ 155/95,Back Squats 5x2@ 85%,,Deadlifts 5x2@ 85%,
Foundation,Back Squat 5x5@ 135/85,Sn Pull+Sn Hi Pull+M. Sn. 6x3@ 95/65,Deadlifts 5x5@ 155/105,,DL+Cl Hi Pull+M. Cl. 6x3@ 115/75,,Deadlifts 5x5@ 115/75,Plate Jumps 10x2@ ascending ht,Back Squat 5x4@ 95/65,,Bench Press 5x5@ 95/65,,Back Squats 5x3@ 155/95,Muscle Clean 6x2@ AHAP,Deadlifts 5x3@ 165/115,,Muscle Snatch 6x2@ AHAP,,,Muscle Snatch 6x1@ AHAP,Back Squats 5x2@ AHAP,,Deadlifts 5x2@ AHAP,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,,,,,,,,Fran,Annie,,,,,,,Jenkins,,,,,Hotel Hell
Athlete,5rds; for time,3x 5min AMRAP (2 min rests),14min AMRAP,How to use your upper back to:,for time,Field Day! ,6rds; for time,15min AMRAP,EMOM for 18min (alt ex ea min),Squat Mechanics,21-15-9,For time ,6rds; for time,Team WoD; for time,10min AMRAP,Snatch,5rds; for time,for time,Partner WoD; 40min AMRAP,10min AMRAP,EMOM for 10min,Clean,10rds; for time,100 reps; for time
