WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,5.23.22,5.24.22,5.25.22,5.26.22,5.27.22,5.28.22,5.30.22,5.31.22,6.1.22,6.2.22,6.3.22,6.4.22,6.6.22,6.7.22,6.8.22,6.9.22,6.10.22,6.11.22,6.13.22,6.14.22,6.15.22,6.16.22,6.17.22,6.18.22
Primer,20 Hip Airplane,20 Pullovers,20 Heel Touches (ea),,10 Sq Sit BNP,20 Db Flys (15's/10's),,10 Pressing Snatches,10ea Hip Airplanes,,10 Rev Med Ball Toss,20ea Prone Kickbacks,10 Banded DL,10 Granny Shots,3x200m Row Sprint,,10 Rev Med Ball Toss,10 Banded Push Ups,Sumo Squats,10 Pressing Snatches,10 Hip Airplanes,,10 Rev Med Ball Toss,10 St Arm Lat Pulldowns
Strength,,,,,,,,ref 3.8.22,,,,,,ref 3.16.22,ref 3.7.22,,,,ref 3.23.22,ref 3.21.22,ref 3.22.22,,3.25.22,3.26.22
Athlete,Deadlift 5x3@ 70 | 75 | 80 | 80 | 80%,Clean Tempo 6x2@ 70% | (slow-fast-slow)(pull-cl-sq),Back Squat 5x3@ 70 | 75 | 80 | 80 | 80%,,Snatch Tempo 6x2@ 70% | (slow-fast-slow)(pull-cl-sq),Bench Press 5x3@ 70 | 75 | 80 | 80 | 80,,Snatch Tempo (slow-fast) | 6x2@ 75%,Deadlifts 5x3@ 70 | 75 | 80 | 85 | 85,,Clean Tempo (slow-fast) | 6x2@ 75%,Back Squats 5x3@ 70 | 75 | 80 | 85 | 85,Deadlift 5x2@ 75 | 80 | 85 | 90 | 95,Clean 6x2@ 80%,Back Squat 5x2@ 75 | 80 | 85 | 90 | 95,,Snatch 6x2@ 80%,Bench 5x2@ 75 | 80 | 85 | 90 | 95,Back Squats 6x2@ 80 | 2@85 | 2@90 | 2@95 | 1@95 | 1@95,Snatch 6x2@ 75 | 2@80 | 2@85 | 1@90 | 1@95 | 1@100,Deadlift 6x2@ 80 | 2@85 | 2@90 | 2@95 | 1@95 | 1@95 |,,Clean 6x2@ 75 | 2@80 | 2@85 | 1@90 | 1@95 | 1@100,Bench 6x2@ 75 | 2@80 | 2@85 | 1@90 | 1@95 | 1@100
Enthusiast,Deadlift 5x3@ 70 | 75 | 80 | 80 | 80%,P. Clean Tempo 6x2@ 155/105 | (slow-fast-slow)(pull-cl-sq),Back Squat 5x3@ 70 | 75 | 80 | 80 | 80%,,P. Snatch Tempo 6x2@ 115/75 | (slow-fast-slow)(pull-cl-sq),Bench Press 5x3@ 70 | 75 | 80 | 80 | 80,,Power Snatch Tempo (Slow-fast) | 6x2@ 125/80,Deadlifts 5x3@ 70 | 75 | 80 | 85 | 85,,Power Clean Tempo (slow-fast) | 6x2@ 165/110,Back Squats 5x3@ 70 | 75 | 80 | 85 | 85,Deadlift 5x2@ 75 | 80 | 85 | 90 | 95,Power Clean 6x2@ 175/115,Back Squat 5x2@ 75 | 80 | 85 | 90 | 95,,Power Snatch 6x2@ 135/85,Bench 5x2@ 75 | 80 | 85 | 90 | 95,Back Squats 6x2@ 80 | 2@85 | 2@90 | 2@95 | 1@95 | 1@95,Power Snatch 6x2@ 145/95,Deadlift 6x2@ 80 | 2@85 | 2@90 | 2@95 | 1@95 | 1@95 |,,Power Clean 6x2@ 185/125,Bench 6x2@ 75 | 2@80 | 2@85 | 1@90 | 1@95 | 1@100
Foundation,RDL 5x3@ 165/105,M. Clean Tempo 6x2@ 85/55 | (slow-fast-slow)(pull-cl-sq),Box Squat 5x3@ 95/65 +5lbs ea rd,,M. Snatch Tempo 6x2@ 85/55 | (slow-fast-slow)(pull-cl-sq),Bench Press 5x3@ 65/45 +5lbs ea rd,,Muscle Snatch Tempo (slow-fast) | 6x2@ 90/60,RDL 5x3@ 175/115,,Muscle Clean Tempo (slow-fast) | 6x2@ 90/60,Box Squats 5x3@ 95/65 +5lbs ea rd,RDL 5x2@ 185/125,Muscle Clean 6x2@ 95/65,Box Squat 5x2@ 105/75 +5lbs ea rd,,Muscle Snatch 6x2@ 95/65,Bench 5x2@ 95 | 115 | 135 | 145 | 155,Box Squats 5x2@ 115/85 +5lbs ea rd,Muscle Snatch 6x2@105/75,RDL 6x2@  195/135,,Muscle Clean 6x2@ 115/75,Bench 6x2@ 115/65 +5lbs ea rd
At-Home,Glute Bridge Walkouts 5x8,Drop Clean 6x5,Single Leg Squat 5x5ea,,Drop Snatch 6x5,Tempo Push Ups 5x5 (slow-fast),,Squat Jumps 6x5,Single Leg RDL 4x15ea@ bw,,Broad Jumps 6x8,"Tempo Squats 5x5@ bw (5""-5""-5"")",Glute Bridge Walkout 5x8,Tuck Jumps 6x10@ bw,"Tempo Squats 5x5@ bw (5""-5""-5"")",,Broad Jumps 6x10@ bw,Push Ups 5x5@ challenging angle,"Tempo Squats 5x5@ bw (7""-7""-7"")",Overhead Squat 6x10@ pvc,Glute Bridge Walkout 6x8,,Tuck Jumps 6x10@ bw,Push Ups 5x3@ challenging angle
,glyc | legs-  | arms,Aer | legs-  | arms-,Glyc | legs-  | arms-,,Glyc | legs-  | arms-,,,Arm- Med | Leg- Lt,Arm- n/a | Leg- Med,,Arm- Hvy | Leg- Med,Arm- Hvy | Leg- Hvy,A- Med | L- Lt,A- Lt | L- Med,Arm- Lt | Leg- Hvy,,A- Lt | L-Med | 40/75,Arm- Hvy | Leg- n/a,A-Lt | L- Hvy,A-Hvy | L- n/a,A-Med | L-Lt,,A-Lt | L-Med,A- Hvy | L- n/a
WoD,,,,,Bar Complex,,Murph,,,,,,,,,,,,,,,,,
Athlete,15min AMRAP,4rds; for time,15min AMRAP,,10 reps ea | 3rds,15min AMRAP,for time; w/ vest,EMOM for 10min,12min AMRAP,https://youtu.be/5Ba-v5Olb6U,10min AMRAP,Bench 5x3@ 70 | 75 | 80 | 85 | 85,6rds; for time,15min AMRAP,4rds; for time,https://youtu.be/5MfhGKK_fo0,5rds; for time,5rds; for time,12min AMRAP ,5rds; for time ,15min AMRAP ,https://youtu.be/eFQPNVbmf34,EMOM for 10min ,12min AMRAP 
