WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,3.25.24,3.26.24,3.27.24,3.28.24,3.29.24,3.30.24,4.1.24,4.2.24,4.3.24,4.4.24,4.5.24,4.6.24,4.8.24,4.9.24,4.10.24,4.11.24,4.12.24,4.13.24,4.15.24,4.16.24,4.17.24,4.18.24,4.19.24,4.20.24
Primer,25 Kb Swings,15 Box Jumps,400m Row,,30 Ring Rows,20 Split Sq Shoulder Press,400m Row,25 Kb Swings,15 Box Jumps,,15 McGill Push Ups,10 Drop Snatch,3x :10 Iso DL,3 Underhanded OHS,400m Row,,15 Box Jumps,12ea Rev Med Ball/Chest Pass,400m Row,Bar Complex,15 Box Jumps,,3 Push Ups,Barbell Complex
Strength,10.9.23 (ish)  | 9.12.22 (ish),4.24.23,11.8.23,,,,ref 10.16.23 | 2.8.23,,10.20.23 | 2.11.23,,5.1.23,10.21.23,2.20.23 | 8.7.23 |10.23.23,5.13.23 | 10.24.23,5.10.23 |10.25.23,,3.8.22 | 7.28.23 | 10.27.23,11.26.22,9.7.22 | 11.30.22 | 8.11.23 | 11.1.23,2.13.23 | 7.31.23,3.18.22,,8.9.23,12.3.22
Athlete,Deadlifts 5x3@ 70%,Snatch 6x2@ 70%,Back Squats 5x3@ 70%,,Bench Press 5x3@ 70%,Clean and Jerk 6x2@ 70%,Back Squats 5x3@ 75%,Clean and Jerk 5x2@ 75%,Deadlifts 5x3@ 75%,,Bench 5x3@ 75%,Snatch 5x2@ 75%,Deadlifts 5x2@ 85%,Snatch 5x2@ 80%,Back Squats 5x2@ 85%,,Cleans and Jerk 5x2@ 80%,Bench 5x3@ 80%,Back Squats 5x1@ 90%,Clean and Jerk 5x2@ 85%,Deadlift 5x2@ 90%,,Bench 5x1@ 90%,Snatch 5x2@ 85%
Enthusiast,Deadlifts 5x3@ 60%,Power Sn + OHS 6x2@ 115/75,Back Squats 5x3@ 60%,,Bench Press 5x3@ 60%,Clean and Push Press 6x2@ 155/105,Back Squats 5x3@ 70%,Clean and Push Press 5x2@ 165/115,Deadlifts 5x3@ 70%,,Bench 5x3@ 70%,Power Snatch 5x2@ 115/75,Deadlifts 5x2@ 80%,Power Snatch 5x2@ 135/85,Back Squats 5x2@ 80%,,Power Clean + Push Press  5x2@ 175/120,Bench 5x3@ 80%,Back Squats 5x1@ 85%,Power Clean + Push Press 5x2@ 185/125,Deadlift 5x2@ 85%,,Bench 5x1@ 85%,Power Snatch 5x2@ 145/90
Foundation,RDL's 5x3@ 135/85,Overhead Squat 6x4@ 45/35,Box Squats 5x3@ 95/65,,Bench Press 5x3@ 95/65,Thrusters 6x4@ 95/65,Box Squats 5x3@ 115/75,Thrusters 5x4@ 115/75,RDL's 5x3@ 155/95,,Bench 5x3@ 115/75,Overhead Squat 5x4@ 45/35,RDL's 5x3@ 135/95,Overhead Squat 5x4@ 45/35,Box Squats 5x3@ 135/95,,Db Thrusters 5x3@ 40's/25's,Bench 5x3@ 75/45,Box Squats 5x3@ 145/105,Db Thrusters 5x5@ 40's/25's,RDL 5x3@ 155/105,,Bench 5x3@ 95/65,Overhead Squat 5x5@ 45/35
At-Home,Hip Airplanes 5x7ea@ bw,Overhead Squat 6x5@ AHvyAP,Tempo Squats 5x7@ 5' down/1'up,,Tempo Push Ups 5x5@ 5' down/1' up,Squat Jumps 5x10@ bw,"Tempo Squats 5x3@ 7"" down/7"" up",Squat Jumps 5x10@ bw,"Single Leg RDLs 5x3ea@ 7"" down/7"" up",,"Tempo Push Ups 5x3@ 7"" down/7"" up",Overhead Squat 5x5@ AHvyAP,Hip Airplanes 5x5ea@ bw,Overhead Squat 5x4@ AHvyAP,"Tempo Squats 5x2@ 10""down/10""up",,Broad Jumps 5x7@ bw,Ecc Push Ups 7x :10 down,"Tempo Squats 5x2@ 12""down/12""up",Broad Jumps 5x7@ bw,Hip Airplanes 5x7ea@ bw,,"Eccentric Push Ups 7x :12""down","Tempo Overhead Squat 5x3@ 10""down/10""up"
,A- Med | L-Med,A- Lt | L- Hvy,A- Hvy | L- Lt,,A-Hvy | L-Med,A-Lt | L- Hvy,A- Lt  | L- Hvy (142),A- Hvy | L - Lt,A- Med(~43) | L- Med (50+),,A- Hvy | L- Med,A- Lt(12) | L- Hvy (192),A- Lt (Dubs) | L- Hvy (80+),A- Hvy | L-Med,A-Lt | L-Hvy,,A- Hvy | L- Lt,A-med | L-med,A- Lt | L- Med,A- Lt (dubs) | L- Hvy (120),A-Hvy | L- Lt,,A-Med | L-Med,A-Med | L-Hvy
WoD,,,,Strengthen Your Lower Back (Have Less Low Back Pain) - YouTube,,,,,,Knee Pain Relief | https://youtu.be/5Ba-v5Olb6U,,,,,,Total Body Stress Relief | https://youtu.be/GBTj4uyXKLQ,,Can Koozie,,,,Relieve Shoulder and Neck Tension - YouTube,,Rowing Pains
Athlete,5rds; for time,3rds; for time,12min AMRAP | (55/35),,5rds; for time,for time,EMOM for 12min,12min AMRAP,5rds; for max reps,,5rds; for time (12min cap),12min AMRAP,12min AMRAP,15min AMRAP,12min AMRAP,,10min AMRAP,12min AMRAP,EMOM for 10min,4rds; for time,5 rounds; for time,,5rds; for time,3rds; for time
,10 Plate Overs (45/25),10 Single Leg Squats,10 Half Kneeling OH Press,,10 Behind the Neck Sh Press (75/45),5-10-15-20-25,5 Kb Swing (70/55),5 Strict Pull Ups (40/25),:30sec work/ :60sec rest ea,,"10 Step Ups (50/35)(24"")","5 Box Jumps (33"")",10 Lunges (135/85),"5 Box Jumps (30""/24"")",5 Db Sh Press (50's/35's),,5 Strict Pull Ups (25/15),3 Squat Cleans (250/165),"4 Step Ups (24"")",20 Lunges (70/55),5 False Grip Ring Pull Up,,3 Shoulder Press (135/95),500m Row
,16 Cossack Squats (25/15),7 Strict TTB,10 Half Kneeling Trunk Twists,,10 Seated Db Cleans (25's/15's),"Db Burpee Box Step Up (50/35)(20"")",6 OH Lunge (70/55),10 Handstand Push Ups,Max Front Sq (Bw),,8 Floor Press (185/125),10 Single Leg Squats (25/15),15 GHD,7 Devils Press (40's/25's),10 Bulgarian Split Sq (50/35),,10 Ring Dips,12 Db Push Press (50's/35's),6 Db G2O (50/35),15 KB Swings (70/55),10 Archer Push Ups,,15 RDL's (135/95),30 Db Thrusters (40's/25's)
,8 Chin Ups,5 Front Squats (185/125),10 Half Kneeling Windmills to Elbow,,10 Tricep Extension (25's/15's),10-20-30-40-50,,15 Cossack Squats (40/25),Max Floor Press (Bw),,6 Chin Ups (15/10),15 KB Lunges (70's/55's),20 Dubs,3 Wall Walks,15 DB RDL's (50's/35's),,15 Kb Swings (70/55),30 Dubs,8 KTE,30 Dubs,5 Db Curls (40's/25's),,,10 Pull Ups
,,,10 Half Kneeling Push Press,,,Row (cal),,,200m Row Sprint,,,,,,,,,,,,10 Db Tri's (40's/25's),,,
,,,10 Half Kneeling Halos,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
