WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,3.27.23,3.28.23,3.29.23,3.30.23,3.31.23,4.1.23,4.3.23,4.4.23,4.5.23,4.6.23,4.7.23,4.8.23,4.10.23,4.11.23,4.12.23,4.13.23,4.14.23,4.15.23,4.17.23,4.18.23,4.19.23,4.20.23,4.21.23,4.22.23
Primer,1min Cossak Squats,1-arm Db Shoulder Press x10ea,3min Planks (Front | side | rev),,10 Pressing Snatch Balance,20 Med Ball Floor Toss,Exp Ring Row x 10,Drop Snatch x 10,Kb Swings x 20,,Plyo Push Ups x 15,20ea Split Squats,400m Row,15 Box Jumps,25 Kb Swings,,10 Rev Med Ball Toss,10 Drop Snatch,3 x :10 Iso Deadlifts,10 Pressing Snatch Balance,15 Box Jumps,,20 Med Ball Chest Pass,Split Squat Shoulder Pr x 20
Strength,90sec rest,90sec rest,90sec rest,,90sec rest,90sec rest,,,,,,,,,,,,,,,,,,
Athlete,Tempo Back Squats 5x3@ 75% | Rev Flys 5x10,Push Press 6x3@ 185/125,Tempo Deadlifts 5x3@ 75% | GHD 5x5,,OHS 6x3@ 115/75,Tempo Bench 5x3@ 75%,Deadlifts 5x10@ 60% | Db Shoulder Press 5x10,H. P. Sn+OHS 6x3@ 65%,Back Squats 5x10@ 60% | GHD 5x10,,Bench Press 5x10@ 60% | Bent Over Rows 5x10@ 95/65,P. Cl+Sp Jerk 6x5@ 50%,Back Squats 5x10@ 62% | GHD 5x10,Clean 6x4@ 60%,Deadlifts 5x10@ 62% | Db Sh Pr 5x10,,Dips 5x10 | Hammer Curls 5x10,Snatch 6x4@ 60%,Deadlifts 5x10@ 64% | Shoulder Press 5x10@ 60%,Snatch 6x3@ 70%,Back Squats 5x10@ 64% | GHD's 5x10@ 10/5,,Close Grip Bench 5x10@ 60% | Db BOR 5x10@ 40's/25's,Clean and Jerk 6x3@ 70%
Enthusiast,Tempo Back Squats 5x3@ 75% | Rev Flys 5x10,Push Press 6x3@ 135/85,Tempo Deadlifts 5x3@ 75% | Glute Bridge Walkout 5x5,,OHS 6x3@ 45/35,Tempo Bench 5x3@ 75%,Deadlifts 5x10@ 50% | Db Shoulder Press 5x10,H. P. Sn+OHS 6x3@ 95/65,Back Squats 5x10@ 50% | Lying Leg Curl 5x10,,Bench Press 5x10@ 50% | Bent Over Rows 5x10@ 75/45,P. Cl+Push Press 6x5@ 115/75,Back Squats 5x10@ 52% | Glute Bridge Walkout 5x10,Power Clean 6x4@ 135/85,Deadlifts 5x10@ 52% | Db Sh Pr 5x10,,Push Ups 5x10 | Hammer Curls 5x10,Power Snatch 6x4@ 95/65,Deadlifts 5x10@ 54% | Shoulder Press 5x10@ 50%,Power Snatch 6x3@ 115/75,Back Squats 5x10@ 54% | Glute Bridge Walkout 5x10,,Close Grip Bench 5x10@ 50% | Db BOR 5x10@ 25's/15's,Clean and Push Press  6x3@ 135/85
Foundation,Tempo Box Squats 5x3@115/75 | Rev Flys 5x10,Shoulder Press 6x3@ 75/45,Tempo RDL's 5x3@ 155/95 | Glute Bridge 5x1min,,OHS 6x5@ 25/15,Tempo Bench 5x3@ 85/55,RDL's 5x10@ 95/65 | Db Shoulder Press 5x10,H.M.Sn 6x3@ 75/45 | OHS 6x3@ AHvyAP,Box Squats 5x10@ 55/35 | Glute Bridge 10x30sec,,Bench Press 5x10@ 75/45 | Bent Over Rows 5x10@ 45/35,M. Cl+Sh Pr 6x5@ 75/45,Box Squats 5x10@ 25/15 | Glute Bridge 5x1min,Muscle Clean 6x4@ 95/65,RDL's 5x10@ 100/70 | Db Sh Pr 5x10,,Incline Push Ups 5x10 | Hammer Curls 5x10,Muscle Snatch 6x4@ 75/45,RDL's 5x10@ 115/75 | Shoulder Press 5x10@ 25's/15's,Muscle Snatch 6x3@ 85/55,Box Squats 5x10@ 30/20 | Glute Bridge 5x1min,,Close Grip Bench 5x10@ 80/50 | Db BOR 5x10@ 15's/10's,Muscle Clean and Sh Press 6x3@ 95/65
At-Home,"Tempo Squats 5x7@ 7""-0""-0"" | Arm Cirlces 5x 1min",Down Dog HSPU 6x4@ bw,Hip Airplanes 5x7ea,,OHS 6x10@ pvc,Plyo Push Ups 5x7,Good Mornings 5x10 | Down Dog HSPU 5x10,Alt Jumping Lunges 6x10 | OHS 6x5@ pvc,Tempo Squats 5x10@ 5-0-2-0 | Glute Bridge Walkout 5x10,,Push Ups 5x10 | Bent Over Rows 5x10ea,Squat Jump 6x5 | Wall Climb 6x3 ,Tempo Squats 5x12@ bw | Glute Bridge 5x1min,Squat Jumps 6x5@ bw,Good Mornings 5x10 | Down Dog HSPU 5x10,,Push Ups 5x10 | Hammer Curls 5x10,Overhead Squats 6x5@ pvc,Good Mornings 5x10@ AHvyAP | Down Dog HSPU 5x10,Squat Sit Behind the Neck Press 6x10@ pvc,Tempo Squats 5x12@ bw | Glute Bridge 5x 1min,,Tempo Push Ups 5x12 | Batwings 5x 1min,Broad Jumps  6x10
,A- Med | L-Hvy,A-Hvy | L-Lt,A-Lt | L-Med,,A-Med | L-Hvy,A-Hvy | L-Med,A- Med | L-Med,A- Hvy | L-Lt,A- Lt  | L-Hvy,,A- Hvy | L- Lt,A- Med | L- Med,A- Lt | L- Hvy,A-Hvy | L- Lt,A- Med | L- Med,,A- Hvy | L- Lt,A- Lt | L- Med,A- Med | L-Med,A- Hvy | L- Lt,A- Lt | L- Hvy,,A- Hvy | L- Lt,A-Med | L-Med
WoD,,,,https://youtu.be/GBTj4uyXKLQ,,"""Fran""",,,,https://youtu.be/cgpFFxI8Z_o,,,,,,https://youtu.be/dE6Bddqsbcg,,,,,,https://youtu.be/GBTj4uyXKLQ,,
