WEEK,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE
Day,11.2.20,11.3.20,11.4.20,11.5.20,11.6.20,11.7.20,11.9.20,11.10.20,11.11.20,11.12.20,11.13.20,11.14.20,11.16.20,11.17.20,11.18.20,11.19.20,11.20.20,11.21.20,11.23.20,11.24.20,11.25.20,11.26.20,11.27.20,11.28.20
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,,,ref 11.9.16,ref 8.22.20,ref 11.14.16,ref 9.16.16,,,ref 11.7.16,,,ref 10.10.16,ref 8.16.16,,,ref 11.19.16,,ref 11.23.16,,,,
Athlete,Back Squats 4x10@ 50%,Dip Clean 7x4@ 50%,Deadlifts 4x10@ 50%,,Dip Snatch 7x4@ 50%,,Deadlifts 4x10@ 55%,Dip Snatch 7x3@ 55%,Back Squats 4x10@ 55%,,Dip Clean 7x3@ 55%,,Back Squats 4x8@ 60%,(Knee) | Hang Clean 6x4@ 60%,Deadlift 4x8@ 60%,,(Knee) | Hang Snatch 6x4@ 60%,,Deadlifts 4x8@ 65%,(Knee) | Hang Snatch 6x4@ 65%,Back Squats 4x8@ 65%,,,(Knee) | Hang Clean 6x4@ 65%
Enthusiast,Back Squats 4x10@ 50%,(Floor) | Muscle Clean 7x4@ 115/75,Deadlifts 4x10@ 50%,,(Floor) | Muscle Snatch 7x4@ 95/65,,Deadlifts 4x10@ 55%,(Floor) | Muscle Snatch 7x3@ 115/75,Back Squats 4x10@ 55%,,(Floor) | Muscle Clean 7x3@ 135/85,,Back Squats 4x8@ 60%,Dip Clean 6x4@ 115/75,Deadlift 4x8@ 60%,,Dip Snatch 6x4@ 95/65,,Deadlifts 4x8@ 65%,Dip Snatch 6x4@ 105/75,Back Squats 4x8@ 65%,,,Dip Clean 6x4@ 125/85
Foundation,Box Squats 4x10@ 95/65,(PP) | Muscle Clean 7x4@ 75/45,RDL 4x10@ 115/75,,(PP) | Muscle Snatch 7x4@ 75/45,,RDL 4x10@ 135/85,(PP) | Muscle Snatch 7x3@ 85/55,Box Squats 4x10@ 105/75,,(PP) | Muscle Clean 7x3@ 85/55,,Box Squats 4x8@ 115/85,(Floor) | Muscle Clean 6x4@ 95/65,RDL 4x8@ 155/95,,(Floor) | Muscle Snatch 6x4@ 95/65,,RDL's 4x8@ 165/105,(Floor) | Muscle Snatch 6x4@ 100/70,Box Squats 4x8@ 125/90,,,(Floor) | Muscle Clean 6x4@ 100/70
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Squat Rehab,Death by PVC,NO CLASS- At Home Only Option,,,,Fix Your Bum Shoulders,,,,,,Midline Correction,,,,,,The Gobbler '20,Hard Reset,
Athlete,5 rounds; for time,500m Row,EMOM for 20min,,15min AMRAP,For fastest round; 3 attempts,15min AMRAP,10rds; for time,5 rounds; for max reps,,4 rounds; for time,30min AMRAP,20min AMRAP,5rds; for time ,EMOM to failure (15min cap),,4 rounds; for time,For time,20min AMRAP,6 rounds; for time,15min AMRAP; for max distance,for time; partner WoD | YGIG,,20min AMRAP
,10 Pulse Goblet Squats (40/25),,Min 1:,,15 Prone SG BNP Press,30 Jump Squats,20 Front Rack Lunges (95/65),5 Burpees,500m Row,,20 Thrusters (95/65),"20 Step Ups (24"")",:30 Front Rack Hold (185/125),30 Straddle Ups,5 Fingertip Push Up,,:20 Hollow Hold,100 Dubs,20yd Frankenstein ,8 SG RDL (205/140),100yd Shuttle Runs,200 Dubs,,10 Clean to Press (115/75)
,5 Chest to Bar Pull Ups,then...,15 Russian Kb Swing (70/55),,40 Dubs,40 Lunges,15 Bent Over Rows (95/65),10 Ground to Overhead (50/35),max Strict Chin Ups,,10 Bar Over Burpees,10 Chest to Bar Pull Ups,20 Rev Flys (10's/5's),30 Overhead Split Squats (55/35) ,4 Wall Ball (30/20),,20 BNP (75/45),60 Kb Swings (70/55),5 Commando Pull Up (bw/band),15 Toes to Bar,10 Db Sh Press (40's/25's),150 Burpees,,"20 Step Ups (20"")"
,10 Pulse Goblet Squats (40/25),,Min 2:,,15 Overhead Squat (45/35),50 Sit Ups,10 Toes to Bar,30 Dubs,,,,80yd Farmers Carry (70's/50's),10yd Seal Drags,30 Dubs,3 Chest to Bar + Strict Toes to Bar,,20 Alt V-Ups,90 Dubs,20yd A-Skips,,:30 Plank,200 Dubs,,30 Squats (40/25)
,4 Chest to Bar Pull Ups,4 rds; for max reps,10 Shoulder Press (40's/25's),,40 Dubs,60 Dubs,,,,,,,,,,,20 Jumping Lunges (25/15),50 Strict Pull Ups,5 Commando Pull Up,,,150 Lunges (55/35),,40 Push ups
,10 Pulse Goblet Squats (40/25),Db Floor Press (40's/25's),,,15 Squat SG BNP (45/35),Rest 3min,,,,,,,,,,,20 Leg Flutter (3 count),80 Dubs,20yd B-Skips,,,200 Dubs,,50 V-Ups
,3 Chest to Bar Pull Ups,15 Deadbugs,,,40 Dubs,,,,,,,,,,,,20 KB/DB OHS (35/25)(1-arm | 10 ea side),40 Push Ups,5 Commando Pull Up,,,150 Strict Pull Ups,,60 Dips
,,,,,,,,,,,,,,,,,,70 Dubs,20yd Squat Jumps,,,200 Dubs,,
,,,,,,,,,,,,,,,,,,30 Thrusters (95/65),5 Commando Pull Up,,,150 Goblet Squats (70/55),,
,,,,,,,,,,,,,,,,,,60 Dubs,20yd Rapid High Knees,,,200 Dubs,,
,,,,,,,,,,,,,,,,,,200m Row,5 Commando Pull Up,,,150 Floor Press (50's/35's),,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,5 rounds; for time,500m Row,EMOM for 20min,,15min AMRAP,For fastest round; 3 attempts,15min AMRAP,10rds; for time,5 rounds; for max reps,,4 rounds; for time,30min AMRAP,20min AMRAP,5rds; for time ,EMOM to failure (15min cap),,4 rounds; for time,For time,20min AMRAP,6 rounds; for time,15min AMRAP; for max distance,for time; partner WoD | YGIG,,20min AMRAP
,10 Pulse Goblet Squats (25/15),,Min 1:,,15 Prone SG BNP Press,30 Jump Squats,20 Front Rack Lunges (75/45),5 Burpees,500m Row,,20 Thrusters (75/45),"20 Step Ups (20"")",:30 Front Rack Hold (135/85),30 Seated Pike Ups ,5 Push Up,,:20 Hollow Hold,100 Dubs,20yd Frankenstein ,8 SG RDL (165/95),100yd Shuttle Runs,200 Dubs,,10 Clean to Press (95/65)
,5 Pull Ups,then...,15 Russian Kb Swing (55/35),,30 Dubs,40 Lunges,15 Bent Over Rows (75/45),10 Ground to Overhead (40/25),max Chin Ups (bw/banded),,10 Burpees,10 Pull Ups (bw/banded),20 Rev Flys (5's/2.5's),30 Overhead Split Squats (45/25) ,4 Wall Ball (20/14),,20 BNP (45/35),60 Kb Swings (55/35),3 Commando Pull Up (bw/band),15 Knees to Elbows,10 Db Sh Press (25's/15's),150 Burpees,,"20 Step Ups (20"")"
,10 Pulse Goblet Squats (25/15),,Min 2:,,15 Overhead Squat,50 Sit Ups,10 Knees to Elbows,20 Dubs,,,,80yd Farmers Carry (50's/40's),10yd Seal Drags,30 Dubs,3 Pull Up+Strict KTE,,20 Alt V-Ups,90 Dubs,20yd A-Skips,,:30 Plank,200 Dubs,,30 Squats
,4 Pull Ups,4 rds; for max reps,10 Shoulder Press (25's/15's),,30 Dubs,60 Dubs,,,,,,,,,,,20 Jumping Lunges,50 Pull Ups (bw/band),3 Commando Pull Up,,,150 Lunges (45/25),,40 Push ups
,10 Pulse Goblet Squats (25/15),Db Floor Press (25's/15's),,,15 Squat SG BNP,Rest 3min,,,,,,,,,,,20 Leg Flutter (3 count),80 Dubs,20yd B-Skips,,,200 Dubs,,50 Tuck Ups
