WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,4.22.19,4.23.19,4.24.19,4.25.19,4.26.19,4.27.19,4.29.19,4.30.19,5.1.19,5.2.19,5.3.19,5.4.19,5.6.19,5.7.19,5.8.19,5.9.19,5.10.19,5.11.19,5.13.19,5.14.19,5.15.19,5.16.19,5.17.19,5.18.19
Primer,400m Row | Foam Roll | Movement Prep 1,Movement Prep 3 | 400m Row | | Foam Roll,400m Row | Stretch | Movement Prep 4,,Movement Prep 3 | 400m Row | | Foam Roll,Movement Prep 2 | 400m Row | Foam Roll,400m Row | Foam Roll | Movement Prep 1,400m Row | Foam Roll | Movement Prep 2,Movement Prep 4 | 400m Row | | Foam Roll,Foam Roll | 400m Row,Movement Prep 3 | 400m Row | | Foam Roll,Movment Prep 2 | 400m Row | | Foam Roll,Movement Prep 1 | Foam Roll | 400m Row,Movement Prep 4 | Foam Roll | 400m Row,Movment Prep 3 | 400m Row | Foam Roll,Foam Roll,Movement Prep 1 | 400m Row | Foam Roll,Movement Prep 1 | 400m Row | Foam Roll,400m Row | Foam roll | Movement prep 1,Movement Prep 3 | Foam Roll | 400m Row,400m Row | Foam Roll | Movement Prep 4,Foam roll,400m Row | Foam Roll | Movement Prep 3,Movement Prep 1 | Stretch
Strength,,,,,,,,,,,,,,,,,,,,,,,,
Athlete,Back Squats 4x8@ 65%,Snatch 4x6@ 65%,Deadlift 4x8@ 65%,,Clean 4x6@ 65%,,Clean Hi Pull 3x3@ 50% | Clean 4x5@ 70%,Back Squats 4x7@70%,Hi Pull 3x3@ 50% | Snatch 4x5@ 70%,Abs: | 5rds | 10 Supermans | 10 Hollow Rocks | 10 Opp Hand to Foot,Deadlift 4x7@ 70%,strength make up!,Drop Snatch 3x3@ 50% | Snatch 4x4@ 75%,Back Squats 4x6@ 75%,Cl Pull Under 3x3@ 135/95 | Clean 4x4@ 75%,Abs: | 5min Planks,Deadlifts 4x6@ 75%,,Back Squats 4x5@ 80%,Clean 4x3@ 80%,Deadlifts 4x5@ 80%,Abs: | Tabata- 1 | Plank walkout (little further out ea. interval) | Tabata- 2 | Hollow Hold,Snatch 4x3@ 80%,
Enthusiast,Back Squats 4x8@ 55%,Snatch 4x6@ 95/65,Deadlift 4x8@ 55%,,Clean 4x6@ 95/65,,Upright Row 3x3@ 75/45 | Power Clean 4x5@ 115/75,Back Squts 4x7@ 60%,Hi Pull 2x3@ 75/45 | Power Snatch 4x4@ 95/65,,Deadlift 4x7@ 60%,strength make up!,Heaving Sn Bal 3x3@ 75/45 | Power Snatch 4x4@ 115/75,Back Squats 4x6@65%,Muscle Cl 3x3@ 95/65 | Power Clean 4x4@ 125/85,,Deadlifts 4x6@ 65%,,Back Squats 4x5@ 70%,Power Clean 4x3@ AHAP,Deadlifts 4x5@ 70%,,Power Snatch 4x3@ AHAP,
Foundation,Back Squats 4x8@ AHAP,Muscle Snatch 4x8@ 75/45,RDL 4x8@ AHAP,,Muscle Clean 4x8@ 75/45,,Upright Row 3x3@ 55/40 | Hang Muscle Cl 4x5@ 75/45,Back Squats 4x7@ 10lb+ last week,Upright Row SG 2x5@ 45/35 | Muscle Sn 4x5@ AHAP,,Deadlift 4x7@ 135/85,strength make up!,Pr Sn Balance 3x3@ 45/35 | Muscle Snatch 4x4@ AHAP,Back Squats 4x6@ 10lbs + last week,Muscle Cl 3x3@ 45/35 | Upright Rows 4x5@ 75/45,,Deadlifts 4x6@ 155/95,,Back Squats 4x5@ 10lbs+last week,Muscle Clean 4x4@ AHAP,Deadlifts 4x5@ AHAP,,Muscle Snatch 4x4@ AHAP,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,,Db Complex,FGB Style,,,,,,Elizabeth,,,,,,Chelsea,,,,,,Diane
Athlete,5 rds; for time,12min AMRAP,15min AMRAP,,1:1 intervals for 14min (50's/35's),for max reps,6rds; for time,EMOM for 12min,15min AMRAP,(Shoulders R' Us),27-21-15-9; for time,21-15-9; for time,15min AMRAP,5rds; for time,7-14-21-14-7; for time,(How to Fix Your Hips),EoMOM for 14min,EMOM for 30min,for time,12min AMRAP; for max reps,5rds; for time,(Hip connects to shoulder),15min AMRAP,21-15-9
,8 Jump Squats,8 Floor Press (80% bw),5 Atlas Stone Over Shoulder,,5 RDL,3rds; 1min ea station,12 Db Push Press (50's/35's),4 Db Power Clean (50's/35's),16 Db Ground to Overhead (50/35),Scorpion Stretch,Sumo Squats (70/55),Squat Cleans (135/95),7 SG Deadlift (185/115),:30sec Ring Dip Support,Lunges (55/35),IT Band Smash,15/10 Bench Press (135/85),5 Pull Ups,200 Kb Swings (70/55),Shoulder Press (115/75),10 Jumping Lunges,Prone int sh rotation screen,5 Deficit Push Ups,Deadlifts (225/155)
,12 Lunges (50's/35's),7 Bent Over Rows (80% bw),"10 Step Ups (55/35)(24"")",,3 Curls,Battle Rope (3 count),8 Ring Dips,6 Db Squat (50's/35's),80yd Suitcase Carry (50/35),Trap Smash,Burpees,Ring Dips,20 Dubs,7 Chin Up,40yd Side Step,Side Hip Smash,20 Wall Balls (20/14),10 Push Ups,*Every time you stop | complete 30 dubs,Pull Ups,12 Tuck Ups,Overhead screen,10 1-arm Db Row (40/25),HSPU
,15 Toes to Bar,6 Evil Wheels,120yd Waiter's Carry (55/35),,5 Squats,Tire Flip,6 Chest to Bar Pull Ups,20 Dubs,,Scap Smash,,,10 Side Plank Raises,15 V-Ups,,Glute Smash,,15 Squats,,,10 Db Squats (40's/25's),Quad/Adductor Smash,5 Inch Worms,
